UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,NOM_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,EFFECTIF_ANNEE_2013,LONGITUDE,LATITUDE,LB_ADR_L1,LB_ADR_L2,LB_ADR_L3,LB_ADR_L4_1,LB_ADR_L4_2,LB_ADR_L4_3,LB_ADR_L4_COMPLET,LB_ADR_L5,LB_ADR_L6_1,LB_ADR_L6_2,LB_ADR_L7
0332246M,Collège Chambéry,Chambéry,33550,VILLENAVE D ORNON                     ,PUBLIC,0556877485,0556877488,ce.0332246M@ac-bordeaux.fr,MONSIEUR BARRAUD PHILIPPE,MONSIEUR METRAUD GERARD,MONSIEUR SICARD BENOIT,01,0330109,,1,,,,,,02/05/1974,,590,575,587,560,562,566,570,-0.5839959,44.756153,COLLEGE CHAMBERY,,,138,,ROUTE DE LEOGNAN,,BP 84,33140,VILLENAVE D ORNON,FRANCE
0332283C,Collège Francois Mitterrand,Francois Mitterrand,33140,CREON                                 ,PUBLIC,0557970180,0556230134,ce.0332283C@ac-bordeaux.fr,MADAME DECOMBEROUSSE BEATRICE,MADAME ABALEA JOËLLE,MADAME OUDALOFF-BEVAM  M-F,03,0330307,,1,,,,,,08/04/1975,,852,845,863,912,937,937,948,-0.35196245,44.77319,COLLEGE F. MITTERRAND,,,24,,BOULEVARD DE VERDUN,,,33670,CREON,FRANCE
0332327A,Collège St Clement,St Clement,33144,CUDOS                                 ,PRIVE,0556254287,0556254713,ce.0332327A@ac-bordeaux.fr,MONSIEUR RÉGIS DUCASSE,,,06,0330601,,0,,,,,,10/05/1975,,132,120,142,145,181,204,213,-0.21552187,44.392746,COLLEGE ST CLEMENT,,,,,LIEU DIT LABEYRIE,,BP 50001,33430,CUDOS,FRANCE
0332341R,Collège Jacques Prévert,Jacques Prévert,33067,BOURG                                 ,PUBLIC,0557684610,0557940946,ce.0332341R@ac-bordeaux.fr,MADAME VOIN CLAUDETTE,MADAME BENOIST CAROLINE,MADAME LEGENDRE FLORENCE,10,0331002,,0,1,,,,,13/02/1976,,444,496,518,524,567,559,593,-0.55540407,45.041798,COLLEGE JACQUES PREVERT,,,,,RUE DES CLOTES,,BP58,33710,BOURG SUR GIRONDE,FRANCE
0332347X,Collège Sébastien Vauban,Sébastien Vauban,33058,BLAYE                                 ,PUBLIC,0557420400,0557423193,ce.0332347X@ac-bordeaux.fr,MONSIEUR THEBAULT ALAIN,MADAME BAYLE KETTY,MADAME CAUDEMONT CHRISTINE,10,0331001,,1,5,,,,,08/04/1976,,827,800,783,703,680,666,679,-0.65847206,45.12461,COLLEGE SEBASTIEN VAUBAN,,,,,RUE DU DOCTEUR BOUTIN,,BP 55,33390,BLAYE,FRANCE
0332487Z,Collège St Elme,St Elme,33009,ARCACHON                              ,PRIVE,0556549223,0556548805,ce.0332487Z@ac-bordeaux.fr,MONSIEUR GEORGES AMBROISE,,,09,0330902,,0,,,,,,01/09/1980,,395,411,431,471,468,484,473,-1.1530029,44.655556,COLLEGE ST ELME,,,50,,BOULEVARD DEGANNE,,,33120,ARCACHON,FRANCE
0330140Y,Collège Grand Parc,Grand Parc,33063,BORDEAUX                              ,PUBLIC,0556111960,0556111965,ce.0330140Y@ac-bordeaux.fr,MONSIEUR THOMAS ERIC CLAUDE,MADAME FLOC'H M.LUCILE,MONSIEUR KABACOFF PAVEL,02,0330204,,1,,,,,,01/05/1965,,430,400,413,429,417,423,404,-0.5820867,44.856155,COLLEGE GRAND PARC,,,25,,RUE PIERRE TREBOD,,,33300,BORDEAUX,FRANCE
0332806W,Collège Le Mirail,Le Mirail,33063,BORDEAUX                              ,PRIVE,0557950680,0557950684,ce.0332806W@ac-bordeaux.fr,MONSIEUR COUCHARRIERE,,,01,0330107,,0,,,,,,01/10/1990,,172,167,214,251,264,310,323,-0.57239634,44.828003,COLLEGE LE MIRAIL,,,61,,COURS DE LA SOMME,,,33800,BORDEAUX,FRANCE
0331891B,Collège Les Lesques,Les Lesques,33240,LESPARRE MEDOC                        ,PUBLIC,0556411398,0556416643,ce.0331891B@ac-bordeaux.fr,MADAME BOIRIE DOMINIQUE,MADAME FARGEOT CHARLOTTE,,08,0330804,RRS,0,,,,,,04/02/1971,,536,541,581,617,639,657,665,-0.9267202,45.3002,COLLEGE LES LESQUES,,,1,,AVENUE JEAN MOULIN,,BP 80048,33341,LESPARRE MEDOC CEDEX,FRANCE
0330084M,Collège Toulouse Lautrec,Toulouse Lautrec,33227,LANGON                                ,PUBLIC,0556622250,0557981918,ce.0330084M@ac-bordeaux.fr,MADAME STEPHANUS MICHÈLE,MADAME MAUCOURANT-DALLOZ EVELYNE,MADAME BOURGARIT CATHERINE,06,0330604,,1,,,,,,01/05/1965,,692,694,702,723,746,760,745,-0.25208792,44.545105,COLLEGE TOULOUSE LAUTREC,,,1,,AVENUE LEON BLUM,,BP 40281,33212,LANGON CEDEX,FRANCE
0330091V,Collège Les Dagueys,Les Dagueys,33243,LIBOURNE                              ,PUBLIC,0557511187,0557552131,ce.0330091V@ac-bordeaux.fr,MONSIEUR VERDIER PHILIPPE,MADAME HERBIN CHANTAL,MADAME CABOURDIN DUBOSCQ MARIE-CHRISTINE,04,0330408,,1,3,,,,,01/05/1965,,563,576,631,655,653,676,702,-0.2431213,44.949375,COLLEGE LES DAGUEYS,,,27,,AVENUE FRANCOIS MITTERRAND,,BP 116,33503,LIBOURNE CEDEX,FRANCE
0330093X,Collège de Lussac,Lussac,33261,LUSSAC                                ,PUBLIC,0557746032,0557745824,ce.0330093X@ac-bordeaux.fr,MONSIEUR HERCE OLIVIER,,MADAME TREBUCQ CLARISSE,04,0330410,RRS,0,4,,,,,01/05/1965,,302,298,320,326,320,329,325,-0.09927583,44.949234,COLLEGE LUSSAC,,,1,,AVENUE DE VERDUN,,,33570,LUSSAC,FRANCE
0330100E,Collège Eleonore De Provence,Eleonore De Provence,33289,MONSEGUR                              ,PUBLIC,0556615640,0556616421,ce.0330100E@ac-bordeaux.fr,MONSIEUR DAUDET JEAN-PIERRE,,MADAME BOGET NATHALIE,06,0330605,,0,,,,,,01/05/1965,,214,236,255,272,293,294,293,0.06904372,44.64875,COLLEGE ELEONORE DE PROVENCE,,,,,LIEU DIT LESTAGE,,,33580,MONSEGUR,FRANCE
0330103H,Collège Pierre De Belleyme,Pierre De Belleyme,33314,PAUILLAC                              ,PUBLIC,0556732600,0556592672,ce.0330103H@ac-bordeaux.fr,MADAME RONNE VERONIQUE,MONSIEUR CASTAIGNON SAMUEL,MONSIEUR LUBEIGT BENOIT,08,0330805,RRS,1,,,,,,01/05/1965,,713,709,734,744,793,798,781,-0.75141025,45.20332,COLLEGE PIERRE DE BELLEYME,,,,,RUE EDOUARD DE PONTET,,BP 114,33250,PAUILLAC,FRANCE
0330105K,Collège Champ d'Eymet,Champ d'Eymet,33316,PELLEGRUE                             ,PUBLIC,0556613045,0556614154,ce.0330105K@ac-bordeaux.fr,MADAME BAGGIO-THOMAS CAROLE,,MADAME CELESTE PATRICIA,06,0330606,,0,,,,,,01/05/1965,,145,154,157,152,157,158,169,0.073387936,44.742992,COLLEGE CHAMP D EYMET,,,8,,RUE DES ECOLES,,BP 7,33790,PELLEGRUE,FRANCE
0330106L,Collège Francois Mitterrand,Francois Mitterrand,33318,PESSAC                                ,PUBLIC,0556451579,0556453644,ce.0330106L@ac-bordeaux.fr,MADAME JAFFRE FRANÇOISE,,MADAME LALANNE BENAC JOCELYNE,07,0330708,,0,,,,,,01/05/1965,,417,404,403,422,407,392,388,-0.64585596,44.791985,COLLEGE FRANCOIS MITTERRAND,,,,,RUE ANDRE DE CHENIER,,,33600,PESSAC,FRANCE
0330108N,Collège Georges Brassens,Georges Brassens,33327,PODENSAC                              ,PUBLIC,0556271761,0556274750,ce.0330108N@ac-bordeaux.fr,MONSIEUR HOCQ DENIS,MADAME BRUNEL NATHALIE,MADAME REY BRIGITTE,06,0330607,,1,,,,,,01/05/1965,,577,553,569,616,658,696,743,-0.35206866,44.649727,COLLEGE GEORGES BRASSENS,,,3,B,COURS DU MARECHAL JOFFRE,,,33720,PODENSAC,FRANCE
0330113U,Collège Jean Monnet,Jean Monnet,33389,ST CIERS SUR GIRONDE                  ,PUBLIC,0557326039,0557328069,ce.0330113U@ac-bordeaux.fr,MONSIEUR GUIBON LOÏC,MONSIEUR BATISTA HUMBERTO,MADAME COUTURIER JACQUELINE,10,0331005,,0,,,,,,01/05/1965,,482,503,490,521,528,562,581,-0.61241394,45.29336,COLLEGE JEAN MONNET,,,10,,RUE DES DROITS DE L HOMME,,BP 3,33820,ST CIERS SUR GIRONDE,FRANCE
0331621H,Collège Henri De Navarre,Henri De Navarre,33138,COUTRAS                               ,PUBLIC,0557560040,0557560042,ce.0331621H@ac-bordeaux.fr,MONSIEUR CHAMPIGNEUL J.YVES,MADAME LABBE MONIQUE,MONSIEUR IRR JEAN FRANCOIS,04,0330404,,1,4,,,,,02/04/1968,,784,796,806,840,837,803,810,-0.11791464,45.041336,COLLEGE HENRI DE NAVARRE,,,9,,RUE JEAN ZAY,,BP 70,33230,COUTRAS,FRANCE
0331623K,Collège Alouette,Alouette,33318,PESSAC                                ,PUBLIC,0557891112,0557891113,ce.0331623K@ac-bordeaux.fr,MONSIEUR TOULET MORLANNE FRANCOIS,MADEMOISELLE MOUY LAURENCE,MADAME GARDES AMANTE MADELEINE,07,0330707,,0,,,,,,03/04/1968,,689,690,680,612,625,638,631,-0.6688621,44.801647,COLLEGE ALOUETTE,,,1,,AVENUE PIERRE DE COUBERTIN,,BP 50019,33601,PESSAC CEDEX,FRANCE
0331644H,Collège St Jean,St Jean,33314,PAUILLAC                              ,PRIVE,0557752021,0556596293,ce.0331644H@ac-bordeaux.fr,MONSIEUR XAVIER LIDOUREN,,,08,0330805,,0,,,,,,18/11/1968,,241,253,230,231,217,240,252,-0.74937344,45.194405,COLLEGE ST JEAN,,,7,,RUE DU MAQUIS DES VIGNES OUDIDES,,BP 111,33250,PAUILLAC,FRANCE
0331663D,Collège Cheverus,Cheverus,33063,BORDEAUX                              ,PUBLIC,0556485700,0556487218,ce.0331663D@ac-bordeaux.fr,MADAME MEGRET CATHERINE,MONSIEUR KITTEN HUGUES,MADAME JACTEL LAURENCE,01,0330104,,1,,,,,,03/03/1969,,680,677,642,523,443,400,400,-0.57547724,44.839325,COLLEGE CHEVERUS,,,62,,RUE FIEFFE,,,33800,BORDEAUX,FRANCE
0331666G,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33498,SALLES                                ,PUBLIC,0556884227,0556881410,ce.0331666G@ac-bordeaux.fr,MADAME BRINBOEUF-DULARY LAURENCE,MADAME PERNEZ JOELLE,MADAME CANTON VERONIQUE,09,0330909,RRS,0,,,,,,03/03/1969,,645,685,704,779,815,819,829,-0.8663773,44.55079,COLLEGE ALIENOR D AQUITAINE,,,,,ROUTE DU MARTINET,,BP 30028,33770,SALLES,FRANCE
0331667H,Collège Robert Barriere,Robert Barriere,33506,SAUVETERRE DE GUYENNE                 ,PUBLIC,0556715151,0556715340,ce.0331667H@ac-bordeaux.fr,MONSIEUR SURGET JEAN LUC,MONSIEUR BRUANT MARC,MADAME ROUFFIGNAT MICHELLE,06,0330610,,1,3,,,,,03/03/1969,,365,388,403,398,382,388,385,-0.085310735,44.695896,COLLEGE ROBERT BARRIERE,,,,,AU CLOSET,,BP 28,33540,SAUVETERRE DE GUYENNE,FRANCE
0331752A,Collège Marcellin Berthelot,Marcellin Berthelot,33039,BEGLES                                ,PUBLIC,0557350850,0557350854,ce.0331752A@ac-bordeaux.fr,MONSIEUR MESSAOUDI AHMED,MONSIEUR DAUPHIN JEAN PAUL,MADAME JAFFRES MORGANE,01,0330101,RRS,0,,,,,,18/02/1970,,537,566,589,592,583,602,582,-0.5672612,44.807808,COLLEGE MARCELLIN BERTHELOT,,,25,,RUE BERTHELOT,,BP 154,33130,BEGLES,FRANCE
0331753B,Collège Blanqui,Blanqui,33063,BORDEAUX                              ,PUBLIC,0556508228,0557191490,ce.0331753B@ac-bordeaux.fr,MADAME ROBIN MARIE PIERRE,,MELLE  LASFARGUES ISABELLE,02,0330202,RRS,0,,,,,,18/02/1970,,220,230,239,225,245,233,230,-0.55136245,44.87451,COLLEGE BLANQUI,,,75,,RUE CHARLES MARTIN,,,33300,BORDEAUX,FRANCE
0331754C,Collège Emmanuel Dupaty,Emmanuel Dupaty,33056,BLANQUEFORT                           ,PUBLIC,0556955222,0556955239,ce.0331754C@ac-bordeaux.fr,MADAME CAPOT MICHÈLE,MONSIEUR BOUZIGNAC LAURENT,MADAME MIQUAU  VALÉRIE,02,0330201,,1,,,,,,18/02/1970,,810,798,756,752,765,784,818,-0.62703514,44.907207,COLLEGE EMMANUEL DUPATY,,,28,,RUE DE LATTRE DE TASSIGNY,,BP 121,33294,BLANQUEFORT CEDEX,FRANCE
0331757F,Collège La Garosse,La Garosse,33366,ST ANDRE DE CUBZAC                    ,PUBLIC,0557431236,0557948323,ce.0331757F@ac-bordeaux.fr,MONSIEUR GARRIGUES OLIVIER,MADAME HEINTZ CHRISTINE,MADAME TIFFON NATHALIE,10,0331004,,1,,,,,,18/02/1970,,653,672,694,711,776,796,841,-0.43237343,45.005898,COLLEGE LA GAROSSE,,,,,CHEMIN DE LA GAROSSE,,BP 30,33240,ST ANDRE DE CUBZAC,FRANCE
0331758G,Collège Noes,Noes,33318,PESSAC                                ,PUBLIC,0556152540,0556455054,ce.0331758G@ac-bordeaux.fr,MONSIEUR GIOUD JEAN-FRANÇOIS,MADAME CHAUCHET-SAMUEL ARMELLE,MONSIEUR PORTA BONETE JEAN PAUL,07,0330709,,0,,,,,,18/02/1970,,614,626,576,566,579,594,588,-0.63638604,44.81215,COLLEGE NOES,,,,,AVENUE DE NOES,,,33600,PESSAC,FRANCE
0331759H,Collège Chante Cigale,Chante Cigale,33199,GUJAN MESTRAS                         ,PUBLIC,0556660572,0556667882,ce.0331759H@ac-bordeaux.fr,MADAME CAUTY MARTINE,MADAME DOR ELISABETH,MADAME BECHOU BRIGITTE,09,0330906,,1,,,,,,18/02/1970,,813,802,805,805,826,876,901,-1.0595875,44.621956,COLLEGE CHANTE CIGALE,,,21,,ALLEE PIERRE CORNEILLE,,BP 51,33470,GUJAN MESTRAS,FRANCE
0331880P,Collège Pablo Neruda,Pablo Neruda,33039,BEGLES                                ,PUBLIC,0556859604,0556852688,ce.0331880P@ac-bordeaux.fr,MADAME FORT MARYSE,MONSIEUR RICHARD ARNAUD,MONSIEUR KAYED IZZAT,01,0330102,RRS,1,,,,,,04/02/1971,,418,438,426,401,416,397,413,-0.5630497,44.794617,COLLEGE PABLO NERUDA,,,1,,CHEMIN DE MUSSONVILLE,,,33130,BEGLES,FRANCE
0331884U,Collège Manon Cormier,Manon Cormier,33032,BASSENS                               ,PUBLIC,0556061033,0556069898,ce.0331884U@ac-bordeaux.fr,MADAME BEN HATTATE DJEMAIA,MONSIEUR RAVACHE STÉPHANE,MADAME JAMES VALERIE,03,0330302,,1,,,,,,04/02/1971,,502,515,486,524,519,518,546,-0.5083992,44.900074,COLLEGE MANON CORMIER,,,,,RUE DU 19 MARS 1962,,BP 51,33530,BASSENS,FRANCE
0331885V,Collège Jean Jaures,Jean Jaures,33119,CENON                                 ,PUBLIC,0556863420,0556409336,ce.0331885V@ac-bordeaux.fr,MONSIEUR FELBER PHILIPPE,MONSIEUR SALAS ABDELOUAHED,MADAME MACALLI EMILIE,03,0330305,RRS,1,,,,,,04/02/1971,,590,557,527,525,548,551,578,-0.5147182,44.863125,COLLEGE JEAN JAURES,,,32,,AVENUE DES 4 PAVILLONS,,BP 20115,33151,CENON CEDEX,FRANCE
0331890A,Collège André Lahaye,André Lahaye,33005,ANDERNOS LES BAINS                    ,PUBLIC,0556820723,0556260695,ce.0331890A@ac-bordeaux.fr,MONSIEUR VAMPOUILLE PHILIPPE,MONSIEUR LABROUCHE PIERRE,MADAME BARTHEL FRANCINE,09,0330901,,1,,,,,,04/02/1971,,796,815,841,848,848,866,815,-1.0881894,44.746265,COLLEGE ANDRE LAHAYE,,,1,,AVENUE DE L ESPERANCE,,BP 33,33510,ANDERNOS LES BAINS,FRANCE
0332082J,Collège Edouard Vaillant,Edouard Vaillant,33063,BORDEAUX                              ,PUBLIC,0556396276,0556396320,ce.0332082J@ac-bordeaux.fr,MONSIEUR CANOT ALAIN,MONSIEUR MARMIESSE YANNICK,MADAME LAURENT CHRISTINE,02,0330205,RRS,0,,,,,,23/02/1972,,505,488,492,471,471,379,354,-0.5651724,44.86452,COLLEGE EDOUARD VAILLANT,,,25,,COURS DU RACCORDEMENT,,BP 84,33041,BORDEAUX CEDEX,FRANCE
0332084L,Collège Albert Camus,Albert Camus,33162,EYSINES                               ,PUBLIC,0556280669,0556286270,ce.0332084L@ac-bordeaux.fr,MADAME PEREZ CHANTAL,MONSIEUR ALAVOINE PHILIPPE,MADAME DERUY MARTINE,02,0330209,,0,,,,,,23/02/1972,,581,544,526,549,550,561,582,-0.64342284,44.88439,COLLEGE ALBERT CAMUS,,,3,,RUE LUCIEN PIET,,BP 74,33326,EYSINES CEDEX,FRANCE
0332090T,Collège Bourran,Bourran,33281,MERIGNAC                              ,PUBLIC,0556978293,0556120871,ce.0332090T@ac-bordeaux.fr,MADAME BATTLES MARYSE,MONSIEUR MOY GÉRARD,MONSIEUR FAYE HERVÉ,07,0330705,,1,,,,,,24/02/1972,,465,469,446,548,491,497,502,-0.6312102,44.838276,COLLEGE BOURRAN,,,,,RUE LEO LAGRANGE,,,33700,MERIGNAC,FRANCE
0332189A,Collège Nelson Mandela,Nelson Mandela,33167,FLOIRAC                               ,PUBLIC,0556866044,0557544158,ce.0332189A@ac-bordeaux.fr,MONSIEUR  MEGARD PASCAL,,MADAME FERNANDES CARINE,03,0330308,RRS,0,,,,,,03/04/1973,,259,219,198,203,207,253,360,-0.5329277,44.84141,COLLEGE NELSON MANDELA,,,20,,AVENUE DE LA LIBERATION,,BP 10039,33271,FLOIRAC CEDEX,FRANCE
0332190B,Collège Alfred Mauguin,Alfred Mauguin,33192,GRADIGNAN                             ,PUBLIC,0556890719,0556895814,ce.0332190B@ac-bordeaux.fr,MONSIEUR DERAMBURE PHILIPPE,MADAME BAUDERON NOËLLE,MADAME LEGRAND SYLVIE,05,0330502,,1,,,,,,02/04/1973,,471,453,454,426,436,447,451,-0.5957913,44.772255,COLLEGE ALFRED MAUGUIN,,,2,,AVENUE DU MARECHAL JUIN,,BP 80117,33173,GRADIGNAN CEDEX,FRANCE
0332195G,Collège Victor Louis,Victor Louis,33522,TALENCE                               ,PUBLIC,0557350060,0557350061,ce.0332195G@ac-bordeaux.fr,MONSIEUR SEYT PHILIPPE,MADAME TRUCHON VIDAL VALÉRIE,MONSIEUR STAES MIGUEL,05,0330508,,0,,,,,,14/05/1973,,610,596,643,667,645,666,664,-0.590594,44.80092,COLLEGE VICTOR LOUIS,,,52,,AVENUE DE THOUARS,,BP 46,33405,TALENCE CEDEX,FRANCE
0332244K,Collège Francois Mauriac,Francois Mauriac,33238,LEOGNAN                               ,PUBLIC,0556647203,0556648280,ce.0332244K@ac-bordeaux.fr,MONSIEUR DERAMBURE CHRISTOPHE,MONSIEUR GOULPIER THIERRY,MONSIEUR BASTIEN PATRICK,05,0330505,,0,,,,,,02/05/1974,,595,571,570,576,599,627,635,-0.5913995,44.729866,COLLEGE FRANCOIS MAURIAC,,,2,,RUE DE LA FERME DE RICHEMONT,,BP 2,33850,LEOGNAN,FRANCE
0332248P,Collège Paul Esquinance,Paul Esquinance,33352,LA REOLE                              ,PUBLIC,0556611140,0516440466,ce.0332248P@ac-bordeaux.fr,MADAME SAUQUET CORINNE,MONSIEUR VANDENABEELE JEROME,MADAME DELETANG SYLVIANE,06,0330608,,0,2,,,,,02/05/1974,,573,614,615,651,661,691,668,-0.031673186,44.58433,COLLEGE PAUL ESQUINANCE,,,1,,PORT MAHON,,BP 117,33191,LA REOLE CEDEX,FRANCE
0332285E,Collège Jacques Ellul,Jacques Ellul,33063,BORDEAUX                              ,PUBLIC,0556866411,0557800015,ce.0332285E@ac-bordeaux.fr,MONSIEUR MERCIER PASCAL,,MADAME RENARD MATHILDE,03,0330304,RRS,1,,,,,,14/09/1976,,229,224,221,258,272,289,284,-0.5416347,44.845406,COLLEGE JACQUES ELLUL,,,2,,RUE DU PROFESSEUR CALMETTE,,,33100,BORDEAUX,FRANCE
0332288H,Collège Ausone,Ausone,33036,BAZAS                                 ,PUBLIC,0556250024,0556252508,ce.0332288H@ac-bordeaux.fr,MONSIEUR OLIVARES ANTOINE,MONSIEUR PEROUMAL FRED,MADAME WALTER CATHERINE,06,0330601,,1,,,,,,09/04/1975,,730,730,707,706,715,762,726,-0.21971345,44.427868,COLLEGE AUSONE,,,,,AVENUE FRANCK CAZENAVE,,BP 20074,33430,BAZAS,FRANCE
0332340P,Collège Max Linder,Max Linder,33433,ST LOUBES                             ,PUBLIC,0556204040,0556204267,ce.0332340P@ac-bordeaux.fr,MADAME MARTIN CATHERINE,MONSIEUR COUPEAU ALAIN,MADAME ORSAT CHANTAL,03,0330313,,0,,,,,,13/02/1976,,959,955,946,935,971,1020,1012,-0.42771268,44.91041,COLLEGE MAX LINDER,,,15,,AVENUE DE CAJUS,,BP 51,33451,ST LOUBES CEDEX,FRANCE
0333287U,Collège de Lacanau,Lacanau,33214,LACANAU                               ,PUBLIC,0557177040,0557179485,ce.0333287U@ac-bordeaux.fr,MONSIEUR JOUBERT SERGE,,MADAME GRUMBERG CATHERINE,09,0330912,,0,,,,,,01/09/2013,,,,,,,,355,-1.0875342,44.987175,COLLEGE DE LACANAU,,,,,ALLEE DU COLLEGE,,,33680,LACANAU,FRANCE
0332342S,Collège Cantelande,Cantelande,33122,CESTAS                                ,PUBLIC,0556076169,0556363578,ce.0332342S@ac-bordeaux.fr,MONSIEUR LAFERRIERE JACQUES,MONSIEUR CONSTANTIN CHRISTIAN,MONSIEUR HIVET LAURENT,05,0330501,,0,,,,,,13/02/1976,,886,884,839,848,840,869,899,-0.68774766,44.75906,COLLEGE CANTELANDE,,,1,,CHEMIN DES SOURCES,,,33610,CESTAS,FRANCE
0332343T,Collège Montesquieu,Montesquieu,33213,LA BREDE                              ,PUBLIC,0556202114,0557977941,ce.0332343T@ac-bordeaux.fr,MONSIEUR BIDOT BENOIT,MONSIEUR ALBAREIL LAURENT,MONSIEUR VAYNE ERIC,05,0330504,,0,,,,,,13/02/1976,,685,731,771,733,731,744,707,-0.5295599,44.684,COLLEGE MONTESQUIEU,,,14,,AVENUE EDOUARD CAPDEVILLE,,BP 20046,33652,LA BREDE CEDEX,FRANCE
0332437V,Collège Emile Zola,Emile Zola,33200,LE HAILLAN                            ,PUBLIC,0556280829,0556284923,ce.0332437V@ac-bordeaux.fr,MADAME BERNON PATRICIA,MADAME LAPLANCHE FRANCOISE,MONSIEUR LAUNAY THIERRY,02,0330210,,0,3,,,,,01/09/1978,,537,550,558,567,596,576,578,-0.6730115,44.87123,COLLEGE EMILE ZOLA,,,19,,RUE DE LOS HEROS,,,33185,LE HAILLAN,FRANCE
0332486Y,Collège Ste Claire,Ste Claire,33167,FLOIRAC                               ,PRIVE,0556862282,0556408695,ce.0332486Y@ac-bordeaux.fr,MADAME ELIANE CURNIER,,,03,0330308,,0,,,,,,01/09/1980,,429,432,444,451,462,482,498,-0.51653737,44.846836,COLLEGE STE CLAIRE,,,,,AVENUE HUBERT DUBEDOUT,,,33270,FLOIRAC,FRANCE
0332488A,Collège St Joseph De Tivoli,St Joseph De Tivoli,33063,BORDEAUX                              ,PRIVE,0556080440,0556020550,ce.0332488A@ac-bordeaux.fr,MONSIEUR DOMINIQUE GERARD,,,02,0330207,,0,,,,,,01/09/1980,,979,981,967,974,1003,991,928,-0.5967568,44.853855,COLLEGE ST JOSEPH DE TIVOLI,,,40,,AVENUE D EYSINES,,CS 21426,33073,BORDEAUX CEDEX,FRANCE
0332489B,Collège Notre Dame,Notre Dame,33063,BORDEAUX                              ,PRIVE,0556006900,0556480949,ce.0332489B@ac-bordeaux.fr,MONSIEUR BRUNO GRUYER,,,02,0330203,,0,,,,,,01/09/1980,,289,275,215,246,268,234,227,-0.58150834,44.843224,COLLEGE NOTRE DAME,,,45,,RUE DU PALAIS GALLIEN,,,33000,BORDEAUX,FRANCE
0330122D,Collège Francois Mauriac,Francois Mauriac,33484,ST SYMPHORIEN                         ,PUBLIC,0556257164,0556257825,ce.0330122D@ac-bordeaux.fr,MONSIEUR GUNSETT BERNARD,,MADAME ROUFFAUD NICOLE,06,0330609,RRS,0,,,,,,01/05/1965,,341,347,387,417,454,475,502,-0.49247333,44.43092,COLLEGE FRANCOIS MAURIAC,,,6,,AVENUE DU 8 MAI,,,33113,ST SYMPHORIEN,FRANCE
0330128K,Collège Henri Brisson,Henri Brisson,33522,TALENCE                               ,PUBLIC,0556041280,0557969801,ce.0330128K@ac-bordeaux.fr,MONSIEUR MANIGAND ALAIN,,MADAME FAYARD ALEXANDRA,05,0330507,,0,,,,,,01/05/1965,,413,410,427,447,493,518,502,-0.5914263,44.818985,COLLEGE HENRI BRISSON,,,15,,RUE ARMAND LEROI,,,33400,TALENCE,FRANCE
0330132P,Collège Pont De La Maye,Pont De La Maye,33550,VILLENAVE D ORNON                     ,PUBLIC,0556871403,0556877930,ce.0330132P@ac-bordeaux.fr,MONSIEUR KRAFFT PATRICK,MONSIEUR MINIER RONAN,MONSIEUR BESSEMOULIN LUC,01,0330110,,0,,,,,,01/05/1965,,530,514,531,536,542,558,561,-0.5682435,44.779987,COLLEGE PONT DE LA MAYE,,,5,,ALLEE DU COMMANDANT MOOS,,BP 194,33884,VILLENAVE D ORNON CEDEX,FRANCE
0330145D,Collège Capeyron,Capeyron,33281,MERIGNAC                              ,PUBLIC,0556470106,0556973356,ce.0330145D@ac-bordeaux.fr,MADAME BERJOT MARTINE,MADEMOISELLE VANDERBERGUE NADÈGE,MADAME TESSIER CHRISTELLE,07,0330702,,0,,,,,,08/12/1965,,413,420,427,449,451,421,437,-0.6475932,44.849895,COLLEGE CAPEYRON,,,50,,AVENUE DU BEDAT,,,33700,MERIGNAC,FRANCE
0330163Y,Collège Elie Faure,Elie Faure,33402,STE FOY LA GRANDE                     ,PUBLIC,0553744660,0553583185,ce.0330163Y@ac-bordeaux.fr,MONSIEUR CHARRIER LIONEL,MADAME DUBOIS CATHERINE,MADAME MANOU MURIEL,04,0330412,,1,2,,,,,14/03/1977,,621,646,628,618,581,545,505,0.20273858,44.8428,COLLEGE ELIE FAURE,SAINTE FOY,,,,LA BRANDE EST,,BP 115,33220,ST AVIT ST NAZAIRE,FRANCE
0331513R,Collège St Louis Ste Therese,St Louis Ste Therese,33063,BORDEAUX                              ,PRIVE,0557876451,0557877169,accueil@sthelo.com,MONSIEUR EMMANUEL VILBOIS ,,,02,0330204,,0,,,,,,17/03/1967,,173,163,175,223,241,246,265,-0.56891006,44.85691,COLLEGE ST LOUIS STE THERESE,,,47,,COURS BALGUERIE STUTTENBERG,,,33300,BORDEAUX,FRANCE
