Nom;Type;Secteur;Adresse;BP;CP;Commune;Telephone;Telecopie;Courriel;Site_Web;Hebergemen;Type2;POINT_X;POINT_Y
OASIS;Lycée Professionnel Privé;Privé;18 rue de l'Oratoire;;14000.000000;CAEN;231277200;231866447;ce.0141186n@ac-caen.fr;http://www.oasis-caen.net/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;455088.06245999999;6903170.21772999970
PAUL CORNU;Lycée Général et Technologique;Public;9 rue Paul Cornu;27225;14107.000000;LISIEUX CEDEX;231313311;231313313;ce.0141275k@ac-caen.fr;http://www.etab.ac-caen.fr/cornu/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;497181.64886700001;6899604.91404000020
PAUL CORNU;Lycée Professionnel;Public;9 rue Paul Cornu;27225;14107.000000;LISIEUX CEDEX;231313311;231313313;ce.0141276l@ac-caen.fr;http://www.etab.ac-caen.fr/cornu/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;497182.97178600001;6899455.42415999990
PIERRE ET MARIE CURIE;Lycée Professionnel;Public;377 rue de l'Exode;290;50010.000000;ST LO CEDEX;233756767;233756760;ce.0500066a@ac-caen.fr;http://pmcurie.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;401527.60983799997;6897399.12088000030
PIERRE ET MARIE CURIE;Lycée Général et Technologique;Public;377 rue de l'Exode;290;50010.000000;ST LO CEDEX;233756767;233756760;ce.0501219d@ac-caen.fr;http://www.etab.ac-caen.fr/pmcurie/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;401526.41921099997;6897461.43037999980
PIERRE MENDES - FRANCE;Etablissement Régional d'Enseignement Adapté;Public;rue Soeur Marie Boitier;;61600.000000;LA FERTE MACE;233371422;233374126;ce.0610996b@ac-caen.fr;http://dcalin.fr/sites/erea.html;avec internat et demi-pension;Etablissement Régional d'Enseignement Adapté (E.R.E.A.);453166.36825000000;6838506.54444000030
PIERRE-SIMON DE LAPLACE;Lycée Polyvalent;Public;130 rue de la Délivrande;5183;14075.000000;CAEN CEDEX;231930430;231936191;ce.0142133t@ac-caen.fr;http://www.etab.ac-caen.fr/laplace/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;455289.38618400000;6904731.41461999990
ROBERT DE MORTAIN;Lycée Polyvalent;Public;30 rue de la 30e Division Américaine;;50140.000000;MORTAIN;233590076;233599670;ce.0500049g@ac-caen.fr;http://www.etab.ac-caen.fr/rdmortain/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;409874.86095499998;6845571.52759000010
ROBERT DOISNEAU;Etablissement Régional d'Enseignement Adapté;Public;149 rue Cavelier de La Salle;384;50004.000000;ST LO CEDEX;233778130;233778140;ce.0501232t@ac-caen.fr;http://www.etab.ac-caen.fr/erea-doisneau/;avec internat et demi-pension;Etablissement Régional d'Enseignement Adapté (E.R.E.A.);401515.08203100000;6897164.15625000000
SAINT JEAN EUDES;Lycée Général et Technologique Privé;Privé;2 avenue de la Gare;157;14503.000000;VIRE CEDEX;231681063;231688421;ce.0141173z@ac-caen.fr;http://www.etab.ac-caen.fr/saint-jean-eudes/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;414978.02275800001;6867415.06536000040
SAINT THOMAS D'AQUIN;Lycée Polyvalent Privé;Privé;1 place Claudius Duperron;246;61105.000000;FLERS CEDEX;233650825;233661625;ce.0610698c@ac-caen.fr;http://www.stthomasdaquin.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;438401.26723499998;6855772.22817999960
SAINTE MARIE;Lycée Général et Technologique Privé;Privé;8 avenue de la Croix Guérin;;14000.000000;CAEN;231468631;231445023;ce.0141164p@ac-caen.fr;http://www.saintemarie-caen.asso.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;455249.05776200001;6904100.34602000010
SAINTE URSULE;Lycée Technologique Privé;Privé;1 place Würzburg;6299;14067.000000;CAEN CEDEX;231947100;231949616;ce.0141178e@ac-caen.fr;http://www.lycee-sainte-ursule.fr/-Lycee-technologique-prive-;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;453601.25090099999;6905467.95505999960
SAINTE URSULE;Lycée Professionnel Privé;Privé;30 rue de la Miséricorde;3132;14019.000000;CAEN CEDEX;231860206;231869137;ce.0141867d@ac-caen.fr;http://www.lycee-sainte-ursule.fr/-Lycee-professionnel-prive-;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;453670.59712699999;6905464.12612999980
SAINT-JOSEPH;Lycée Professionnel Privé;Privé;145 avenue de la République;;14800.000000;DEAUVILLE;231982019;231989782;ce.0141192v@ac-caen.fr;http://www.stj-deauville.fr/accueil/index.php;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;486969.03867699997;6921108.77620000020
SAINT-JOSEPH;Lycée Polyvalent Privé;Privé;25 rue des Ecoles;53;50800.000000;VILLEDIEU LES POELES;233910808;233910800;ce.0500126r@ac-caen.fr;http://leslycees.fr/villedieu-les-poeles-50800/lycee-saint-joseph-1oj.html;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;390477.47704099998;6868106.38236000020
SALVADOR ALLENDE;Lycée Général et Technologique;Public;15 rue Guyon de Guercheville;;14200.000000;HEROUVILLE ST CLAIR;231531070;231531079;ce.0141796b@ac-caen.fr;http://www.etab.ac-caen.fr/lycee-salvador-allende/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;456086.90769299999;6905551.68560000040
SAUXMARAIS;Lycée Professionnel;Public;444 rue Chasse aux Loups;171;50110.000000;TOURLAVILLE;233224054;233225107;ce.0501677b@ac-caen.fr;http://www.etab.ac-caen.fr/lp-sauxmarais/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;368283.36156400002;6958542.10907000020
SEVIGNE;Lycée Général Privé;Privé;15 boulevard Girard Desprairies;;50400.000000;GRANVILLE;233500364;233500044;ce.0500119h@ac-caen.fr;http://www.institutionsevigne.org/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;363214.92079599999;6869862.35204000030
SIVARD DE BEAULIEU;Lycée Général et Technologique;Public;7 rue Sivard de Beaulieu;139;50500.000000;CARENTAN;233717500;233717501;ce.0501839c@ac-caen.fr;http://www.lycee-sivard-de-beaulieu.sitew.com/#Page_1.A;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;391807.50192900002;6919974.56651999990
ST FRANCOIS DE SALES;Lycée Polyvalent Privé;Privé;100 rue Labillardière;217;61007.000000;ALENCON CEDEX;233824300;233329916;ce.0610692w@ac-caen.fr;http://www.sfsales.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;485330.58124999999;6818315.41208000020
THOMAS HELYE;Lycée Général et Technologique Privé;Privé;37 rue Emile Zola;;50100.000000;CHERBOURG OCTEVILLE;233781424;233781425;ce.0501299r@ac-caen.fr;http://www.lycee-thomas-helye.com/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;365541.55560800002;6958567.32562999990
THOMAS HELYE;Lycée Professionnel Privé;Privé;37 rue Emile Zola;;50100.000000;CHERBOURG OCTEVILLE;233781424;233781425;ce.0501788x@ac-caen.fr;http://www.lycee-thomas-helye.com/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;365583.22756700002;6958554.62559999990
VICTOR GRIGNARD;Lycée Général et Technologique;Public;10 rue Guillaume Fouace;307;50100.000000;CHERBOURG OCTEVILLE;233930211;233933373;ce.0501828r@ac-caen.fr;http://www.etab.ac-caen.fr/grignard/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;365655.20652900002;6958682.19369000010
VICTOR HUGO;Lycée Général;Public;16 rue Défense Passive;5132;14070.000000;CAEN CEDEX 05;231474550;231951901;ce.0142059m@ac-caen.fr;http://www.etab.ac-caen.fr/vhugo/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;454710.33893400000;6905068.27988000030
VICTOR LEPINE;Lycée Professionnel;Public;40 rue Victor Lépine;;14053.000000;CAEN CEDEX 4;231525100;231525110;ce.0140018u@ac-caen.fr;http://lepine.etab.ac-caen.fr/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;456321.90606200002;6901925.53801000030
VICTORINE MAGNE;Lycée Professionnel Privé;Privé;39 avenue du 6 Juin;135;14103.000000;LISIEUX CEDEX;231612400;231612411;ce.0141197a@ac-caen.fr;http://lycee-pro-victorine-magne.fondation-auteuil.org/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;497094.56201200001;6897249.25255000030
YVONNE GUEGAN;Etablissement Régional d'Enseignement Adapté;Public;1 Route de Colombelles;;14200.000000;HEROUVILLE ST CLAIR;231475911;231471462;ce.0141420t@ac-caen.fr;http://lcs.ereaherouv.lyc14.ac-caen.fr/lcs/;avec internat et demi-pension;Etablissement Régional d'Enseignement Adapté (E.R.E.A.);456788.50816999999;6906821.96681000010
