Commune,Nb pop.,-11ansNbpop,-11ans%Pop,11-17Nbpop,11-17ans%Pop,18-24Nbpop,18-24ans%Pop,25-39Nbpop,25-39ans%Pop,40-54Nbpop,40-64ans%Pop,55-64Nbpop,55-64ans%Pop,65-79Nbpop,65-79%Pop,+80ansNbpop,+80ans%Pop,insee_com,lat,lon,superficie
Grignols,1 141,114,10%,62,5%,80,7%,117,10%,212,19%,187,16%,199,17%,170,15%,33195,44.4096678184, -0.0256453531001,2274.0
Guillac,178,18,10%,24,13%,2,1%,22,12%,53,30%,26,15%,16,9%,17,10%,33196,44.8035781649, -0.2106680867,306.0
Guillos,427,70,16%,47,11%,10,2%,88,21%,99,23%,52,12%,46,11%,15,4%,33197,44.5519470973, -0.518935394792,2287.0
Guîtres,1 690,283,17%,143,8%,105,6%,350,21%,322,19%,202,12%,167,10%,119,7%,33198,45.0431099421, -0.186650688542,496.0
Gujan-Mestras,20 136,2 047,10%,1 715,9%,1 208,6%,2 948,15%,4 309,21%,3 207,16%,3 589,18%,1 114,6%,33199,44.5940361232, -1.08427455858,5020.0
Haux,781,104,13%,73,9%,36,5%,165,21%,179,23%,117,15%,75,10%,32,4%,33201,44.7364762745, -0.365775340015,1053.0
Hostens,1 379,287,21%,131,9%,63,5%,298,22%,262,19%,141,10%,144,10%,53,4%,33202,44.4849173448, -0.656859781081,5725.0
Hourtin,3 318,451,14%,221,7%,156,5%,611,18%,593,18%,598,18%,531,16%,158,5%,33203,45.1807913533, -1.06580080764,22253.0
Hure,504,66,13%,43,8%,22,4%,85,17%,106,21%,73,14%,70,14%,39,8%,33204,44.537084406, -0.00499948026511,726.0
Illats,1 321,189,14%,107,8%,57,4%,256,19%,289,22%,174,13%,150,11%,98,7%,33205,44.6070822576, -0.380440319465,2918.0
Isle-Saint-Georges,541,62,12%,45,8%,42,8%,89,16%,132,24%,88,16%,57,11%,25,5%,33206,44.726604598, -0.473681984875,434.0
Izon,5 349,898,17%,615,11%,288,5%,1 041,19%,1 280,24%,608,11%,405,8%,214,4%,33207,44.922024323, -0.355652161244,1584.0
Jau-Dignac-et-Loirac,1 023,100,10%,80,8%,54,5%,127,12%,217,21%,163,16%,200,20%,82,8%,33208,45.4149833388, -0.96259528402,4723.0
Jugazan,283,42,15%,28,10%,8,3%,50,18%,65,23%,43,15%,27,10%,19,7%,33209,44.7787058839, -0.149444168001,539.0
Juillac,258,38,15%,24,9%,10,4%,36,14%,60,23%,30,12%,45,18%,14,5%,33210,44.8137050234, 0.0536333384557,579.0
La Brède,3 967,526,13%,422,11%,265,7%,657,17%,926,23%,575,14%,392,10%,203,5%,33213,44.6801130358, -0.53691849986,2319.0
La Lande-de-Fronsac,2 373,361,15%,187,8%,129,5%,476,20%,507,21%,364,15%,237,10%,111,5%,33219,44.9839394849, -0.380437424573,851.0
La Réole,4 125,517,13%,355,9%,323,8%,813,20%,763,18%,479,12%,493,12%,382,9%,33352,44.5860904495, -0.042370404021,1258.0
La Rivière,363,56,15%,24,7%,22,6%,70,19%,74,21%,53,15%,46,13%,16,4%,33356,44.9377237217, -0.316177006649,311.0
La Roquille,317,50,16%,33,10%,14,4%,51,16%,58,18%,46,15%,42,13%,22,7%,33360,44.7853020324, 0.232048719283,656.0
La Sauve,1 423,225,16%,135,9%,126,9%,281,20%,309,22%,169,12%,129,9%,49,3%,33505,44.7629611039, -0.311980129147,1859.0
La Teste-de-Buch,24 952,2 550,10%,2 092,8%,1 424,6%,3 508,14%,5 283,21%,3 776,15%,4 308,17%,2 011,8%,33529,44.5561823053, -1.17530826791,17821.0
Labarde,612,78,13%,55,9%,42,7%,111,18%,158,26%,89,15%,61,10%,18,3%,33211,45.0143357782, -0.64053807167,476.0
Labescau,105,15,14%,9,8%,4,4%,19,18%,25,24%,14,13%,16,15%,4,4%,33212,44.4484673998, -0.0833418361423,598.0
Lacanau,4 493,550,12%,373,8%,149,3%,735,16%,987,22%,707,16%,734,16%,257,6%,33214,44.983404414, -1.10810794832,21858.0
Ladaux,202,20,10%,22,11%,13,7%,33,16%,44,22%,31,15%,27,13%,12,6%,33215,44.7032423261, -0.246749239195,430.0
Lados,163,23,14%,17,10%,5,3%,23,14%,36,22%,26,16%,23,14%,9,5%,33216,44.4687250597, -0.135994584664,650.0
Lagorce,1 675,271,16%,140,8%,94,6%,344,21%,362,22%,227,14%,169,10%,67,4%,33218,45.0781941491, -0.160779804845,2835.0
Lalande-de-Pomerol,668,89,13%,56,8%,36,5%,114,17%,141,21%,103,15%,93,14%,36,5%,33222,44.9568056428, -0.206253133932,821.0
Lamarque,1 235,196,16%,100,8%,78,6%,268,22%,234,19%,129,10%,123,10%,107,9%,33220,45.0938248209, -0.711211655735,902.0
Lamothe-Landerron,1 123,141,13%,114,10%,96,9%,165,15%,231,21%,142,13%,153,14%,80,7%,33221,44.5644466731, 0.0611018511899,919.0
Landerrouat,190,28,15%,9,5%,8,4%,37,19%,34,18%,22,11%,36,19%,16,8%,33223,44.7425058294, 0.160918010334,496.0
Landerrouet-sur-Ségur,102,8,8%,8,8%,2,2%,12,12%,20,20%,14,14%,23,23%,15,15%,33224,44.6535808373, -0.0206044198936,310.0
Landiras,2 168,374,17%,199,9%,110,5%,445,21%,462,21%,288,13%,190,9%,99,5%,33225,44.5665616702, -0.442802950502,5994.0
Langoiran,2 299,338,15%,211,9%,143,6%,527,23%,419,18%,302,13%,235,10%,125,5%,33226,44.7077300213, -0.374262816088,1017.0
Langon,7 404,802,11%,566,8%,638,9%,1 290,17%,1 365,18%,980,13%,1 051,14%,711,10%,33227,44.5376287285, -0.241841251091,1376.0
Lansac,709,106,15%,56,8%,30,4%,167,24%,161,23%,99,14%,67,9%,25,3%,33228,45.064093095, -0.534857408079,604.0
Lanton,6 384,615,10%,499,8%,338,5%,798,13%,1 346,21%,1 017,16%,1 289,20%,482,8%,33229,44.7744744246, -0.976985580148,13772.0
Lapouyade,493,75,15%,43,9%,18,4%,102,21%,91,18%,62,13%,63,13%,39,8%,33230,45.1108151595, -0.286501093262,2593.0
Laroque,275,25,9%,32,12%,10,4%,50,18%,67,24%,49,18%,35,13%,7,3%,33231,44.6603681588, -0.305926644431,297.0
Lartigue,47,2,4%,3,6%,0,0%,0,0%,10,21%,15,32%,8,17%,9,19%,33232,44.252892627, -0.0912924578468,1348.0
Laruscade,2 469,475,19%,231,9%,134,5%,563,23%,480,19%,281,11%,215,9%,90,4%,33233,45.1237982623, -0.344529143591,4646.0
Latresne,3 324,371,11%,316,10%,215,6%,490,15%,714,21%,477,14%,523,16%,218,7%,33234,44.7900155493, -0.500800441782,1025.0
Lavazan,245,41,17%,26,11%,16,7%,40,16%,44,18%,30,12%,32,13%,16,7%,33235,44.3913358368, -0.115846952236,899.0
Le Barp,4 908,869,18%,493,10%,295,6%,1 072,22%,1 141,23%,499,10%,415,8%,123,3%,33029,44.6268462922, -0.746697894211,10721.0
Le Bouscat,23 376,2 781,12%,1 790,8%,1 720,7%,4 089,17%,4 901,21%,3 212,14%,3 045,13%,1 837,8%,33069,44.8661298323, -0.602121558626,527.0
Le Fieu,507,80,16%,55,11%,35,7%,99,20%,105,21%,44,9%,58,11%,30,6%,33166,45.0551327657, -0.0359458641255,1454.0
Le Haillan,9 632,1 204,13%,873,9%,833,9%,1 855,19%,2 138,22%,1 362,14%,1 032,11%,335,3%,33200,44.8690837903, -0.684443512134,937.0
Le Nizan,437,56,13%,37,9%,17,4%,61,14%,114,26%,66,15%,66,15%,20,5%,33305,44.4702093406, -0.280941561777,1520.0
Le Pian-Médoc,6 066,897,15%,545,9%,354,6%,1 137,19%,1 377,23%,1 043,17%,547,9%,166,3%,33322,44.9562692622, -0.670672181899,3014.0
Le Pian-sur-Garonne,835,122,15%,80,10%,49,6%,134,16%,194,23%,126,15%,86,10%,44,5%,33323,44.5821324623, -0.216934173908,636.0
Le Porge,2 607,398,15%,209,8%,130,5%,534,20%,575,22%,351,13%,297,11%,113,4%,33333,44.867037132, -1.14092605911,14938.0
Le Pout,546,103,19%,50,9%,17,3%,147,27%,89,16%,81,15%,46,8%,12,2%,33335,44.8044080843, -0.357222869901,386.0
Le Puy,375,45,12%,38,10%,18,5%,52,14%,86,23%,61,16%,54,14%,21,6%,33345,44.6595382268, 0.0603849385467,853.0
Le Taillan-Médoc,9 335,1 391,15%,871,9%,630,7%,1 545,17%,2 196,24%,1 228,13%,1 101,12%,372,4%,33519,44.9111778103, -0.680843022546,1509.0
Le Teich,6 891,932,14%,665,10%,473,7%,1 194,17%,1 624,24%,934,14%,726,11%,344,5%,33527,44.5781043558, -1.02426702104,8644.0
Le Temple,508,73,14%,30,6%,40,8%,100,20%,123,24%,68,13%,57,11%,17,3%,33528,44.8635232625, -0.95904166915,7231.0
Le Tourne,763,119,16%,67,9%,43,6%,149,19%,145,19%,100,13%,104,14%,38,5%,33534,44.717281049, -0.397019832374,258.0
Le Tuzan,241,44,18%,15,6%,14,6%,53,22%,49,21%,37,15%,21,9%,7,3%,33536,44.4493819137, -0.600499889851,1802.0
Le Verdon-sur-Mer,1 377,130,9%,68,5%,65,5%,178,13%,242,18%,260,19%,297,22%,137,10%,33544,45.5385656326, -1.07975440879,2060.0
Lège-Cap-Ferret,8 099,850,10%,623,8%,322,4%,1 146,14%,1 764,22%,1 327,16%,1 423,18%,644,8%,33236,44.7609440223, -1.19293697437,9687.0
Léogeats,759,119,16%,66,9%,31,4%,166,22%,171,22%,99,13%,79,10%,28,4%,33237,44.5068605106, -0.356393129904,1966.0
Léognan,9 586,1 216,13%,909,9%,600,6%,1 425,15%,2 254,24%,1 227,13%,1 454,15%,501,5%,33238,44.7191460436, -0.614707683753,4153.0
Lerm-et-Musset,481,60,13%,43,9%,19,4%,80,17%,96,20%,85,18%,63,13%,35,7%,33239,44.340461313, -0.151525582762,3683.0
Les Artigues-de-Lussac,1 073,163,15%,107,10%,49,5%,189,18%,257,24%,129,12%,127,12%,52,5%,33014,44.9726275615, -0.140230577945,1022.0
Les Billaux,1 134,167,15%,118,10%,68,6%,223,20%,243,21%,135,12%,121,11%,59,5%,33052,44.962026014, -0.242724056573,630.0
Les Églisottes-et-Chalaures,2 193,328,15%,228,10%,142,6%,341,16%,439,20%,283,13%,286,13%,147,7%,33154,45.0928940224, -0.0328830508669,1725.0
Les Esseintes,267,40,15%,23,9%,14,5%,46,17%,67,25%,35,13%,30,11%,14,5%,33158,44.6095361075, -0.0653601250201,508.0
Les Lèves-et-Thoumeyragues,546,55,10%,43,8%,28,5%,86,16%,117,21%,86,16%,89,16%,44,8%,33242,44.7828737867, 0.185216218657,1739.0
Les Peintures,1 564,222,14%,146,9%,95,6%,244,16%,355,23%,233,15%,179,11%,89,6%,33315,45.0651284509, -0.0878121434236,1311.0
Les Salles-de-Castillon,392,47,12%,41,10%,19,5%,50,13%,112,28%,42,11%,64,16%,18,5%,33499,44.9144882685, 0.0055966007677,1120.0
Lesparre-Médoc,5 656,743,13%,442,8%,399,7%,875,15%,1 140,20%,807,14%,797,14%,453,8%,33240,45.2821023678, -0.935162142648,3673.0
Lestiac-sur-Garonne,590,107,18%,48,8%,33,6%,141,24%,122,21%,60,10%,57,10%,22,4%,33241,44.6919250823, -0.37953441784,290.0
Libourne,23 736,2 899,12%,1 922,8%,1 907,8%,4 446,19%,4 786,20%,3 027,13%,2 909,12%,1 840,8%,33243,44.9130767869, -0.234709332068,2068.0
Lignan-de-Bazas,340,59,17%,25,7%,15,5%,67,20%,76,22%,55,16%,31,9%,12,4%,33244,44.432658053, -0.276912828373,1100.0
Lignan-de-Bordeaux,746,112,15%,66,9%,36,5%,128,17%,173,23%,112,15%,94,13%,25,3%,33245,44.7951113982, -0.429417377257,897.0
Ligueux,171,25,15%,17,10%,9,5%,26,15%,33,20%,23,14%,29,17%,7,4%,33246,44.7917917064, 0.262913013471,513.0
Listrac-de-Durèze,177,21,12%,10,6%,12,7%,32,18%,38,22%,28,16%,27,15%,7,4%,33247,44.7607755904, 0.0336581808427,534.0
Listrac-Médoc,2 542,475,19%,231,9%,122,5%,645,25%,514,20%,288,11%,182,7%,84,3%,33248,45.0683170003, -0.829346314707,6074.0
Lormont,20 740,3 008,15%,1 793,9%,2 009,10%,4 278,21%,4 016,19%,2 300,11%,2 250,11%,1 085,5%,33249,44.8765972567, -0.519774925453,779.0
Loubens,306,30,10%,29,9%,21,7%,38,12%,78,25%,61,20%,37,12%,12,4%,33250,44.626465162, -0.0228626595268,590.0
Louchats,704,128,18%,72,10%,58,8%,144,20%,166,24%,56,8%,58,8%,22,3%,33251,44.51328218, -0.57113615369,3937.0
Loupes,687,106,15%,70,10%,46,7%,111,16%,182,27%,85,12%,69,10%,16,2%,33252,44.810050839, -0.390948542123,498.0
Loupiac,1 151,186,16%,91,8%,57,5%,223,19%,221,19%,157,14%,158,14%,57,5%,33253,44.6282363269, -0.287216072924,956.0
Loupiac-de-la-Réole,479,57,12%,60,12%,31,7%,89,19%,97,20%,67,14%,47,10%,31,7%,33254,44.5412367139, -0.0440895943133,536.0
Lucmau,210,22,11%,25,12%,16,7%,25,12%,50,24%,37,18%,24,12%,10,5%,33255,44.2944038567, -0.34085237286,6720.0
Ludon-Médoc,4 265,632,15%,422,10%,266,6%,802,19%,1 084,25%,548,13%,376,9%,135,3%,33256,44.9803239234, -0.590569121795,1865.0
Lugaignac,418,59,14%,44,11%,12,3%,111,27%,79,19%,56,13%,33,8%,23,5%,33257,44.8132322615, -0.193535633137,378.0
Lugasson,277,32,12%,29,11%,6,2%,55,20%,69,25%,33,12%,37,13%,16,6%,33258,44.7559772921, -0.155290604568,643.0
Lugon-et-l'Île-du-Carnay,1 162,167,14%,97,8%,74,6%,248,21%,224,19%,151,13%,146,13%,55,5%,33259,44.9523815308, -0.354697747394,1075.0
Lugos,858,152,18%,89,10%,25,3%,156,18%,199,23%,98,11%,109,13%,30,3%,33260,44.4689386134, -0.915096258031,6231.0
Lussac,1 308,158,12%,118,9%,96,7%,251,19%,295,23%,180,14%,149,11%,61,5%,33261,44.9666973699, -0.0939830004604,2322.0
Macau,3 668,613,17%,317,9%,230,6%,804,22%,808,22%,416,11%,357,10%,123,3%,33262,45.004972156, -0.612661871132,2060.0
Madirac,197,29,15%,25,12%,11,5%,40,20%,54,27%,21,11%,16,8%,2,1%,33263,44.7577269067, -0.397181377193,193.0
Maransin,1 035,161,16%,97,9%,47,4%,200,19%,227,22%,137,13%,96,9%,70,7%,33264,45.073022085, -0.253636034832,2992.0
Marcenais,726,99,14%,81,11%,35,5%,106,15%,213,29%,97,13%,71,10%,24,3%,33266,45.0595596341, -0.344873421107,915.0
Marcheprime,4 532,722,16%,513,11%,311,7%,900,20%,1 189,26%,497,11%,270,6%,130,3%,33555,44.7030054504, -0.856342535157,2480.0
Marcillac,1 194,168,14%,91,8%,55,5%,206,17%,228,19%,179,15%,165,14%,102,9%,33267,45.2741080516, -0.498919623056,3226.0
Margaux,1 523,250,16%,111,7%,103,7%,343,23%,309,20%,172,11%,148,10%,86,6%,33268,45.0468275892, -0.671911642441,731.0
Margueron,353,36,10%,30,8%,17,5%,50,14%,78,22%,58,16%,62,18%,22,6%,33269,44.7662541658, 0.255840872998,1362.0
Marimbault,181,31,17%,25,14%,5,3%,30,17%,45,25%,25,14%,10,6%,10,6%,33270,44.4100701595, -0.258019615716,680.0
Marions,181,20,11%,6,3%,4,2%,23,13%,40,22%,31,17%,40,22%,17,9%,33271,44.3739498817, -0.0894365463696,1631.0
Marsas,1 134,169,15%,140,12%,52,5%,215,19%,264,23%,135,12%,112,10%,46,4%,33272,45.0629627303, -0.376243370882,803.0
Martignas-sur-Jalle,7 313,979,13%,662,9%,698,10%,1 401,19%,1 626,22%,1 075,15%,641,9%,232,3%,33273,44.8450267218, -0.795499117928,2644.0
Martillac,2 770,412,15%,288,10%,208,8%,550,20%,690,25%,320,12%,212,8%,90,3%,33274,44.7153672874, -0.556994506438,1711.0
Martres,126,17,14%,9,7%,4,3%,16,13%,28,22%,16,13%,25,20%,11,9%,33275,44.7073917593, -0.168195738605,303.0
Masseilles,139,17,12%,13,10%,6,4%,14,10%,27,19%,22,16%,29,21%,11,8%,33276,44.4025946002, -0.0592641456363,678.0
Massugas,251,21,8%,28,11%,11,4%,37,15%,65,26%,41,16%,31,12%,18,7%,33277,44.7697025762, 0.101172936078,1441.0
Mauriac,276,35,13%,22,8%,22,8%,54,20%,65,24%,36,13%,29,10%,12,4%,33278,44.7460542854, -0.024421737317,997.0
Mazères,716,119,17%,76,11%,44,6%,133,19%,159,22%,89,12%,63,9%,33,5%,33279,44.503806188, -0.250077983098,1315.0
Mazion,522,66,13%,48,9%,33,6%,80,15%,130,25%,55,10%,71,14%,39,8%,33280,45.1693324994, -0.605631141444,367.0
Mérignac,66 568,7 003,11%,4 953,7%,6 914,10%,14 116,21%,13 769,21%,8 132,12%,7 548,11%,4 133,6%,33281,44.8322953289, -0.681733084891,4784.0
Mérignas,305,38,12%,20,6%,9,3%,48,16%,68,22%,63,21%,43,14%,16,5%,33282,44.785315227, -0.0842235112543,954.0
Mesterrieux,195,15,8%,17,9%,7,4%,31,16%,49,25%,35,18%,24,12%,18,9%,33283,44.6440577159, -0.0111745984691,354.0
Mios,7 871,1 370,17%,807,10%,428,5%,1 754,22%,1 793,23%,854,11%,635,8%,230,3%,33284,44.6179149385, -0.895043516013,13721.0
Mombrier,382,60,16%,22,6%,15,4%,75,20%,83,22%,50,13%,52,14%,25,7%,33285,45.0776862842, -0.546789839877,430.0
Mongauzy,604,76,13%,56,9%,37,6%,90,15%,114,19%,101,17%,91,15%,39,6%,33287,44.5716886086, 0.0260082761358,686.0
Monprimblanc,277,32,12%,26,9%,21,8%,46,17%,65,23%,40,14%,29,10%,19,7%,33288,44.6308462675, -0.255341056142,497.0
Monségur,1 478,143,10%,112,8%,60,4%,190,13%,260,18%,205,14%,244,17%,264,18%,33289,44.6462089079, 0.0892904208174,991.0
Montagne,1 649,253,15%,133,8%,128,8%,320,19%,311,19%,223,14%,201,12%,80,5%,33290,44.9320818849, -0.126958398554,2664.0
Montagoudin,176,23,13%,14,8%,8,4%,18,10%,36,20%,28,16%,33,19%,16,9%,33291,44.5808235972, 0.0052094648538,332.0
Montignac,155,30,19%,16,10%,4,3%,31,20%,27,17%,26,17%,13,8%,8,5%,33292,44.7130267691, -0.217710701052,650.0
Montussan,3 002,426,14%,279,9%,244,8%,578,19%,708,24%,405,13%,280,9%,83,3%,33293,44.8830118626, -0.429149844535,842.0
Morizès,522,76,15%,43,8%,26,5%,96,18%,106,20%,67,13%,81,16%,26,5%,33294,44.6140049596, -0.0976758090404,590.0
Mouillac,98,7,7%,11,11%,9,9%,21,22%,22,23%,14,14%,10,10%,3,3%,33295,45.0062622298, -0.348490908625,181.0
Mouliets-et-Villemartin,1 079,141,13%,92,9%,57,5%,168,16%,241,22%,151,14%,154,14%,74,7%,33296,44.8332902441, -0.0217836463631,1578.0
Moulis-en-Médoc,1 802,300,17%,183,10%,109,6%,372,21%,437,24%,176,10%,165,9%,60,3%,33297,45.0531974317, -0.784543632595,2077.0
Moulon,982,120,12%,98,10%,51,5%,156,16%,239,24%,140,14%,110,11%,68,7%,33298,44.8575503157, -0.220590516596,1334.0
Mourens,371,42,11%,41,11%,26,7%,62,17%,88,24%,55,15%,35,9%,22,6%,33299,44.645047308, -0.211538957224,1072.0
Naujac-sur-Mer,883,114,13%,54,6%,28,3%,156,18%,179,20%,169,19%,139,16%,43,5%,33300,45.2610002038, -1.05592808876,9818.0
Naujan-et-Postiac,534,73,14%,43,8%,22,4%,82,15%,134,25%,80,15%,71,13%,28,5%,33301,44.7877867597, -0.184238478251,1111.0
Néac,392,48,12%,34,9%,26,7%,61,16%,103,26%,42,11%,53,14%,25,6%,33302,44.9434879811, -0.177921280134,712.0
Nérigean,838,108,13%,50,6%,44,5%,150,18%,173,21%,160,19%,119,14%,34,4%,33303,44.843131883, -0.284955496145,1029.0
Neuffons,163,24,15%,15,9%,6,4%,23,14%,37,23%,21,13%,29,18%,7,4%,33304,44.6479485924, 0.0115623600622,470.0
Noaillac,404,49,12%,37,9%,25,6%,68,17%,98,24%,66,16%,45,11%,15,4%,33306,44.517026239, -0.0232977040899,800.0
Noaillan,1 597,280,18%,179,11%,71,4%,273,17%,374,23%,186,12%,169,11%,65,4%,33307,44.4800097936, -0.360121243141,3183.0
Omet,286,39,14%,29,10%,6,2%,55,19%,66,23%,36,13%,45,16%,10,3%,33308,44.6554817395, -0.286590923535,264.0
Ordonnac,479,64,13%,44,9%,28,6%,68,14%,115,24%,71,15%,73,15%,17,3%,33309,45.3073708232, -0.843285688562,1010.0
Origne,181,27,15%,23,13%,5,3%,38,21%,49,27%,23,13%,13,7%,4,2%,33310,44.5038761051, -0.509904943904,2224.0
Paillet,1 213,189,16%,107,9%,69,6%,273,22%,238,20%,176,14%,107,9%,54,4%,33311,44.6854994592, -0.361810561695,243.0
Parempuyre,7 942,1 064,13%,740,9%,609,8%,1 478,19%,1 850,23%,1 191,15%,759,10%,251,3%,33312,44.9541509661, -0.580766578801,2180.0
Pauillac,5 024,599,12%,422,8%,374,7%,809,16%,1 029,20%,714,14%,721,14%,356,7%,33314,45.1990068041, -0.758200153521,3130.0
Pellegrue,1 006,125,12%,83,8%,47,5%,170,17%,170,17%,150,15%,171,17%,91,9%,33316,44.7382200976, 0.0952560866567,3806.0
Périssac,1 081,168,16%,101,9%,51,5%,204,19%,249,23%,145,13%,118,11%,45,4%,33317,45.0242960787, -0.316735068823,1218.0
Pessac,59 203,5 897,10%,4 645,8%,8 511,14%,10 939,18%,11 820,20%,7 098,12%,6 549,11%,3 743,6%,33318,44.7915990521, -0.676303166277,3864.0
Pessac-sur-Dordogne,484,59,12%,35,7%,19,4%,73,15%,96,20%,87,18%,77,16%,38,8%,33319,44.8179368546, 0.0937252585904,771.0
Petit-Palais-et-Cornemps,756,135,18%,75,10%,38,5%,152,20%,179,24%,96,13%,53,7%,27,4%,33320,44.9814131472, -0.0564567492299,1427.0
Peujard,1 906,326,17%,218,11%,98,5%,406,21%,443,23%,162,8%,172,9%,81,4%,33321,45.0484108625, -0.431387189025,1100.0
Pineuilh,4 336,515,12%,317,7%,253,6%,551,13%,755,17%,632,15%,779,18%,533,12%,33324,44.8236972399, 0.233443926253,1721.0
Plassac,870,95,11%,62,7%,35,4%,127,15%,185,21%,154,18%,147,17%,63,7%,33325,45.097903949, -0.651002369546,1501.0
Pleine-Selve,221,32,14%,18,8%,12,5%,43,19%,45,20%,26,12%,32,14%,13,6%,33326,45.3271088387, -0.582258150086,427.0
Podensac,2 865,423,15%,280,10%,144,5%,507,18%,509,18%,334,12%,390,14%,278,10%,33327,44.6459179766, -0.358722392268,830.0
Pomerol,704,79,11%,53,8%,50,7%,131,19%,170,24%,93,13%,102,14%,26,4%,33328,44.9313091859, -0.204692390776,627.0
Pompéjac,238,31,13%,16,7%,9,4%,40,17%,62,26%,36,15%,26,11%,19,8%,33329,44.3995823965, -0.298890658986,964.0
Pompignac,2 767,379,14%,227,8%,185,7%,424,15%,634,23%,458,17%,359,13%,101,4%,33330,44.8541963522, -0.431857978579,1162.0
Pondaurat,479,72,15%,50,10%,15,3%,81,17%,101,21%,64,13%,70,15%,26,5%,33331,44.5317947567, -0.0798688844488,871.0
Porchères,909,117,13%,93,10%,33,4%,135,15%,218,24%,151,17%,110,12%,54,6%,33332,45.0370123077, 0.00132456186091,1336.0
Portets,2 525,435,17%,201,8%,136,5%,580,23%,523,21%,293,12%,255,10%,103,4%,33334,44.6812515729, -0.426367189428,1538.0
Préchac,1 051,99,9%,78,7%,44,4%,149,14%,198,19%,166,16%,205,19%,111,11%,33336,44.3872999991, -0.36765609959,6398.0
Preignac,2 179,312,14%,183,8%,110,5%,401,18%,487,22%,298,14%,263,12%,125,6%,33337,44.5701114534, -0.309617244092,1312.0
Prignac-en-Médoc,217,28,13%,26,12%,9,4%,32,15%,54,25%,32,15%,26,12%,10,5%,33338,45.3185304134, -0.906635025936,752.0
Prignac-et-Marcamps,1 384,193,14%,121,9%,66,5%,248,18%,315,23%,208,15%,177,13%,56,4%,33339,45.0258741295, -0.495032335028,1036.0
Pugnac,2 172,307,14%,167,8%,138,6%,412,19%,445,21%,300,14%,261,12%,140,6%,33341,45.0835194414, -0.498613967058,1358.0
Puisseguin,861,100,12%,84,10%,35,4%,128,15%,214,25%,129,15%,124,14%,48,6%,33342,44.9327886127, -0.0632513144683,1738.0
Pujols,594,80,13%,40,7%,32,5%,99,17%,125,21%,95,16%,85,14%,39,7%,33344,44.806319089, -0.0328874933658,740.0
Pujols-sur-Ciron,779,98,13%,69,9%,41,5%,148,19%,191,25%,109,14%,75,10%,47,6%,33343,44.5707365487, -0.353176378763,759.0
Puybarban,411,68,16%,42,10%,10,2%,66,16%,88,21%,60,15%,52,13%,27,7%,33346,44.5479161456, -0.069264224566,557.0
Puynormand,314,45,14%,29,9%,24,8%,43,14%,83,27%,38,12%,28,9%,23,7%,33347,44.9814938189, -0.00176034544232,770.0
Queyrac,1 384,157,11%,115,8%,75,5%,213,15%,267,19%,218,16%,254,18%,85,6%,33348,45.3608901239, -1.00082649674,3080.0
Quinsac,2 115,326,15%,181,9%,112,5%,375,18%,470,22%,309,15%,227,11%,115,5%,33349,44.7509609178, -0.490697647694,808.0
Rauzan,1 181,156,13%,102,9%,56,5%,201,17%,261,22%,148,12%,138,12%,121,10%,33350,44.7824119957, -0.131058944697,639.0
Reignac,1 432,203,14%,119,8%,56,4%,264,18%,303,21%,179,12%,213,15%,95,7%,33351,45.2294125934, -0.51659465108,3731.0
Rimons,204,19,9%,13,6%,11,5%,29,14%,45,22%,38,19%,32,16%,18,9%,33353,44.6744095264, 0.0144612295759,1432.0
Riocaud,195,24,12%,19,10%,18,9%,28,14%,53,27%,27,14%,17,9%,10,5%,33354,44.7507112352, 0.203198024954,1027.0
Rions,1 589,218,14%,129,8%,100,6%,319,20%,351,22%,232,15%,175,11%,66,4%,33355,44.6684320932, -0.336471805521,1079.0
Roaillan,1 481,281,19%,134,9%,64,4%,317,21%,316,21%,203,14%,126,9%,40,3%,33357,44.5054989017, -0.285142833143,1147.0
Romagne,456,92,20%,45,10%,18,4%,110,24%,90,20%,57,12%,25,5%,20,4%,33358,44.7639270453, -0.204211440747,519.0
Roquebrune,253,25,10%,22,9%,9,4%,45,18%,53,21%,42,17%,49,20%,7,3%,33359,44.6257630925, 0.0206819226945,664.0
Ruch,598,96,16%,63,11%,27,5%,106,18%,143,24%,62,10%,75,13%,26,4%,33361,44.773827226, -0.0332957025403,1461.0
Sablons,1 288,201,16%,113,9%,71,5%,247,19%,297,23%,150,12%,147,11%,63,5%,33362,45.0243699436, -0.182863354079,1181.0
Sadirac,3 653,563,15%,314,9%,222,6%,692,19%,867,24%,569,16%,320,9%,106,3%,33363,44.7827506267, -0.38947986904,1899.0
Saillans,366,55,15%,29,8%,24,7%,62,17%,90,25%,51,14%,46,13%,9,2%,33364,44.9570462832, -0.271169418164,620.0
Saint-Aignan,225,24,11%,20,9%,8,4%,31,14%,53,23%,36,16%,41,18%,11,5%,33365,44.9475875341, -0.297024133452,274.0
Saint-André-de-Cubzac,10 155,1 483,15%,902,9%,827,8%,2 262,22%,2 081,20%,1 093,11%,957,9%,550,5%,33366,44.9954623723, -0.43596742679,2320.0
Saint-André-du-Bois,417,49,12%,27,6%,22,5%,84,20%,93,22%,61,15%,52,12%,30,7%,33367,44.6072494865, -0.187082711636,999.0
Saint-André-et-Appelles,715,96,13%,54,8%,26,4%,108,15%,144,20%,139,19%,105,15%,43,6%,33369,44.8105147656, 0.199159623027,1020.0
