Politique publique,Code du site,Nom du site,Adresse,code commune,commune,Statut juridique,NB_BATIMENT,NB_PARCELLE,Loyer au m²,Ratio_Eau,Ratio_Gaz,Ratio_Elec,Ratio_Fioul,Ratio_GazProp,Ratio_Total,Gaz_Prop,Gaz,Fioul,Elec,Eau,Total,Montant_TF,Mtassneuf,Mtassvet,Mtht_Annuel_Dep,Mtht_Annuel_Rec,Nombre de personne au m²,Surface de plancher (m²),ValImo,ValVNC,latitude,longitude,result_label,code insee
03 Collège et éducation,S0111,ANDERNOS-LES-BAINS CLG ANDRÉ-LAHAYE,1 Avenue de l'Espérance,33510,ANDERNOS LES BAINS,Propriétaire,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"301,91055","5434,39","461975,51","400539,51",44.745953,-1.088021,1 Avenue de l'Espérance 33510 Andernos-les-Bains,33005
03 Collège et éducation,S0112,AUDENGE CLG JEAN-VERDIER,Rue des Cigales,33980,AUDENGE,Propriétaire,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"901,9","5411,4","5127500,02","4105769,45",44.686273,-1.00553,Rue des Cigales 33980 Audenge,33019
03 Collège et éducation,S0113,BIGANOS CLG JEAN-ZAY,41 Avenue de la Côte d'Argent,33380,BIGANOS,Propriétaire,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"771,00854","5397,06","721395,57","595609,57",44.639701,-0.963835,Avenue de la Côte d'Argent 33380 Biganos,33051
03 Collège et éducation,S0114,LEGE-CAP-FERRET CLG G.POMPIDOU,52 B Avenue de la Mairie,33950,LEGE CAP FERRET,Propriétaire,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"897,224","4486,12","10244841,5","9617997,5",44.792627,-1.146411,52 BIS Avenue de la Mairie 33950 Lège-Cap-Ferret,33236
06 Performance de collectivité,S0120,ANDERNOS-LES-BAINS GIE,9 Av d'Arès,33510,ANDERNOS LES BAINS,Propriétaire,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1141,97","55255,65","35921,65",44.750202,-1.108305,9 Avenue d'Ares 33510 Andernos-les-Bains,33005
06 Performance de collectivité,S0121,ARES GIE,36 Av de la Gare,33740,ARES,Propriétaire,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"949,64","12197,78","7526,78",44.767465,-1.135104,36 Avenue de la Gare 33740 Arès,33011
06 Performance de collectivité,S0122,BIGANOS GIE,69 Av Côte d'Argent,33380,BIGANOS,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1461,92","14757,29","9387,29",44.636565,-0.971042,69 Avenue de la Côte d'Argent 33380 Biganos,33051
06 Performance de collectivité,S0123,LEGE-CAP-FERRET GIE,28 Rte de Bordeaux,33950,LEGE CAP FERRET,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1026,09",0,0,44.723622,-1.203353,28 Route de Bordeaux 33950 Lège-Cap-Ferret,33236
03 Collège et éducation,S0124,GUJAN-MESTRAS CLG CHANTE-CIGALE,21 Avenue Pierre Corneille,33470,GUJAN MESTRAS,Propriétaire,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"624,1708","8114,22","11652790,05","10545692,05",44.621819,-1.060666,21 Allée Pierre Corneille 33470 Gujan-Mestras,33199
03 Collège et éducation,S0125,LA-TESTE-DE-BUCH CLG HENRI-DHEURLE,9 Rue Pierre de Coubertin,33260,LA TESTE DE BUCH,Propriétaire,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17118,0,0,0,0,"567,4545",6242,"1597624,79","1361788,79",44.63078,-1.135637,9 Rue Pierre de Coubertin 33260 La Teste-de-Buch,33529
07 Protection valorisation environnement,S0127,LE-TEICH ENS RELAIS-NATURE-DU-PONT-DE-LAMOTHE,Route RD650,33470,LE TEICH,Propriétaire,1,1,0,"0,1072844519",0,"29,6936390415",0,0,"29,6936390415",0,0,0,"3729,818","13,476","3729,818",0,0,0,0,0,0,"125,61","90254,27","85708,27",44.628578,-1.037515,Cantelaude 33470 Le Teich,33527
06 Performance de collectivité,S0128,GUJAN-MESTRAS GIE,87 Av de Césarée,33470,GUJAN MESTRAS,Propriétaire,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1355,63","67975,81","50180,81",44.624358,-1.072679,87 Avenue de Cesarée 33470 Gujan-Mestras,33199
08 Solidarité autonomie et santé,S0130,BELIN-BELIET AS,28 Route de Suzon,33830,BELIN BELIET,Propriétaire,1,2,0,"0,1996373909","171,6424927267","18,3066576717",0,0,"189,9491503984",0,"40708,45",0,"4341,79","47,348","45050,24",0,0,0,0,0,0,"237,17",0,0,44.501377,-0.784958,28 Route de Suzon 33830 Belin-Béliet,33042
05 Mobilité,S0132,SALLES CRD-CE,2 Route de Perrin,33770,SALLES,Affectataire par la loi,4,8,0,"0,7918329883","139,1333828067","144,7973284381",0,0,"283,9307112448",0,"35622,32",0,"37072,46","202,733","72694,78",0,"978502,44","473480,75",0,0,0,"256,03","159742,53","155258,53",44.551476,-0.858244,2 Route de Perrin 33770 Salles,33498
05 Mobilité,S0132,SALLES CRD-CE,2 Route de Perrin,33770,SALLES,Propriétaire,1,2,0,"0,7918329883","139,1333828067","144,7973284381",0,0,"283,9307112448",0,"35622,32",0,"37072,46","202,733","72694,78",0,0,0,0,0,0,"256,03","159742,53","155258,53",44.551476,-0.858244,2 Route de Perrin 33770 Salles,33498
06 Performance de collectivité,S0135,BELIN-BELIET GIE,27 Av Aliénor,33830,BELIN BELIET,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1014,51","14133,45","8737,45",44.497306,-0.790191,27 Avenue Aliénor 33830 Belin-Béliet,33042
08 Solidarité autonomie et santé,S0136,BORDEAUX MDSI ST-JEAN,15 Rue Belle Etoile,33800,BORDEAUX,Propriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332043,"1172197,9",0,0,0,"1600,53","5299997,85","5171443,85",44.828697,-0.559191,15 Rue Belle Étoile 33800 Bordeaux,33063
08 Solidarité autonomie et santé,S0138,GRADIGNAN MDSI,6 Rue Jean Larrieu,33170,GRADIGNAN,Propriétaire,1,2,0,"0,2957310201","129,8770875312","48,5603975274",0,0,"178,4374850586",0,"38029,31",0,"14218,97","86,593","52248,28",0,514653,"437455,03",0,0,"19,520666","292,81","58342,84","48176,84",44.773537,-0.615768,6 Avenue Jean Larrieu 33170 Gradignan,33192
03 Collège et éducation,S0139,CESTAS CLG CANTELANDE,1 Chemin des Sources,33610,CESTAS,Affectataire par la loi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"790,69543","8697,65","3311628,27","2779617,27",44.758089,-0.688267,1 Chemin des Sources 33610 Cestas,33122
03 Collège et éducation,S0140,GRADIGNAN CLG ALFRED-MAUGUIN,2 Avenue du Mal  Juin,33170,GRADIGNAN,Propriétaire,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"851,11554","7660,04","9868044,72","9371977,08",44.772812,-0.596681,2 Avenue du Maréchal Juin 33170 Gradignan,33192
03 Collège et éducation,S0141,GRADIGNAN CLG FONT-DE-MONJOUS,7 Rue Fontaines de Monjous,33170,GRADIGNAN,Propriétaire,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1044,3688","8354,95","8572609,62","6774700,62",44.777063,-0.608693,7 Rue des Fontaines de Monjous 33170 Gradignan,33192
03 Collège et éducation,S0143,ST-SYMPHORIEN CLG FRANCOIS-MAURIAC,6 Avenue du 8 Mai,33113,ST SYMPHORIEN,Propriétaire,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"415,19427","2906,36","11280012,86","9990525,86",44.430488,-0.493151,6 Avenue du Huit Mai 33113 Saint-Symphorien,33484
05 Mobilité,S0144,ST-SYMPHORIEN CRD-CE,10 Bd de la Gare,33113,ST SYMPHORIEN,Propriétaire,2,2,0,"0,1367059617","35,2570748855","5,4669939282",0,0,"40,7240670383",0,"19858,9",0,"3079,339","77,001","22938,238",0,"348438,72","292933,03",0,0,0,"563,26","134783,23","132910,23",44.425993,-0.488373,10 Boulevard de la Gare 33113 Saint-Symphorien,33484
02 Cohésion vie sociale et épanouissement,S0146,HOSTENS BASE-SPORTS-ET-LOISIRS,54 route de Bazas,33125,HOSTENS,Propriétaire,92,37520,"0,3129781914","0,7443184442",0,"32,7410507285",0,"48,4321663269","81,1732170554","595791,2",0,0,402766,"9156,278","998557,2",0,10847426,0,0,"3850,12",0,"12301,56","13966626,9","12961567,42",44.488986,-0.62914,54 Route de Bazas 33125 Hostens,33202
06 Performance de collectivité,S0148,ST-SYMPHORIEN GIE,4 Av Jean Jaurès,33113,ST SYMPHORIEN,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"967,28","21785,53","14169,53",44.429107,-0.483119,4 Avenue Jean Jaurès 33113 Saint-Symphorien,33484
03 Collège et éducation,S0150,TALENCE CLG HENRI-BRISSON,16 Rue Henri Brisson,33400,TALENCE,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"697,815","4186,89","525010,33","450602,33",44.818769,-0.591934,16 Rue Henri Brisson 33400 Talence,33522
03 Collège et éducation,S0151,TALENCE CLG VICTOR-LOUIS,52 Avenue de Thouars,33400,TALENCE,Propriétaire,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"812,5012","6500,01","983753,7","827074,7",44.798953,-0.592376,52 Avenue de Thouars 33400 Talence,33522
08 Solidarité autonomie et santé,S0152,TALENCE CDEF SAFE,48 Avenue Vieille tour,33400,TALENCE,Propriétaire,4,8,0,"0,907363598","178,5715140223","44,4521639785",0,0,"223,0236780007",0,"597073,5",0,"148630,7","3033,87","745704,2",0,5443212,"4777493,5",0,0,"72,68717","3343,61","766916,02","467445,03",44.81364,-0.600593,48 Avenue de la Vieille Tour 33400 Talence,33522
08 Solidarité autonomie et santé,S0155,BLAYE MDSI,2 Rue de la Libération,33390,BLAYE,Propriétaire,1,0,0,"0,2869737005","66,3464625262","31,1248055315",0,0,"97,4712680578",0,53734,0,"25207,98","232,42","78941,98",0,3390655,"2882056,8",0,0,"42,626316","809,9","25908,39","21155,39",45.127521,-0.662311,2 Rue de la Libération 33390 Blaye,33058
03 Collège et éducation,S0156,BLAYE CLG SÉBASTIEN-VAUBAN,9 Rue du Dr. Boutin,33390,BLAYE,Affectataire par la loi,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"686,37274","7550,1","1717838,25","1419028,25",45.124644,-0.658064,9 Rue du Docteur Boutin 33390 Blaye,33058
05 Mobilité,S0157,BLAYE CRD-SIEGE,5 Voie Communale ,33390,BLAYE,Propriétaire,3,6,0,"0,2505014652",0,"88,9095986903",0,0,"88,9095986903",0,0,0,"64625,72","182,082","64625,72",0,"756842,6","656205,9",0,0,"48,458","726,87","245165,82","227288,82",45.129225,-0.661478,5 Voie Communale  33390 Blaye,
08 Solidarité autonomie et santé,S0159,BLAYE MECS ROLLAND,9 Rue Rolland,33390,BLAYE,Propriétaire,1,1,0,"0,9245899326","77,7100426823","50,8294825214",0,0,"128,5395252037",0,"22030,02",0,"14409,65","262,112","36439,67",0,"666021,5","566118,3",0,0,"141,745","283,49","2291,8","2291,8",45.131477,-0.661925,9 Rue Roland 33390 Blaye,33058
06 Performance de collectivité,S0160,BLAYE GIE,52 Rue Jaufré Rudel,33390,BLAYE,Propriétaire,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6317,46",49297,30924,45.123385,-0.658896,52 Rue Jaufre Rudel 33390 Blaye,33058
03 Collège et éducation,S0161,BOURG-SUR-GIRONDE CLG JACQUES-PRÉVERT,Rue des Clotes,33710,BOURG,Propriétaire,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"878,966","4394,83","2685890,42","2173991,42",45.042318,-0.554438,La Clote Nord 33710 Bourg,33067
06 Performance de collectivité,S0163,BOURG-SUR-GIRONDE GIE,888 Le Mas Nord,33710,BOURG-SUR-GIRONDE,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"996,76","1585,64","1032,64",45.042827,-0.559473,888 Au Mas Nord 33710 Bourg,33067
03 Collège et éducation,S0164,VERAC CLG LEO-DROUYN,1 Tour Vérac,33240,VERAC,Propriétaire,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300,12","2400,96","2578591,81","2425526,81",44.992086,-0.339968,1 Tour de Vérac 33240 Vérac,33542
06 Performance de collectivité,S0165,VILLEGOUGE GIE,17 Le Bourg,33141,VILLEGOUGE,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1004,63","1232,62","805,62",44.968478,-0.305788,Fourquet 33141 Villegouge,33548
03 Collège et éducation,S0167,PEUJARD CLG EMILE-DURKHEIM,6 La Michère,33240,PEUJARD,Propriétaire,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"599,3417","3596,05","6917410,74","6252658,74",45.043746,-0.422177,6 La Michère 33240 Peujard,33321
03 Collège et éducation,S0168,ST-ANDRE-DE-CUBZAC CLG LA-GAROSSE,Domaine de la Garosse,33240,ST ANDRE DE CUBZAC,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"665,2645","7317,91","11791890,51","9576489,51",45.007113,-0.431811,Allée de la Garosse 33240 Saint-André-de-Cubzac,33366
05 Mobilité,S0169,ST-ANDRE-DE-CUBZAC CRD-CE,Chemin de Labry,33240,ST ANDRE DE CUBZAC,Affectataire par la loi,2,1,0,"1,4670079445","45,3006433926","218,6879265973",0,0,"263,9885643952",0,"8097,037",0,"39088,28","262,213","47185,316",0,0,0,0,0,0,"178,74","332064,96","301444,96",44.984576,-0.452955,Chemin de Labry 33240 Saint-André-de-Cubzac,33366
08 Solidarité autonomie et santé,S0172,ST-ANDRE-DE-CUBZAC POLE-TERRITORIAL,49 rue Henri Groues dit Abbe Pierre,33240,ST ANDRE DE CUBZAC,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1711628,8",1369303,0,0,0,"2212,66","92411,41","84319,61",44.988606,-0.450383,49 Rue Henri Groues dit Abbé Pierre 33240 Saint-André-de-Cubzac,33366
03 Collège et éducation,S0173,ST-CIERS-SUR-GIRONDE CLG JEAN-MONNET,10 Rue des droits de l'homme,33820,ST CIERS SUR GIRONDE,Propriétaire,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"768,8786","5382,15","2958692,36","2646561,36",45.293816,-0.612541,10 Rue des Droits de l'Homme 33820 Saint-Ciers-sur-Gironde,33389
06 Performance de collectivité,S0174,ETAULIERS GIE,9 Rte de Saint Savin,33820,ETAULIERS,Propriétaire,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1712,37","2596,72","1615,72",45.220903,-0.571954,9 Route de Saint-Savin 33820 Étauliers,33159
06 Performance de collectivité,S0175,ST-CIERS-SUR-GIRONDE GIE,1 Av de la République,33820,ST CIERS SUR GIRONDE,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"787,74","48898,43","29625,43",45.293816,-0.616865,1 Avenue de la République 33820 Saint-Ciers-sur-Gironde,33389
03 Collège et éducation,S0176,ST-YZAN-DE-SOUDIAC CLG VAL-DE-LA-SAYE,2 Rue du Collège,33920,ST YZAN DE SOUDIAC,Propriétaire,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"794,45374","6355,63","9362015,24","8731622,24",45.139905,-0.410168,2 Rue du Collège 33920 Saint-Yzan-de-Soudiac,33492
03 Collège et éducation,S0176,ST-YZAN-DE-SOUDIAC CLG VAL-DE-LA-SAYE,2 Rue du Collège,33920,ST YZAN DE SOUDIAC,Affectataire par la loi,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"794,45374","6355,63","9362015,24","8731622,24",45.139905,-0.410168,2 Rue du Collège 33920 Saint-Yzan-de-Soudiac,33492
05 Mobilité,S0177,ST-SAVIN-DE-BLAYE CRD-CE,21 Rue Paul Petit,33920,ST SAVIN,Propriétaire,1,3,0,"0,3709819371",0,"70,7256611207",0,0,"70,7256611207",0,0,0,"16875,85","88,52","16875,85",0,"268970,22","225934,98",0,0,0,"238,61","296306,11","287516,11",45.141546,-0.44441,21 Rue Paul Petit 33920 Saint-Savin,33473
06 Performance de collectivité,S0179,CAVIGNAC GIE,15 Rue De Bonnin,33620,CAVIGNAC,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"728,45","389574,1","295867,1",45.097663,-0.391498,"15 Rue de Bonin, 33620 Cavignac",
06 Performance de collectivité,S0180,ST-SAVIN-DE-BLAYE GIE,21 Rue Alphonse Michaud,33920,ST SAVIN,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"794,22","7710,04","4888,04",45.139055,-0.453871,21 Rue Alphonse Micheau 33920 Saint-Savin,33473
08 Solidarité autonomie et santé,S0182,CASTILLON-LA-BATAILLE AS,27 Rue Antoune,33350,CASTILLON LA BATAILLE,Propriétaire,1,1,0,0,"348,3712192373","65,0263385309",0,0,"413,3975577682",0,"18543,8",0,"3461,352",0,"22005,152",0,0,0,0,0,0,"53,23","58,24","58,24",44.854375,-0.047685,27 Rue Antoune 33350 Castillon-la-Bataille,33108
03 Collège et éducation,S0183,CASTILLON-LA-BATAILLE CLG ALIÉNOR-D'AQUITAINE,3 Rue Jean Monnet,33350,CASTILLON LA BATAILLE,Propriétaire,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"550,64","3854,48","2283197,3","2034894,3",44.850693,-0.051429,3 Rue Jean Monnet 33350 Castillon-la-Bataille,33108
05 Mobilité,S0184,CASTILLON-LA-BATAILLE CRD-CE,11 Rue Paul Bert,33350,CASTILLON LA BATAILLE,Propriétaire,4,8,0,"0,139624708","32,1087009198","11,0588429143",0,0,"43,1675438341",0,"33127,51",0,"11409,74","144,055","44537,25",0,1306194,"1038865,5",0,0,0,"1031,73","225526,63","217721,63",44.855682,-0.047307,11 Rue Paul Bert 33350 Castillon-la-Bataille,33108
03 Collège et éducation,S0185,COUTRAS CLG HENRI-DE-NAVARRE,9 Rue Jean Zay,33230,COUTRAS,Propriétaire,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"865,54083","10386,49","1544424,48","1326006,48",45.041559,-0.118575,9 Rue Jean Zay 33230 Coutras,33138
05 Mobilité,S0186,COUTRAS CRD-CE,68 zone industrielle Eygreteau ,33230,COUTRAS,Propriétaire,2,4,"1,9378432708","0,1369975524","37,5771576123","5,9098517154",0,0,"43,4870093277",0,"89353,22",0,"14052,8","325,761","103406,02",0,"1198838,8","974079,75",0,"4607,92","475,572","2377,86","326585,38","274302,38",45.036333,-0.101227,68 Audebeau 33230 Coutras,33138
03 Collège et éducation,S0188,GUITRES CLG JEAN-AVIOTTE,8 Grand'rue,33230,GUITRES,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"779,02","3895,1","2797537,07","2159794,87",45.040903,-0.186015,8 Grand-Rue 33230 Guîtres,33198
06 Performance de collectivité,S0190,GUITRES GIE,60 Av De l'Isle,33230,GUITRES,Propriétaire,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1086,32","23861,76","14317,76",45.044183,-0.18402,60 Avenue de l'Isle 33230 Guîtres,33198
06 Performance de collectivité,S0191,LIBOURNE EX-MDSI,7 Avenue Maréchal Foch,33500,LIBOURNE,Propriétaire,1,3,0,"0,3305403944",0,"104,368999033",0,0,"104,368999033",0,0,0,"63676,57","201,666","63676,57",0,"1204893,5","1060301,6",0,0,"25,42125","610,11","9812555,84","9785306,31",44.919947,-0.24211,7 Avenue du Maréchal Foch 33500 Libourne,33243
03 Collège et éducation,S0192,ARVEYRES CLG JEAN-AURIAC,4 Rue Peytot,33500,ARVEYRES,Propriétaire,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"647,95856","4535,71","787617,04","655314,04",44.883674,-0.284971,4 Rue de Peytot 33500 Arveyres,33015
03 Collège et éducation,S0194,LIBOURNE CLG EUGÈNE-ATGET,14 Rue Abel Boireau,33500,LIBOURNE,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"692,4817","4154,89","415445,34","384144,34",44.917715,-0.242039,14 Rue Abel Boireau 33500 Libourne,33243
03 Collège et éducation,S0195,LIBOURNE CLG MARGUERITE-DURAS,13 Rue F. Mauriac,33500,LIBOURNE,Propriétaire,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8602,59","13213267,6","11446486,6",44.902582,-0.235133,13 Avenue François Mauriac 33500 Libourne,33243
08 Solidarité autonomie et santé,S0196,LIBOURNE POLE TERRITORIAL,14 Rue Jules Védrines,33500,LIBOURNE,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2622,37","254644,88","216493,88",44.907755,-0.236425,14 Rue Jules Vedrines 33500 Libourne,33243
05 Mobilité,S0198,ARVEYRES CRD-CE,5 Avenue du Général de Gaulle,33500,ARVEYRES,Affectataire par la loi,1,0,0,"0,1799810307","25,1713514434","25,4935042195",0,0,"50,6648556628",0,"51751,04",0,"52413,37","370,032","104164,41",0,"387503,44","302248,03",0,0,"146,85358","2055,95","747287,46","672473,46",44.913551,-0.251505,5 Avenue du Général de Gaulle 33500 Arveyres,33015
05 Mobilité,S0199,LIBOURNE GARE ROUTIERE,9002 Avenue Gallieni,33500,LIBOURNE,Propriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514653,"437455,03",0,0,0,"227,37","72697,72","68394,72",44.91524,-0.237376,9002 Avenue Gallieni 33500 Libourne,33243
06 Performance de collectivité,S0203,LIBOURNE GIE,46 Av de Verdun,33500,LIBOURNE,Propriétaire,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1115,39","640656,7","640656,7",44.909098,-0.236097,46 Avenue de Verdun 33500 Libourne,33243
06 Performance de collectivité,S0204,ST-EMILION GIE,Rte De Montagne,33330,ST EMILION,Propriétaire,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"661,48","28330,19","17556,19",44.892712,-0.155151,Rue de la Liberté 33330 Saint-Émilion,33394
03 Collège et éducation,S0205,LUSSAC CLG,1 Rue de Verdun,33570,LUSSAC,Propriétaire,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"563,33","3379,98","1124952,72","907665,72",44.949643,-0.098968,Avenue de Verdun 33570 Lussac,33261
06 Performance de collectivité,S0207,LUSSAC GIE,10 Cours des Girondins,33570,LUSSAC,Propriétaire,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1484,19","7258,05","4408,05",44.950862,-0.097654,10 Cours des Girondins 33570 Lussac,33261
08 Solidarité autonomie et santé,S0208,ST-LOUBES MDSI,30 Rue du Stade,33450,ST LOUBES,Propriétaire,1,2,0,"0,295279427",0,"111,8376687345",0,0,"111,8376687345",0,0,0,"42005,11","110,904","42005,11",0,"666021,5","566118,3",0,0,"31,299166","375,59","17334,93","15756,93",44.913537,-0.426788,30 Rue du Stade 33450 Saint-Loubès,33433
03 Collège et éducation,S0209,AMBARES-ET-LAGRAVE CLG CLAUDE-MASSE,4 Avenue Pierre Barre,33440,AMBARES ET LAGRAVE,Propriétaire,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"849,27875","6794,23","3399570,52","3138964,52",44.928319,-0.483032,4 Avenue Pierre Barre 33440 Ambarès-et-Lagrave,33003
03 Collège et éducation,S0210,ST-LOUBES CLG MAX-LINDER,15 Avenue de Cajus,33450,ST LOUBES,Propriétaire,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"569,6475","6835,77","5699018,39","4714128,39",44.910275,-0.429005,"15 Avenue de Cajus, 33450 Saint-Loubès",
06 Performance de collectivité,S0211,CARBON-BLANC ETAT,13 Avenue Vigneau d'Anglade,33560,CARBON BLANC,Copropriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514653,"437455,03",0,0,0,"308,35","11468,57","7513,57",44.895377,-0.502874,13 Avenue André Vignau Anglade 33560 Carbon-Blanc,33096
06 Performance de collectivité,S0212,AMBARES-ET-LAGRAVE GIE,42 Av Jules Ferry,33440,AMBARES ET LAGRAVE,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"935,12",0,0,44.93212,-0.502695,42 Avenue Jules Ferry 33440 Ambarès-et-Lagrave,33003
06 Performance de collectivité,S0213,CARBON-BLANC GIE,19 Rue Vigneau d'Anglade,33560,CARBON BLANC,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2334,39","957993,61","729323,61",44.896038,-0.505703,19 Avenue André Vignau Anglade 33560 Carbon-Blanc,33096
08 Solidarité autonomie et santé,S0215,CENON MDSI LA-MARÈGUE,2 Rue Pauline Kergomard,33150,CENON,Propriétaire,1,4,0,"0,357546105",0,"28,877400903",0,0,"126,426174625",0,0,0,"30189,59","373,793","132170,98",0,1731656,"1471907,5",0,0,"36,049656","1045,44","69370,03","62620,03",44.849597,-0.507173,2 Rue Pauline Kergomard 33150 Cenon,33119
03 Collège et éducation,S0216,CENON CLG JEAN-JAURÉS,32 Avenue des 4 Pavillons,33150,CENON,Propriétaire,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"778,6556","7007,9","1177046,66","991885,66",44.862489,-0.516901,32 Avenue des 4 Pavillons 33150 Cenon,33119
03 Collège et éducation,S0217,CENON CLG JEAN-ZAY,Avenue Jean Zay,33150,CENON,Propriétaire,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7679,28","2279275,04","1863585,04",44.853608,-0.50994,Avenue Jean Zay 33150 Cenon,33119
06 Performance de collectivité,S0218,ARTIGUES-PRES-BORDEAUX MPS,24 Avenue De Virecourt,33370,ARTIGUES PRES BORDEAUX,Propriétaire,13,11,0,"0,6242062991","112,1858731639","68,9596423887",0,0,"181,1455155526",0,1207654,0,742334,"6719,431",1949988,0,20179230,13171332,0,0,0,"10764,76","2977261,28","2788595,28",44.854845,-0.499042,24 Avenue Virecourt 33370 Artigues-près-Bordeaux,33013
08 Solidarité autonomie et santé,S0220,BASSENS AS,20 Rue Lamartine,33530,BASSENS,Propriétaire,1,1,0,"0,4107189107","117,6038036038","46,2042032042",0,0,"163,808006808",0,"31784,78",0,"12487,61","111,005","44272,39",0,0,0,0,0,0,"270,27","2924,97","1902,97",44.904406,-0.514696,20 Avenue Lamartine 33530 Bassens,33032
03 Collège et éducation,S0221,BASSENS CLG MANON-CORMIER,15 Rue du 19 mars 1962,33530,BASSENS,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"993,5043","6954,53","11181828,86","8559734,86",44.900638,-0.508965,15 Rue du 19 Mars 1962 33530 Bassens,33032
