RC-NO;RC-RETENU-;RC-NOM;MEDIA;X-WGS84;Y-WGS84;X-L93;Y-L93;MO-NOM;MO-ADRESSE;MO-CP;MO-COMMUNE;MO-TEL;MO-MAIL;GEST-NOM;GEST-ADRES;GEST-CP;GEST-COMMU;GEST-TEL;GEST-MAIL;RC-TYPE;RC-COMMUNE;RC-CO-INSE;RC-CO-DPT;RC-CO-CP;RC-CO-GN;RC-P-TOT-K;RC-P-ENRandR;Classes-ENRandR;RC-BIOMASS;RC-GEOTHER;RC-UVE;RC-CHALEUR;RC-GAZ;RC-FIOUL;RC-AUTRES-;RC-ENERGIE;RC-CO2-KG/;RC-COGENER;RC-INFOS-D;RC-CO-POP-;RC-LONGUEU;RC-VENTE-C;RC-PROD-MW;Classes-production;RC-TAUX-EN;balise_tai;balise_enr;balise_ext
203;1;ORLEANS (45) | Collège Jean Pelletier;fiches_individuelles/fiche_rc_203.pdf;1.8897321;47.9229328;617079;6758643;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;ORLEANS;45234;45;45000;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;113126;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;3
206;1;ORLEANS (45) | Syndicat de copropriétaires Clos Fleuri;fiches_individuelles/fiche_rc_206.pdf;1.9339741;47.9022457;620352;6756299;SYNDICAT DE COPROPRETAIRES CLOS FLEURI;;45100;ORLEANS (45);;;;;;;;;RT;ORLEANS;45234;45;45000;1;920;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;113126;NC;Non;1276;0,5 à 2 Gwh / an;0;2;1;3
205;1;ORLEANS (45) | Quartier La Source;fiches_individuelles/fiche_rc_205.pdf;1.934619;47.8360878;620301;6748948;CU ORLEANS METROPOLE;ESPACE SAINT-MARC 5 PLACE DU 6 JUIN 1944 B.P.95801;45000;ORLEANS (45);238787575;;SOCOS (SOCIETE DE CHAUFFAGE D'ORLEANS LA SOURCE);;;;;;SPDC;ORLEANS;45234;45;45000;1;178850;25000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.06;Oui;6 141 équivalents logements (source : Via Sèva) | SOCOS : filiale DALKIA;113126;27291;Oui;149584;+ 2 Gwh / an;68;3;2;1
208;1;PITHIVIERS (45) | Collège Denis Poisson;fiches_individuelles/fiche_rc_208.pdf;2.2435451;48.1664829;643762;6785394;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;PITHIVIERS;45252;45;45300;1;1600;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;9242;NC;Non;1400;0,5 à 2 Gwh / an;0;2;1;1
207;1;PATAY (45) | Collège Alfred de Musset;fiches_individuelles/fiche_rc_207.pdf;1.6948896;48.0523626;602766;6773246;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;PATAY;45248;45;45310;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;2027;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;2
210;1;PUISEAUX (45) | Collège Victor Hugo;fiches_individuelles/fiche_rc_210.pdf;2.4679702;48.2073628;660477;6789801;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;PUISEAUX;45258;45;45390;1;930;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;3045;NC;Non;730;0,5 à 2 Gwh / an;0;2;1;3
209;1;PITHIVIERS (45) | Sucrerie depuis UIOM;fiches_individuelles/fiche_rc_209.pdf;2.243076;48.1841979;643746;6787363;SYNDICAT MIXTE BEAUCE GATINAIS VALORISATION;CVD ROUTE DE BOUZONVILLE-EN-BEAUCE;45300;PITHIVIERS (45);;;INOVA FRANCE SA;85 AVENUE VICTOR HUGO;92563;RUEIL-MALMAISON (92);147100350;;RC;PITHIVIERS;45252;45;45300;1;36400;Non;Absence d'ENR&R;Non;Non;Oui;Non;Probable;Non;NC;UVE;0.23;Oui;;9242;1800;NC;26632;+ 2 Gwh / an;>70;3;3;1
212;1;SAINT-DENIS-DE-L'HOTEL (45) | Cité Les Dors;fiches_individuelles/fiche_rc_212.pdf;2.1284498;47.8724212;634845;6752807;LOGEMLOIRET;6 RUE DU COMMANDANT DE POLI - CS 14134;45000;ORLEANS (45);238704444;;SOCCRAM FRANCE SA;44-46 ALLEE LEON GAMBETTA;92110;CLICHY (92);147562222;;RT;SAINT-DENIS-DE-L'HOTEL;45273;45;45550;1;*500;500;ENR&R < 70%;Oui;Non;Non;Non;Probable;NC;Non;Biomasse;NC;Non;;2621;NC;Non;*700;0,5 à 2 Gwh / an;>70;2;3;3
211;;SAINT-CYR-EN-VAL (45) | Maison des associations;fiches_individuelles/fiche_inexistante.pdf;1.966666975;47.833333;622800;6748200;;;;;;;;;;;;;NC;SAINT-CYR-EN-VAL;45272;45;45590;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;3251;NC;Néant;NC;NC;>70;0;3;2
214;;SAINTE-GENEVIEVE-DES-BOIS (45) | Collège en PPP;fiches_individuelles/fiche_inexistante.pdf;2.816666995;47.81666697;686400;6746400;;;;;;;;;;;;;NC;SAINTE-GENEVIEVE-DES-BOIS;45278;45;45230;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie | Granulés;990;NC;Néant;NC;NC;>0;0;2;2
213;1;SAINT-DENIS-DE-L'HOTEL (45) | Laiterie LSDH;fiches_individuelles/fiche_rc_213.pdf;2.1301656;47.8828293;634986;6753962;LAITERIE (SAINT-DENIS-DE-L'HOTEL);10 ROUTE DE L'AERODROME;45550;SAINT-DENIS-DE-L'HOTEL (45);238463000;;;;;;;;RT;SAINT-DENIS-DE-L'HOTEL;45273;45;45550;1;NC;NC;NC(Non connu);NC;NC;Non;NC;NC;NC;NC;;NC;NC;;2621;NC;Non;NC;NC;NC;0;0;0
216;1;SAINT-JEAN-DE-BRAYE (45) | Parfums Christian Dior;fiches_individuelles/fiche_rc_216.pdf;1.9883063;47.9266942;624446;6758962;PARFUMS CHRISTIAN DIOR;185 AVENUE DE VERDUN;45800;SAINT-JEAN-DE-BRAYE (45);238603508;scouratier@diormail.com;;;;;;;RT;SAINT-JEAN-DE-BRAYE;45284;45;45800;1;NC;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;17758;NC;Non;*1000;0,5 à 2 Gwh / an;0;2;1;1
215;1;SAINT-JEAN-DE-BRAYE (45) | Lycée professionnel Gaudier-Brzeska;fiches_individuelles/fiche_rc_215.pdf;1.9474686;47.9122499;621375;6757397;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;SAINT-JEAN-DE-BRAYE;45284;45;45800;1;NC;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;17758;NC;Non;*500;+ 2 Gwh / an;0;2;1;3
218;1;SAINT-JEAN-DE-LA-RUELLE (45) | Copropriété Prairie Grand Espere;fiches_individuelles/fiche_rc_218.pdf;1.8690774;47.9031417;615505;6756466;COPROPRIETE PRAIRIE GRANDE ESPERE;;45140;SAINT-JEAN-DE-LA-RUELLE (45);;;;;;;;;RT;SAINT-JEAN-DE-LA-RUELLE;45285;45;45140;1;1530;500;ENR&R < 70%;Non;Oui;Non;Non;Oui;Non;Non;Géothermie Gaz;0.064;Non;;16560;NC;Non;1200;0,5 à 2 Gwh / an;90;2;3;3
217;1;SAINT-JEAN-DE-LA-RUELLE (45) | Collège André Malraux;fiches_individuelles/fiche_rc_217.pdf;1.8672078;47.9035647;615366;6756515;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;SAINT-JEAN-DE-LA-RUELLE;45285;45;45140;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;NC;NC;Non;;NC;Non;;16560;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;3
220;;VIGLAIN (45) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.300000012;47.73333301;647700;6736600;;;;;;;;;;;;;NC;VIGLAIN;45336;45;45600;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;832;NC;Néant;NC;NC;>70;0;3;2
219;1;SARAN (45) | Pôle santé Oréliance;fiches_individuelles/fiche_rc_219.pdf;1.8786025;47.9395138;616274;6760497;POLE SANTE ORELIANCE;555 AVENUE JACQUELINE AURIOL;45770;SARAN (45);826221515;;;;;;;;RT;SARAN;45302;45;45770;1;4300;1000;ENR&R >= 70%;Non;Oui;Non;Non;Oui;Non;Non;Géothermie Gaz;NC;Non;;14797;NC;Non;5500;+ 2 Gwh / an;35;3;2;3
34;1;SANCOINS (18) | Réseau communal;fiches_individuelles/fiche_rc_34.pdf;2.9221062;46.8345964;694063;6637163;COMMUNE DE SANCOINS (18);MAIRIE DE ET A;18600;SANCOINS (18);;;COMMUNE DE SANCOINS (18);MAIRIE DE ET A;18600;SANCOINS (18);;;SPDC;SANCOINS;18242;18;18600;;1300;700;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.047;NC;;3562;728;Oui;2000;0,5 à 2 Gwh / an;80;3;3;3
33;;SANCERRE (18) | Collège Honoré de Balzac;fiches_individuelles/fiche_inexistante.pdf;2.83333302;47.33333301;687800;6692300;;;;;;;;;;;;;NC;SANCERRE;18241;18;18300;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;1799;NC;Néant;NC;NC;>70;0;3;2
36;1;VIERZON (18) | Collège Albert Camus;fiches_individuelles/fiche_rc_36.pdf;2.0691335;47.2128041;629547;6679583;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;VIERZON;18279;18;18100;;460;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;29719;NC;Non;955;0,5 à 2 Gwh / an;0;2;1;3
35;;SAULZAIS-LE-POTIER (18) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.499999983;46.59999998;661400;6611100;;;;;;;;;;;;;NC;SAULZAIS-LE-POTIER;18245;18;18360;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;492;NC;Néant;NC;NC;>70;0;3;2
38;1;VIERZON (18) | Collège Fernand Léger;fiches_individuelles/fiche_rc_38.pdf;2.0388887;47.2290604;627280;6681416;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;VIERZON;18279;18;18100;;345;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;29719;NC;Non;836;0,5 à 2 Gwh / an;0;2;1;1
37;1;VIERZON (18) | Collège / Lycée Edouard Vaillant et Lycée René Cassin;fiches_individuelles/fiche_rc_37.pdf;2.0690334;47.2292794;629561;6681413;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RC;VIERZON;18279;18;18100;;*250;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;29719;NC;NC;491;0 à 0,5 Gwh / an;0;1;1;3
40;1;VIERZON (18) | ZUP du Clos du Roy - Tunnel Château;fiches_individuelles/fiche_rc_40.pdf;2.0681723;47.2202421;629484;6680410;SA HLM FRANCE LOIRE;33 RUE DU FAUBOURG DE BOURGOGNE;45000;ORLEANS (45);;;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;eric.lecorre@engie.com;RC ou RT;VIERZON;18279;18;18100;;*4000;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.19;Oui;821 équivalents logements (source : Via Sèva);29719;4000;NC;8690;+ 2 Gwh / an;0;3;1;3
39;1;VIERZON (18) | Maison médicale de la Noue;fiches_individuelles/fiche_rc_39.pdf;2.059941;47.210317;628848;6679315;CENTRE HOSPITALIER DE VIERZON;33 RUE LEO MERIGOT;18100;VIERZON (18);;;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;eric.lecorre@engie.com;RC ou RT;VIERZON;18279;18;18100;;3600;1200;ENR&R >= 70%;Oui;Non;Non;Non;Probable;NC;NC;Biomasse;NC;Non;;29719;540;NC;3300;+ 2 Gwh / an;75;3;3;3
42;1;FRESNAY-L'EVEQUE (28) | Réseau communal;fiches_individuelles/fiche_rc_42.pdf;1.8227432;48.2650104;612643;6796726;COMMUNE DE FRESNAY-L'EVEQUE (28);3 RUE DE LA MAIRIE;28310;FRESNAY-L'EVEQUE (28);237999031;fresnay-leveque@wanadoo.fr;;;;;;;RT;FRESNAY-L'EVEQUE;28164;28;28310;1;300;150;ENR&R < 70%;Oui;Non;Non;Non;Non;Oui;Non;Biomasse Fioul;NC;Non;;560;240;Non;*300;0 à 0,5 Gwh / an;>0;1;2;3
41;1;CHATEAUDUN (28) | RC bois DUNES;fiches_individuelles/fiche_rc_41.pdf;1.3470409;48.0748066;576906;6776225;DUNES (DUNOISE ENERGIE SERVICES - CHATEAUDUN);RUE DE VILSAIN;28200;CHATEAUDUN (28);;;DUNES (DUNOISE ENERGIE SERVICES - CHATEAUDUN);RUE DE VILSAIN;28200;CHATEAUDUN (28);;;SPDC;CHATEAUDUN;28088;28;28200;1;27000;9000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.043;Non;1 578 équivalents logements (source : Via Sèva) | DUNES : filiale ENGIE / COFELY;14543;8562;Oui;19332;+ 2 Gwh / an;82;3;3;3
44;1;LES VILLAGES-VOVEENS (28) | RC bois de la Beauce Vovéenne;fiches_individuelles/fiche_rc_44.pdf;1.6273985;48.2722451;598163;6797764;COMMUNAUTE DE COMMUNES DE LA BEAUCE VOVEENNE;6 RUE DE CHATEAUDUN BP 10 003;28150;LES VILLAGES-VOVEENS (28);237991263;com.com.voves@wanadoo.fr;COMMUNAUTE DE COMMUNES DE LA BEAUCE VOVEENNE;6 RUE DE CHATEAUDUN BP 10 003;28150;LES VILLAGES-VOVEENS (28);237991263;com.com.voves@wanadoo.fr;NC;LES VILLAGES-VOVEENS;28422;28;28150;1;*500;550;ENR&R < 70%;Oui;Non;Non;NC;Probable;NC;NC;Biomasse;NC;Non;;2928;NC;NC;*1250;0,5 à 2 Gwh / an;>0;2;2;3
43;1;GELAINVILLE (28) | CA Chartres Métropole;fiches_individuelles/fiche_rc_43.pdf;1.533531;48.415896;591496;6813853;CA CHARTRES METROPOLE;HOTEL DE VILLE PLACE DES HALLES;28000;CHARTRES (28);237913520;brubon@agglo-chartres.fr;;;;;;;SPDC;GELAINVILLE;28177;28;28630;1;*12000;12000;ENR&R >= 70%;Oui;Non;NC;Non;Probable;NC;NC;Biomasse;NC;NC;;409;NC;Oui;*160000;+ 2 Gwh / an;>0;3;2;1
46;1;NOGENT-LE-ROTROU (28) | Les Gauchetières;fiches_individuelles/fiche_rc_46.pdf;0.8002419;48.3213701;536959;6804610;NOGENT PERCHE HABITAT (OPH DE LA CC DU PERCHE);14 RUE DU CHAMP BOSSU;28400;NOGENT-LE-ROTROU (28);;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;NC;NOGENT-LE-ROTROU;28280;28;28400;1;*4800;780;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.219;Oui;455 équivalents logements (source : Via Sèva);11524;2781;NC;6043;+ 2 Gwh / an;25;3;2;1
45;1;LUCE (28) | Habitat Eurelien;fiches_individuelles/fiche_rc_45.pdf;1.4623488;48.4395144;586281;6816578;HABITAT EURELIEN (OFFICE PUBLIC DE L'HABITAT D'EURE ET LOIR);6 RUE JEAN PERRIN;28300;MAINVILLIERS (28);;;IDEX ENERGIES FRANCE;72 AVENUE JB CLEMENT;92513;BOULOGNE-BILLANCOURT (92);147124212;mickael.marcucetti@idex-groupe.com;RT;LUCE;28218;28;28110;1;*500;500;ENR&R < 70%;Oui;Non;Non;Non;Probable;NC;NC;Biomasse;NC;NC;;17701;NC;Non;*1890;0,5 à 2 Gwh / an;>0;2;2;3
48;;THIRON-GARDAIS (28) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.983332972;48.31666701;551300;6803000;;;;;;;;;;;;;NC;THIRON-GARDAIS;28387;28;28480;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1121;NC;Néant;NC;NC;>70;0;3;2
47;1;SAINT-MAURICE-SAINT-GERMAIN (28) | Fondation d'Auteuil;fiches_individuelles/fiche_rc_47.pdf;1.0893269;48.4939717;558845;6823232;FONDATION D'AUTEUIL;CHATEAU DES VAUX;28240;SAINT-MAURICE-SAINT-GERMAIN (28);237537070;;;;;;;;RT;SAINT-MAURICE-SAINT-GERMAIN;28354;28;28240;;3200;NC;NC(Non connu);Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;355;NC;Non;6500;+ 2 Gwh / an;10;3;2;1
50;1;ARGENTON-SUR-CREUSE (36) | OPAC 36;fiches_individuelles/fiche_rc_50.pdf;1.5229136;46.5860662;586908;6610616;OPAC 36;90 AVENUE CHARLES DE GAULLE;36000;CHATEAUROUX (36);254602000;;OPAC 36;90 AVENUE CHARLES DE GAULLE;36000;CHATEAUROUX (36);;;RC ou RT;ARGENTON-SUR-CREUSE;36006;36;36200;1;*900;900;ENR&R >= 70%;Oui;Non;Non;Non;Probable;NC;Non;Biomasse;NC;Non;;5146;NC;NC;*3500;+ 2 Gwh / an;>70;3;3;2
49;;ARDENTES (36) | Collège;fiches_individuelles/fiche_inexistante.pdf;1.833332992;46.74999998;610700;6627500;;;;;;;;;;;;;NC;ARDENTES;36005;36;36120;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie | Granulés;3323;NC;Néant;NC;NC;>70;0;3;2
52;1;CHATEAUROUX (36) | Centre pénitentiaire;fiches_individuelles/fiche_rc_52.pdf;1.7221047;46.7933334;602530;6633366;CENTRE PENITENCIAIRE DE CHATEAUROUX;LE CRAQUELIN;36000;CHATEAUROUX (36);254534000;;;;;;;;RT;CHATEAUROUX;36044;36;36000;1;630;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Non;Electricité;;0.18;Non;;49632;NC;Non;2600;+ 2 Gwh / an;0;3;1;3
51;1;CHATEAUROUX (36) | AFPA Châteauroux;fiches_individuelles/fiche_rc_51.pdf;1.6838556;46.826365;599674;6637082;AFPA (CHATEAUROUX);134 RUE DE VAUGIRARD;36000;CHATEAUROUX (36);;;;;;;;;RT;CHATEAUROUX;36044;36;36000;1;3400;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;49632;NC;Non;4000;+ 2 Gwh / an;0;3;1;1
54;1;CHATEAUROUX (36) | Cité Saint-Jean;fiches_individuelles/fiche_rc_54.pdf;1.7050178;46.8027597;601244;6634434;SCALIS SA;14 RUE SAINT LUC;36000;CHATEAUROUX (36);;;SCALIS SA;14 RUE SAINT LUC;36000;CHATEAUROUX (36);;;RC;CHATEAUROUX;36044;36;36000;1;NC;NC;NC(Non connu);Non;Oui;Non;Non;Oui;Non;Non;Géothermie Gaz;0.046;Non;Réseau datant de 1981;49632;1701;NC;*10000;+ 2 Gwh / an;85;3;3;3
53;1;CHATEAUROUX (36) | Cité de Beaulieu;fiches_individuelles/fiche_rc_53.pdf;1.678554;46.8043497;599229;6634644;OPAC 36;90 AVENUE CHARLES DE GAULLE;36000;CHATEAUROUX (36);;;OPAC 36;90 AVENUE CHARLES DE GAULLE;36000;CHATEAUROUX (36);;;RC;CHATEAUROUX;36044;36;36000;1;10500;3500;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;49632;1310;NC;*12500;+ 2 Gwh / an;93;3;3;3
56;1;CHATEAUROUX (36) | Lycée agricole du Touvent;fiches_individuelles/fiche_rc_56.pdf;1.6926697;46.7867619;600273;6632673;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;IDEX ENERGIES FRANCE;72 AVENUE JB CLEMENT;92513;BOULOGNE-BILLANCOURT (92);147124212;mickael.marcucetti@idex-groupe.com;RT;CHATEAUROUX;36044;36;36000;1;*1200;1200;ENR&R >= 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;NC;Non;;49632;386;Non;*2800;+ 2 Gwh / an;>0;3;2;3
55;1;CHATEAUROUX (36) | Hôpital;fiches_individuelles/fiche_rc_55.pdf;1.6951905;46.798056;600486;6633924;CENTRE HOSPITALIER DE CHATEAUROUX;216 AVENUE DE VERDUN;36000;CHATEAUROUX (36);;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;RT;CHATEAUROUX;36044;36;36000;1;*8000;1200;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.059;Non;;49632;606;Non;10200;+ 2 Gwh / an;75;3;3;3
58;;DEOLS (36) | Emmaüs;fiches_individuelles/fiche_inexistante.pdf;1.7522259;46.8102786;604857;6635211;;;;;;;;;;;;;NC;DEOLS;36063;36;36130;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;8089;NC;Néant;NC;NC;94;0;3;2
57;1;CHATEAUROUX (36) | Lycée Blaise Pascal;fiches_individuelles/fiche_rc_57.pdf;1.7116861;46.796423;601741;6633722;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;romain.deruwez@engie.com;RT;CHATEAUROUX;36044;36;36000;1;6000;2000;ENR&R >= 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;NC;Non;;49632;315;Non;*3000;+ 2 Gwh / an;>0;3;2;3
60;;LA CHATRE (36) | SCALIS - Cité Laulière;fiches_individuelles/fiche_inexistante.pdf;1.9803321;46.5696651;621904;6608241;;;;;;;;;;;;;NC;LA CHATRE;36046;36;36400;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;Oui;NC;NC;Biomasse Gaz;NC;Non;Localisation éloignée de la mairie;4547;NC;Néant;NC;NC;>70;0;3;2
59;1;ISSOUDUN (36) | Les Champs d'Amour;fiches_individuelles/fiche_rc_59.pdf;1.9975015;46.9569563;623765;6651234;CC DU PAYS D'ISSOUDUN;HOTEL DE VILLE PLACE DES DROITS DE L'HOMME BP 150;36100;ISSOUDUN (36);254033636;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;SPDC;ISSOUDUN;36088;36;36100;1;*2500;2500;ENR&R >= 70%;Oui;Non;Non;NC;Probable;NC;NC;Biomasse;0.047;NC;;13685;1588;Oui;*9000;+ 2 Gwh / an;80;3;3;3
62;1;LE BLANC (36) | RC bois du quartier de la gare;fiches_individuelles/fiche_rc_62.pdf;1.0676883;46.6342137;552191;6616714;CC BRENNE - VAL DE CREUSE;5 RUE DE L'EGLISE;36300;RUFFEC (36);254283360;brenne-valdecreuse@wanadoo.fr;CC BRENNE - VAL DE CREUSE;MAIRIE;36300;RUFFEC (36);;brenne-valdecreuse@wanadoo.fr;SPDC;LE BLANC;36018;36;36300;1;3600;1200;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;6998;1332;Oui;*4200;+ 2 Gwh / an;81;3;3;3
61;1;LA CHATRE (36) | SCALIS – Cité Les Capucins;fiches_individuelles/fiche_rc_61.pdf;1.9855569;46.5842818;622325;6609859;COMMUNE DE LA CHATRE (36);PLACE DE L'HOTEL DE VILLE;36400;LA CHATRE (36);254062606;contact@mairie-lachatre.fr;;;;;;;RT;LA CHATRE;36046;36;36400;1;*400;400;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;4547;NC;Non;*800;0,5 à 2 Gwh / an;>0;2;2;2
64;;LUCAY-LE-MALE (36) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.4365597;47.1235038;581479;6670422;;;;;;;;;;;;;NC;LUCAY-LE-MALE;36103;36;36360;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1706;NC;Néant;NC;NC;>70;0;3;2
63;1;LE POINCONNET (36) | Centre-ville;fiches_individuelles/fiche_rc_63.pdf;1.7204871;46.7646431;602355;6630182;COMMUNE DE LE POINCONNET (36);PLACE DU 1ER MAI;36330;LE POINCONNET (36);254605535;mairie.lepoinconnet@wanadoo.fr;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;romain.deruwez@engie.com;RT;LE POINCONNET;36159;36;36330;1;1350;500;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.047;Non;;5021;822;Non;1700;0,5 à 2 Gwh / an;80;2;3;1
2;1;AVORD (18) | Collège Georges Sand;fiches_individuelles/fiche_rc_2.pdf;2.6513546;47.0392698;673527;6659951;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;AVORD;18018;18;18520;1;623;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;2334;NC;Non;346;0 à 0,5 Gwh / an;0;1;1;1
1;1;AUBIGNY-SUR-NERE (18) | Collège Gérard Philippe;fiches_individuelles/fiche_rc_1.pdf;2.4325284;47.4845512;657267;6709508;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;AUBIGNY-SUR-NERE;18015;18;18700;1;430;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;5907;NC;Non;1217;0,5 à 2 Gwh / an;0;2;1;3
