Objet,Notification,fournisseur,Code postal,typologie,objet
"entretien annuel du navire "" l'estuaire"" lot 1 mécanique",04/09/2015,EIFFEL INDUSTRIE MARINE,,> 90 HT,services
"entretien annuel du navire "" l'estuaire"" lot 2 application générale de peinture",10/09/2015,EIFFEL INDUSTRIE MARINE,,> 90 HT,services
maintenance du logiciel digdash et prestations connexes,10/09/2015,DIGDASH,,> 90 HT,services
coordination des parcours dans le cadre de la place – plateforme de coopération de l’emploi culturel,22/09/2015,INSUP AQUITAINE,33000,> 90 HT,services
fourniture de petits matériels et pièces détachées informatiques,05/10/2015,ESI,67610,> 90 HT,services
mainenance des logiciels de l'éditeur scribe,20/10/2015,SAS SCRIBE I.S,,> 90 HT,services
maintenance du logiciel pleade de l'éditeur ajlsm,20/10/2015, AJLSM,,> 90 HT,services
maintenance du logiciel delos de gfi,22/10/2015,GFI PROGICIELS,,> 90 HT,services
"maintenance de l’autocommutateur voix sur ip, fournitures et prestations",12/11/2015,NXTO,,> 90 HT,services
maintenance du logiciel microsat de iga,12/11/2015,IGA,37000,> 90 HT,services
entretien des compresseurs d’air dans divers bâtiments départementaux,30/11/2015,DUFFAU,,> 90 HT,services
entretien du terrain de football jean sango à mérignac,01/12/2015,JARDIN DE GUYENNE,,> 90 HT,services
prestations informatiques,02/12/2015,ICSOR,33520,> 90 HT,services
maintenance des logiciels de l'éditeur geomap,04/12/2015,GEOMAP SERVICES,,> 90 HT,services
la formation/échanges de pratiques pour les bénévoles des associations girondines lot 1 la vie de mon association : son fonctionnement et son évolution,08/12/2015,FEDERATIONFRANCAISE CLUBS OMN,92240,> 90 HT,services
"la formation/échanges de pratiques pour les bénévoles des associations girondines lot 2 le décryptage financier de mon association : mes ressources, ma comptabilité et ma fiscalité",08/12/2015,COOP'ALPHA,33310,> 90 HT,services
la formation/échanges de pratiques pour les bénévoles des associations girondines lot 3 la fonction employeur : ma gestion et mes obligations,08/12/2015,CDOS 33,33000,> 90 HT,services
la formation/échanges de pratiques pour les bénévoles des associations girondines lot 4 une communication réussie : être en interaction avec son environnement,09/12/2015,AQUITAINE CULTURE,33070,> 90 HT,services
maintenance du logiciel b.doc suite,17/12/2015,BUSINESS,,> 90 HT,services
assistance à maîtrise d’ouvrage pour la mise en place d’un contrat de performance énergétique relatif à l’exploitation et la maintenance des installations techniques des collèges publics de gironde.,23/12/2015,SERMET SUD OUEST,33700,> 90 HT,services
"acquisition d’imprimantes, de photocopieurs et infogérance du parc existant au coût à la page",06/01/2015,SCC SA,92744,> 240 HT,services
"essais et etudes geotechniques lot 1 secteur géographique des crd médoc, haute gironde et bordeaux cub entre deux mers",13/01/2015,GINGER CEBTP,33700,> 240 HT,services
"essais et etudes geotechniques lot 2 secteur géographique des crd bassin d’arcachon, sud gironde et libournais",13/01/2015,GINGER CEBTP,33700,> 240 HT,services
marché à bons de commande d’études lot 2 etudes de pollution des sols,14/01/2015,GEOTEC SUD OUEST,33525,> 240 HT,services
maintenance des serveurs et équipements réseaux centraux,15/01/2015,ECONOCOM FRANCE ECS EUROPE COMPUTER SYSTEMES,92000,> 240 HT,services
conception assistance et realisation de documents de communication (multi-attributaire),28/01/2015,PARKER & PARKER,33000,> 240 HT,services
conception assistance et realisation de documents de communication (multi-attributaire),28/01/2015,LGTF VANKSEN,,> 240 HT,services
conception assistance et realisation de documents de communication (multi-attributaire),28/01/2015,INOXIA,,> 240 HT,services
conception assistance et realisation de documents de communication (multi-attributaire),28/01/2015,AGENCE CITRON PRESSE,,> 240 HT,services
"marché de fourniture de carburant, de prestations de nettoyage et d’accès aux réseaux autoroutiers par carte pour les véhicules du conseil général de la gironde lot 1 fourniture de cartes permettant l’accès aux pompes de carburant et aux prestations de nettoyage pour les véhicules du conseil général de la gironde",10/02/2015,TOTAL FRANCE,92069,> 240 HT,services
inventaire / etat des lieux des materiel de cuisine dans les colleges girondins,12/02/2015,ANC  CONSULTING,,> 240 HT,services
mission de coordination sps de 2ème et 3 catégorie sur les opérations de voirie et d'ouvrages d'art lot 5 mission de coordination s.p.s  2ème et 3ème categorie pour les opérations d’ouvrages d’art secteur haute gironde - bdx cub- libournais,12/02/2015,BECS,,> 240 HT,services
mission de coordination sps de 2ème et 3ème catégorie sur les opérations de voirie d'ouvrages d'art lot 1 voirie 2ème et 3ème catégorie - secteur crd médoc et bassin d'arcachon,12/02/2015,ELYFEC SPS,,> 240 HT,services
mission de coordination sps de 2ème et 3ème catégorie sur les opérations de voirie d'ouvrages d'art lot 2 voirie 2ème et 3ème catégorie - secteur libournais et haute gironde,12/02/2015,BECS,,> 240 HT,services
mission de coordination sps de 2ème et 3ème catégorie sur les opérations de voirie d'ouvrages d'art lot 3 voirie 2ème et 3ème catégorie - secteur sud gironde et bordeaux cub entre deux mers,12/02/2015,CIB ROBERT,,> 240 HT,services
"mission de coordination sps de 2ème et 3ème catégorie sur les opérations de voirie d'ouvrages d'art lot 4 2ème et 3ème catégorie pour les opérations d'ouvrages d'art - secteur du bassin d'arcachon, médoc et sud gironde",12/02/2015,CIB ROBERT,,> 240 HT,services
prestations récurrentes de maîtrise d’oeuvre relatives au parc départemental de bâtiments démontables pour les besoins de l'enseignement du second degré et autres besoins de la collectivité en location ou achat,12/02/2015,ATEBAT,,> 240 HT,services
reseau transgironde proximite communaute de communes  medoc estuaire,20/02/2015,CITRAM AQUITAINE,33565,> 240 HT,services
nettoyage des locaux des bâtiments du conseil général de la gironde avec utilisation exclusive de produits éco labellisés lot 1 entretien des locaux situés sur le territoire de bordeaux,26/02/2015,TFN,,> 240 HT,services
"nettoyage des locaux des bâtiments du conseil général de la gironde avec utilisation exclusive de produits éco labellisés lot 2 entretien des locaux situés sur les territoires du médoc, porte du médoc, bassin et graves",26/02/2015,TFN,,> 240 HT,services
"nettoyage des locaux des bâtiments du conseil général de la gironde avec utilisation exclusive de produits éco labellisés lot 3 entretien des locaux situés sur les territoires haute gironde, libournais, sud gironde et haute garonne",26/02/2015,ACTISER,33170,> 240 HT,services
nettoyage des locaux des bâtiments du conseil général de la gironde avec utilisation exclusive de produits éco labellisés lot 4 entretien des locaux du centre condorcet à pessac et du cif de floirac,26/02/2015,APR,,> 240 HT,services
marché à bons de commande d’études lot 3 etude de faisabilité des approvisionnements en énergie,16/03/2015,NR+,,> 240 HT,services
maintenance du système billettique du réseau transgironde (négo1),01/04/2015,VIX TECHNOLOGY FRANCE,25000,> 240 HT,services
conception et realisation de modules open source pour un systeme d’archivage electronique multi-partenaires,03/04/2015,ATOS INTEGRATION,,> 240 HT,services
marché à bons de commande d’études lot 1 etudes géotechniques,14/04/2015,GINGER CEBTP,33700,> 240 HT,services
"prestation diverses pour entretien de terrains ( broyage, éparage…)",08/06/2015,SARL STAFF,,> 240 HT,services
exécution de lignes régulières spécialisées de transport scolaire lot 1 valeyrac civrac en médoc,21/07/2015,CITRAM AQUITAINE,33565,> 240 HT,services
exécution de lignes régulières spécialisées de transport scolaire lot 2 vignonet-castillon la bataille,21/07/2015,AUTOCARS GIRARDIN,33220,> 240 HT,services
exécution de lignes régulières spécialisées de transport scolaire lot 3 frontenac - frontenac,21/07/2015,SARL OLIVIER,33490,> 240 HT,services
exécution de lignes régulières spécialisées de transport scolaire lot 6 préchac - lucmau cazalis - préchac,21/07/2015,ASTG,33113,> 240 HT,services
exécution de lignes régulières spécialisées de transport scolaire lot 7 saint magne - saint magne,21/07/2015,ASTG,33113,> 240 HT,services
"conception, realisation, impression et diffusion du magazine gironde lot 2 impression et livraison du magazine gironde",10/08/2015,IMAYE GRAPHIC,53000,> 240 HT,services
execution de lignes regulieres specialisees de transport scolaire pour la periode du 1er septembre 2015 au 31 aout 2019 lot 4 mombrier - st trojan- samonac,10/08/2015,TRANSHORIZON AUTOCARS,33390,> 240 HT,services
"conception, realisation, impression et diffusion du magazine gironde lot 1 execution realisation et coordinnation du magazine gironde",17/08/2015,SCOOP COMMUNICATION,,> 240 HT,services
execution de lignes regulieres specialisees de transport scolaire pour la periode du 1er septembre 2015 au 31 aout 2019 lot 3 st magne de castillon-castillon la bataille,18/08/2015,CITRAM AQUITAINE,33565,> 240 HT,services
location d’une cuisine centrale provisoire à la maison de la promotion sociale mps d’artigues,19/08/2015,MPK,64160,> 240 HT,services
execution de lignes regulieres specialisees de transport scolaire pour la periode du 1er septembre 2015 au 31 aout 2019 lot 1 st laurent des combes-st laurent des combes,20/08/2015,AQUITAINE CARS SARL,33230,> 240 HT,services
execution de lignes regulieres specialisees de transport scolaire pour la periode du 1er septembre 2015 au 31 aout 2019 lot 2 belves de castillon –castillon la bataille,20/08/2015,AQUITAINE CARS SARL,33230,> 240 HT,services
marché à bons de commande d’études techniques  génie électrique,24/08/2015,C-TECH INGENIERIE,,> 240 HT,services
distribution du magazine gironde,21/09/2015,LA POSTE BORDEAUX,33913,> 240 HT,services
"prestations de services d'assurance pour les bâtiments, les collèges, la responsabilité civile générale et individuelle accidents lot 3 assurance responsabilité civile générale et individuelle accidents",21/10/2015,GRAS SAVOYE GRAND SO,,> 240 HT,services
réalisation d'analyses de biologie pour le cegidd,04/12/2015,EXALAB,33000,> 240 HT,services
maïtrise d'œuvre concernant l'aménagement des infrastructures maritimes du port de rocher sur la commune de la teste de buch,07/12/2015,ARTELIA,,> 240 HT,services
rd 804 - le teich - remise en état de la piste cyclable,06/01/2015,CMR,33260,20-90 HT,travaux
"ac toiture, terrasse, étanchéité réfection de l'étanchéité de la toiture terrasse des sanitaires de la cour de l'annexe ""la benatte"" cassignol bordeaux",03/02/2015,BEMS,33300,20-90 HT,travaux
"	rd10 commune de cambes - travaux de curage d'un puits à proximité de la route départementale au lieu dit ""lamothe""",18/02/2015,SGE,33670,20-90 HT,travaux
marché subséquent à l'accord cadre unique pour les missions de contrôle technique,02/03/2015,BUREAU ALPES CONTRÔLES,,20-90 HT,travaux
route départementale n°241 - aménagement de l'avenue des trois lieues - tranche ouest pr4-125 à pr4+410,16/04/2015,FAYAT BATIMENT,33502,20-90 HT,travaux
"accord cadre menuiserie aluminium, pvc, vitrerie, serrurerie - remplacement de menuiseries au collège camille claudel à latresne",12/05/2015,FERONNERIE RIONNAISE SARL,33410,20-90 HT,travaux
"réfection des enrobés du plateau sportif et le sol de l'amphithéâtre, compris le remplacment des équipements sportifs au collège jean monnet à st ciers sur gironde",08/06/2015,GARONNE BTP,33360,20-90 HT,travaux
rd211 commune de cestas création d'une voie d'évitement par la droite - pr 39+983 à 40+091-chemin de croix d'hins,26/06/2015,ATLANTIC ROUTE,33560,20-90 HT,travaux
travaux de dépollution de terres contaminées aux hydrocarbures dans le cadre de la  reconstruction du collège cassignol à bordeaux,29/06/2015,SECHE ECO SERVICES,,20-90 HT,travaux
rd 23e1 ponts de guirande mise en sécurité n°071 et 072,16/07/2015,LAURRIERE ET FILS,,20-90 HT,travaux
collège albert camus à eysines - restructuration de la demi-pension lot plâtrerie faux plafonds,27/07/2015,MTX,33290,20-90 HT,travaux
"collège albert camus à eysines - restructuration de la demi-pension
lot gros œuvre - maçonnerie - vrd",31/07/2015,MAB SUD-OUEST,,20-90 HT,travaux
collège albert camus à eysines - restructuration de la demi-pension - lot menuiseries extérieures et intérieures,03/08/2015,FERMOTOR,,20-90 HT,travaux
restructuration demi-pension plomberie chauffage ventilaltion,03/08/2015,EIFFAE ENERGIE,,20-90 HT,travaux
rd 125 commune de budos elargissement d'ouvrage pr12+780,17/08/2015,LAURIERE,,20-90 HT,travaux
" collège georges mandel à soulac-sur-mer réfection des sanitaires garçons et filles lot : gros oeuvre, maçonnerie",18/08/2015,SMS,,20-90 HT,travaux
création d'une ventilation mécanique dans les logements de fonction au collège chambery à villenave d'ornon.,18/08/2015,SPIE BATIGNOLLES SUD OUEST,33110,20-90 HT,travaux
collège porte du médoc de parempuyre - refection des enrobés de la cour du collège,24/08/2015,COLAS,33703,20-90 HT,travaux
communes coutures et saint sulpice de guilleragues rd 126 réfection du pont de coutures,24/08/2015,CROBAM,,20-90 HT,travaux
"démolition et évacuation de vestiges, ruines et pylônes sur les ens départementaux",25/08/2015,BORDEAUX DEMOLITION SERVICES,33700,20-90 HT,travaux
aménagement d'une salle d'activités eps lot peinture,28/08/2015,SOPREA,33100,20-90 HT,travaux
mission de contrôle technique pour les travaux de creation d'un preau et amenagement de ses abords. college de bourran a merignac,31/08/2015,ALPES CONTROLES,33520,20-90 HT,travaux
mission de contrôle technique pour les travaux de refection des sanitaires. college les lesques a lesparre,31/08/2015,VERITAS,33612,20-90 HT,travaux
démolition de bâtis départementaux à la ferme de la ronde à cadaujac,28/09/2015,DILMEX,33250,20-90 HT,travaux
collège panchon a arsac - refection des reseaux eu-ev du college – tranche 1  - lot n°1 - pôle : médoc,13/10/2015,GUINTOLI,33500,20-90 HT,travaux
college arveyres  travaux de reprise des réseaux dans le vide sanitaire demi pension,16/11/2015,GARONNE BTP,33360,20-90 HT,travaux
collège chambéry à villenave d'ornon - création de faux-plafonds dans le cadre de l’opération de réfection des installations électriques phase 3 -,20/11/2015,COPEP,33600,20-90 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 1 vrd espaces verts,30/11/2015,ATLANTIC ROUTE,33560,20-90 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 7 signaletique,30/11/2015,GRAPH,,20-90 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 6 equipements sportifs,01/12/2015,SPORTFRANCE,,20-90 HT,travaux
réfection des façades des logements de fonction - collège jean zay à cenon,03/12/2015,PECOU,,20-90 HT,travaux
construction d’une maison départementale de la solidarité et de l’insertion (mdsi) à ambares & lagrave – relance du macro-lot et des lots 9 et 15 après résiliation lot 15 photovoltaïque,05/01/2015,EIFFAGE,,90-240 HT,travaux
rd3 commune de audenge réalisation du giratoire d'accs au domaine de certes,06/01/2015,CMR,33260,90-240 HT,travaux
rd 106 - amélioration de la capacité du giratoire de querquillas,15/01/2015,EIFFAGE TP SUD OUEST - AGENCE NORD AQUITAINE,33187,90-240 HT,travaux
rd 16 communes de pessac dordogne et st seurin de prats remplacement des appareils d'appuis du pont,16/01/2015,SOL TP,,90-240 HT,travaux
immeuble gironde bordeaux - mise en accessibilité du parvis – relance lots 1 et 2 lot 1 démolition-vrd-gros œuvre,22/01/2015,BATRAMSUD,,90-240 HT,travaux
immeuble gironde bordeaux - mise en accessibilité du parvis – relance lots 1 et 2 lot 2 serrurerie,22/01/2015,GROUPE CHARBONNIER METALLERIE,,90-240 HT,travaux
immeuble gironde bordeaux mise en accessibilité du parvis lot 3 électricité,22/01/2015,CEME AQUITAINE,,90-240 HT,travaux
elagage - abattage – essouchement sur les divers sites du conseil général de la gironde,29/01/2015,SGE,,90-240 HT,travaux
amélioration de l'adhérence des chausséees par hydro régénération sur les rd de la gironde lot 2 crd de bordeaux cub entre deux mers et du sud gironde,04/03/2015,NEVIOA TECHNOLOGIE,91000,90-240 HT,travaux
amélioration de l'adhérence des chausséees par hydro régénération sur les rd de la gironde lot 1 crd de la haute gironde et du libournais,05/03/2015,SODICOP,95600,90-240 HT,travaux
rd n°910 - commune de libourne aménagement d'un carrefour giratoire à l'intersection de l'avenue g. pompidou et de la rue des dagueys p.r. 18+040 au p.r.18+160,06/03/2015,COLAS SUD OUEST,24110,90-240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 0 syndic de chantier,26/03/2015,SARL SITEX 33,,90-240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 5 cloison escamotable,27/03/2015,ALGAFLEX,,90-240 HT,travaux
travaux de reconstruction du collège cassignol à bordeaux (ce marché fait suite à la résiliation du marché de l’entreprise sppm),30/03/2015,PLAFONDECOR,,90-240 HT,travaux
"rd 22 commune de laruscade aménagement du bourg du pr22+213 au 23+135 tf : 73192,00  tc: 122087,50",22/04/2015,CMR,33750,90-240 HT,travaux
"projet de valorisation du site estuarien de l’ile nouvelle (gironde) dans le cadre du plan garonne : aménagement du pôle de gestion
relance du lot n°1 après infructueux lot 1 vrd et aménagements paysagers",23/04/2015,FAYAT,,90-240 HT,travaux
route départementale 216 pr 12+234 au pr 12+420 commune de mios aménagement d'un tourne à gauche entre la rd 216 et rd 216e2,23/04/2015,MOTER,33694,90-240 HT,travaux
travaux de création et d'amélioration des infrastructures pour l'accueil du public lot 1 aménagement extérieur et pose du mobilier d'interprétation,28/04/2015,BOUYRIE DE BIE,40660,90-240 HT,travaux
travaux de création et d'amélioration des infrastructures pour l'accueil du public lot 2 mobilier d'interprétation ( fabrication et pose),28/04/2015,BOUYRIE DE BIE,40660,90-240 HT,travaux
"rd10,10e7,10e8 communes de latresnes à loupiac réseau trans-gironde ligne 501- aménagement des points d'arrêts pmr- tf et tc          tf :179800,00 € tc : 208420,00 €",04/05/2015,EUROVIA GIRONDE,33706,90-240 HT,travaux
"accord cadre n° 14.0480  - electricité courants forts, installations de sécurité, courants faibles - collège canterane à castelnau médoc - réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,ACE 2I,33295,90-240 HT,travaux
"accord cadre n° 14.0480  - electricité courants forts, installations de sécurité, courants faibles - collège panchon à arsac
réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,ACE21,,90-240 HT,travaux
"accord cadre n° 14.0481  - electricité courants forts, installations de sécurité, courants faibles - collège emile combes bordeaux réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,FAUCHE AUTOMATION AQUITAINE,33600,90-240 HT,travaux
"accord cadre n° 14.0481  - electricité courants forts, installations de sécurité, courants faibles - collège léonard lenoir à bordeaux- réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,CEGELEC BORDEAUX,33610,90-240 HT,travaux
"accord cadre n° 14.0482  - electricité courants forts, installations de sécurité, courants faibles  - collège marie bartette à arcachon  - réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,SPIE BATIGNOLLES SUD OUEST,33110,90-240 HT,travaux
"accord cadre n° 14.0482  - electricité courants forts, installations de sécurité, courants faibles - collège jean verdier à audenge réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,SPIE BATIGNOLLES SUD OUEST,33110,90-240 HT,travaux
"accord cadre n° 14.0484  - electricité courants forts, installations de sécurité, courants faibles - collège jean monnet à st ciers sur gironde réfection des réseaux vdi et adaptation des réseaux courants forts existants",05/05/2015,BRUNET SA,33370,90-240 HT,travaux
"rd 246e1 commune de la lande de fronsac- recontruction de la chaussée de traverse de bourg- tf du pr3+155 à 3+620 et tc du pr 2+980 à 3+155              tf : 311580,00 tc : 98200,00",05/05/2015,CMR,33187,90-240 HT,travaux
"rd23 confortement de talus ""château bousquet""",05/05/2015,EUROVIA,33706,90-240 HT,travaux
mise en sécurité d'ouvrage de protection portuaire,13/05/2015,BUESA,33710,90-240 HT,travaux
elie-faure à sainte foy la grande - travaux de remplacement des châssis extérieurs en aluminium,18/05/2015,DJM MIROITERIE EURL,33370,90-240 HT,travaux
travaux de confortement de la falaise du château gardera,18/05/2015,OUEST ACRO,,90-240 HT,travaux
"accord cadre n° 14.0482  - electricité courants forts, installations de sécurité, courants faibles - collège henri dheurle à la teste
réfection des réseaux vdi et adaptation des réseaux courants forts existants",21/05/2015,FAUCHE AUTOMATION AQUITAINE,33600,90-240 HT,travaux
"travaux de création et d'amélioration des infrastructures pour l'accueil du public lot 3 signalétique ( fabrication, transport et pose)",27/05/2015,BOUYRIE DE BIE,40660,90-240 HT,travaux
aménagement du tourne à gauche du carrefour du bois du fil avec la voie communale,28/05/2015,SARRAZY TP,,90-240 HT,travaux
collège de lège cap ferret remplacement de la machine à laver de la demi-pension,05/06/2015,FROID CUISINE,,90-240 HT,travaux
amenagement perre sud port du centre – commune de la teste de buch (3 lots) lot 1 ouvrage à terre,15/06/2015,GTM TPGC,,90-240 HT,travaux
"accord cadre n° 11  menuiserie aluminium, pvc, vitrerie, serrurerie - collège anatole france à cadillac
remplacement de menuiseries",17/06/2015,PPG DISTRIBUTION,45140,90-240 HT,travaux
ouvrages flottants sur les  amenagements du perre sud port du centre commune de la teste de buch,19/06/2015,ATLANTIC MARINE,,90-240 HT,travaux
rd 106 commune de lanton - mise aux normes de giration de la bretelle d'accès de rd5e9 b4 à la rd 106 et revêtement du parking de covoiturage de l'échangeur de blagon,26/06/2015,ATLANTIC ROUTE,33560,90-240 HT,travaux
travaux de comblement d'une carrière souterraine sous chaussée au lieu-dit lescours  rd 11 communede grezillac,29/06/2015,COFEX LITTORAL,,90-240 HT,travaux
rd 121 communes de saint antoine sur l’isle et gours mise en sécurité et remise en peinture du pont de saint antoine sur l’isle,01/07/2015,BTPS ATLANTIQUE,,90-240 HT,travaux
travaux dans le cadre de la restructuration partielle du college la garosse a saint andre de cubzac lot 0 syndic de  chantier,09/07/2015,SITEX 33,,90-240 HT,travaux
travaux dans le cadre de la restructuration partielle du college la garosse a saint andre de cubzac lot 1 vrd – gros œuvre –   clos couvert,09/07/2015,MAB SUD OUEST,,90-240 HT,travaux
travaux dans le cadre de la restructuration partielle du college la garosse a saint andre de cubzac lot 3 second œuvre,09/07/2015,ARTBOIS OFFRE INITIALE,,90-240 HT,travaux
travaux dans le cadre de la restructuration partielle du college la garosse a saint andre de cubzac lot 4 cuisine,09/07/2015,FROID CUISINE 33,33750,90-240 HT,travaux
rd 651 - désaffectation et démolition d'une cuve à goudron pour sécuriser l'accotement,10/07/2015,FAYAT ENTREPRISE,33502,90-240 HT,travaux
commune de mios création d'un parking covoiturage mios biganos a660 rd3,16/07/2015,S.A.S VAN CUYCK,,90-240 HT,travaux
voie verte le long du canal de la garonne commune de castets en dorthe création d'une aire piétonne entre les écluses 52 et 51,16/07/2015,EIFFAGE TPSO,,90-240 HT,travaux
etablissement home de mazéres travaux d’aménagement de voirie et réseaux d’assainissements,21/07/2015,CMR,33750,90-240 HT,travaux
réhabilitation des salles informatiques de l’immeuble commun hôtel du département et préfecture de la gironde et de l’immeuble solidarité à bordeaux,21/07/2015,SORREBA TECHNOLOGIE,33700,90-240 HT,travaux
rd 1215 mise aux normes pmr d'arrêt de bus communes de lacanau et castelnau de medoc,22/07/2015,SARRAZY TP AGENCE COLAS S.O.,,90-240 HT,travaux
rd 205 commune de cissac - aménagement d'un giratoire au carrefour de lamothe avec la rd 104,22/07/2015,SARRAZY TP AGENCE COLAS SO,,90-240 HT,travaux
travaux dans le cadre de la restructuration partielle du college la garosse a saint andre de cubzac lot 2 cvp – electricité –cfo cfa,22/07/2015,CEME AQUITAINE V2,,90-240 HT,travaux
restructuration partielle du collège pierre de belleyme à  pauillac mission organisation pilotage et coordination,31/07/2015,CZ14,,90-240 HT,travaux
collège albert camus à eysines - restructuration de la demi-pension - lot cuisines collectives,06/08/2015,FROID CUISINE,,90-240 HT,travaux
"rd 1215 commune de saint aubin du médoc, listrac médoc, avensan déviation de saint aubin reboisement de parcelles",11/08/2015,ALLIANCE FORET BOIS,33480,90-240 HT,travaux
travaux de restauration et d'entretien des ouvrages hydrauliques de l'ug5 sur l'île nouvelle,11/08/2015,ENTREPRISE SUREAU,,90-240 HT,travaux
 collège georges mandel à soulac-sur-mer réfection des sanitaires garçons et filles lot : chauffage - ventilaltion,18/08/2015,BEYNEL,,90-240 HT,travaux
"projet de valorisation du site estuarien de l’ile nouvelle (gironde) dans le cadre du plan garonne : aménagement du pôle de gestion– relance des lots 2, 3 et 4 après infructueux lot 2 cvc",20/08/2015,AQUITAINE PROJET,,90-240 HT,travaux
"projet de valorisation du site estuarien de l’ile nouvelle (gironde) dans le cadre du plan garonne : aménagement du pôle de gestion– relance des lots 2, 3 et 4 après infructueux lot 4 electricité courants forts & faibles",20/08/2015,TOUT'ELEC,,90-240 HT,travaux
"projet de valorisation du site estuarien de l’ile nouvelle (gironde) dans le cadre du plan garonne : aménagement du pôle de gestion
– relance des lots 2, 3 et 4 après infructueux lot 3 aménagement intérieur du pôle de gestion",31/08/2015,NEVEU,,90-240 HT,travaux
réfection de la charpente et des toitures tranche 2 - collège canterane – castelnau medoc,31/08/2015,SOGICC,,90-240 HT,travaux
rd 1113 et rd 108- saint médard d'eyrans - aménagement du carrefour de la sauque,08/10/2015,EUROVIA GIRONDE,33700,90-240 HT,travaux
collège albert camus à eysines - démolition et remplacement de l'ensemble des casquettes béton,17/10/2015,BESM,,90-240 HT,travaux
route départemementale 14e1 commune de camblanes et meynac aménagement de la route de morillon,03/11/2015,EUROVIA GIRONDE,33706,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 1 vrd",13/11/2015,SOPEGA TP,33700,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 2 gros œuvre, maçonnerie",13/11/2015,MAB,33600,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 3 second œuvre",13/11/2015,EPRM SARL,33450,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 4 electricité",13/11/2015,CEME AQUITAINE,33270,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 6 ascenseur",13/11/2015,THYSSEN KRUPP ASCENSEURS,33700,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 7 elévateur",13/11/2015,SARL ERMHES,35504,90-240 HT,travaux
"""mise aux normes d'accessibilité pour les personnes en situation de handicap ou à mobilité réduite à la maison de la promotion sociale à artigues-pres-bordeaux"". lot 5 plomberie sanitaire",15/11/2015,PUEL GENIE CLIMATIQUE,33370,90-240 HT,travaux
chambéry à villenave d'ornon - réfection des installations électriques cfo/cfa phase 3,20/11/2015,ELECTRICITE NOUVELLE GIRONDE,33140,90-240 HT,travaux
"rd22, 255 et 669 communes de blaye, gauriac, saint ciers sur gironde et cavignac - mise en accessibilité pmr des arrets de bus transgironde sur les lignes 201,210 et 212",02/12/2015,COLAS AGENCE SCREG BLAYE,,90-240 HT,travaux
collège  georges rayet à floirac - réfection des châssis vitrés 2ème tranche,21/12/2015,PPG DISTRIBUTION,45140,90-240 HT,travaux
rd3 commune de audenge - aménagement du parking du domaine de certes,22/12/2015,CMR,33260,90-240 HT,travaux
travaux de construction d'un gymnase au collège de mios lot 0 syndic de chantier,23/12/2015,SITEX 33,33700,90-240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 10 plomberie / chauffage / ventilation,13/01/2015,LECOQ SAS,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 11 menuiseries intérieures,13/01/2015,ARTBOIS MENUISERIE AGENCEMENT,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 12 revêtements sols durs/ sols souples/ revêtements muraux,13/01/2015,PLAMURSOL S.A.S,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 13 peinture,13/01/2015,SOPEGO PEINTURE,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 14 equipements spécialisés (paillasses + segpa has),13/01/2015,TECHNI-LABO,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 2 désamiantage,13/01/2015,BORDEAUX DEMOLITION SERVICES,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 3 déconstruction/ gros œuvre/ relogement,13/01/2015,DIRIK'S CONSTRUCTION,,> 240 HT,travaux
