NOM;IDENT;SOUS_TYPE;ADRESSE;NOM_CARTO;NOM_ANCIEN;TYPE;geometry
Crematorium de Nice;ZZ0004202B;Cimetiere;Voie d'acces Necropole / Vallon du Roguez (Acces par Route de Grenoble, apres le pont de la Manda);Crématorium de Nice;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.22324628, 43.77184077], [7.22324948, 43.77181082], [7.22325678, 43.77179283], [7.22327489, 43.77176869], [7.22337951, 43.77172038], [7.22347894, 43.77166659], [7.22354714, 43.77161435], [7.22365376, 43.77152259], [7.22403413, 43.77125481], [7.22404509, 43.77123881], [7.22404624, 43.77122093], [7.22403886, 43.77117495], [7.22398878, 43.77118434], [7.22397432, 43.77114295], [7.2239891, 43.77113896], [7.22403024, 43.77113182], [7.22410197, 43.77111815], [7.22422699, 43.77108258], [7.22429019, 43.77106383], [7.22435145, 43.77104062], [7.22441688, 43.77101577], [7.22452022, 43.77096809], [7.22460443, 43.77092488], [7.224669, 43.7708887], [7.22469661, 43.7708717], [7.2247157, 43.77085528], [7.22471235, 43.77082972], [7.22469708, 43.77060862], [7.22469365, 43.77050839], [7.22468769, 43.77050685], [7.22466946, 43.77051122], [7.22465251, 43.77051777], [7.22463734, 43.77052631], [7.2246244, 43.77053659], [7.22461406, 43.77054832], [7.22460661, 43.77056115], [7.22459643, 43.77058264], [7.22458499, 43.77060676], [7.22457053, 43.77063002], [7.2245544, 43.77064805], [7.224535, 43.77066431], [7.22446603, 43.77070702], [7.22439149, 43.7707445], [7.2243633, 43.77075419], [7.22433334, 43.77076051], [7.22430238, 43.77076329], [7.2242712, 43.77076248], [7.22425391, 43.77075996], [7.22423718, 43.77075592], [7.22422127, 43.7707504], [7.2242132, 43.77075433], [7.22410103, 43.77074162], [7.22408079, 43.77073886], [7.22405239, 43.77073014], [7.2239648, 43.77070393], [7.22394316, 43.77070079], [7.22391666, 43.77069978], [7.22384973, 43.7706984], [7.22371745, 43.77069566], [7.22361451, 43.77071191], [7.2235056, 43.77072805], [7.22337577, 43.77081732], [7.22329072, 43.77089633], [7.22316646, 43.77105037], [7.22299082, 43.7711057], [7.22289397, 43.77113573], [7.22290655, 43.7712247], [7.22369054, 43.77117419], [7.22377382, 43.77116816], [7.22385753, 43.77115951], [7.22386814, 43.77120063], [7.22378744, 43.77120915], [7.22369326, 43.77121578], [7.22262668, 43.77128393], [7.22234719, 43.77130194], [7.22241647, 43.77133511], [7.22246185, 43.77135791], [7.22256373, 43.77140953], [7.22264448, 43.77145441], [7.22271375, 43.77149697], [7.22277419, 43.77153754], [7.22282993, 43.77157818], [7.2227879, 43.77160641], [7.22286732, 43.77167273], [7.22291135, 43.77164576], [7.22293601, 43.77166778], [7.22299634, 43.77172575], [7.22305603, 43.77179017], [7.22310191, 43.7718457], [7.22310745, 43.77184309], [7.22312967, 43.77183537], [7.22315406, 43.7718321], [7.22317886, 43.77183228], [7.22320331, 43.7718354], [7.22324628, 43.77184077]]]}
Guillaud (Parc Docteur Jean);BA14780A;Amenage;Avenue de la Clua, 15bis (Stade Saint-Sylvestre) /  Avenue de Pessicart, 384;Parc Docteur Jean Guillaud;Clua (Parc de la);Espace Naturel;{"type": "Polygon", "coordinates": [[[7.24279549, 43.72823471], [7.24279004, 43.72823161], [7.24279522, 43.72823325], [7.24280087, 43.72823018], [7.24293375, 43.7279352], [7.24301668, 43.72766062], [7.24301896, 43.72766111], [7.24307016, 43.72749157], [7.24310353, 43.72741026], [7.24314594, 43.72732942], [7.24315416, 43.727334], [7.24329653, 43.72728028], [7.24328389, 43.72724648], [7.24342955, 43.72722202], [7.24347519, 43.72722013], [7.24355593, 43.72720197], [7.24360955, 43.72718063], [7.24365174, 43.72716009], [7.24373642, 43.72711104], [7.24391768, 43.72700986], [7.24394348, 43.72698651], [7.24400869, 43.72692361], [7.24403003, 43.72687291], [7.24404621, 43.72685309], [7.24408939, 43.72682723], [7.24410351, 43.72680606], [7.24412191, 43.72676339], [7.24425011, 43.72661476], [7.24430574, 43.72649243], [7.24435996, 43.72645676], [7.24440197, 43.72638416], [7.24456466, 43.72605805], [7.24443543, 43.72602301], [7.24436631, 43.72601889], [7.24436695, 43.7260175], [7.24420133, 43.72600596], [7.24409517, 43.72599208], [7.24405087, 43.72598786], [7.24403235, 43.72598615], [7.24372879, 43.72597531], [7.24371823, 43.72597576], [7.24345804, 43.72595396], [7.24342517, 43.72595512], [7.24335513, 43.72596171], [7.24331873, 43.7259671], [7.24319735, 43.7259942], [7.24308625, 43.72602718], [7.2429914, 43.72606879], [7.2429363, 43.72609842], [7.24289746, 43.72611021], [7.24286872, 43.72611326], [7.24284625, 43.72611295], [7.24274184, 43.72610349], [7.24270076, 43.72610731], [7.24261279, 43.72613625], [7.24257014, 43.7261549], [7.24244103, 43.72620534], [7.24235866, 43.72625297], [7.24233048, 43.72626681], [7.24226709, 43.72628508], [7.24220352, 43.72631197], [7.2420919, 43.72635108], [7.24204933, 43.72636234], [7.24199384, 43.72637182], [7.24193329, 43.72637775], [7.24184828, 43.72639033], [7.24180543, 43.7263983], [7.24169557, 43.72642488], [7.24162411, 43.72644876], [7.24156198, 43.72647658], [7.24151455, 43.7265013], [7.24147298, 43.72652661], [7.2413916, 43.72655636], [7.24130071, 43.72657121], [7.2412421, 43.72658571], [7.24122892, 43.72658755], [7.24115799, 43.72658959], [7.2410385, 43.72658405], [7.2409872, 43.7265845], [7.24092002, 43.72659071], [7.24075532, 43.72662977], [7.24063155, 43.72668038], [7.24058969, 43.72670299], [7.24052357, 43.72674647], [7.24049278, 43.72677301], [7.2404726, 43.72678193], [7.24044684, 43.72678864], [7.24038053, 43.72679099], [7.24024421, 43.72678421], [7.24017324, 43.72676769], [7.24013389, 43.72677772], [7.24011601, 43.72678287], [7.24009654, 43.72678846], [7.24022783, 43.72693678], [7.24026446, 43.72700041], [7.2402781, 43.72703462], [7.24029208, 43.72709923], [7.24032355, 43.72725815], [7.24032339, 43.72728251], [7.24031459, 43.72730724], [7.2402995, 43.72732125], [7.24026996, 43.72734375], [7.24024586, 43.72735343], [7.24011397, 43.72739527], [7.2401787, 43.72760309], [7.24048344, 43.72791346], [7.24070322, 43.72812813], [7.24075406, 43.7281935], [7.24087027, 43.7281892], [7.24106458, 43.72818077], [7.24114288, 43.72815853], [7.24141944, 43.72813792], [7.24168096, 43.72811489], [7.24172, 43.72811556], [7.24176163, 43.72812162], [7.24181249, 43.72813435], [7.24186212, 43.72813221], [7.24191708, 43.72812904], [7.24195821, 43.72812883], [7.24199553, 43.72813507], [7.24204233, 43.72815112], [7.24209072, 43.72817339], [7.24210802, 43.72817948], [7.24212446, 43.72818191], [7.24219134, 43.72817901], [7.24222486, 43.72817836], [7.24233127, 43.72820833], [7.24242313, 43.72823264], [7.2424517, 43.72823769], [7.24251612, 43.72823097], [7.24262176, 43.72821226], [7.24266194, 43.72821366], [7.24270923, 43.72822262], [7.2427679, 43.72823816], [7.24279549, 43.72823471]], [[7.24377876, 43.72640343], [7.2437931, 43.72631869], [7.24379619, 43.72631912], [7.24382115, 43.72621291], [7.24382491, 43.72621221], [7.24386154, 43.72600586], [7.24386138, 43.7260058], [7.24386169, 43.72600396], [7.2438625, 43.72600402], [7.24394636, 43.72601182], [7.24401067, 43.7260178], [7.24412729, 43.72602739], [7.24425824, 43.72603982], [7.24435723, 43.72604928], [7.2443572, 43.72605709], [7.24429297, 43.72643709], [7.24428949, 43.72644166], [7.24427526, 43.72644554], [7.24426003, 43.72644613], [7.24377876, 43.72640343]]]}
Eco-Vallee (Parc de l');AB01050A;Parc;Traverse des Baraques (Pepiniere annexe);Parc de l'Eco-Vallée;Arboras (Pépiniere Annexe des);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.19581675, 43.69555232], [7.19500173, 43.69505965], [7.19443994, 43.69694313], [7.19497369, 43.69702416], [7.1949803, 43.69704844], [7.19536832, 43.6971033], [7.19581675, 43.69555232]]]}
Gairaut (Cimetiere de);AG00490B;Cimetiere;Avenue de Gairaut;Cimetière de Gairaut;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.25924489, 43.73748139], [7.25928174, 43.73748355], [7.25927995, 43.73750608], [7.25953, 43.73751499], [7.259702, 43.73752102], [7.2599342, 43.7375299], [7.25993025, 43.73756349], [7.26010186, 43.73763082], [7.26011268, 43.73756982], [7.26022861, 43.73740549], [7.26013978, 43.73737446], [7.25993015, 43.73736236], [7.25994136, 43.73727331], [7.25994855, 43.73717003], [7.25979492, 43.73716095], [7.25980332, 43.73712072], [7.25968801, 43.7370803], [7.25943266, 43.73706675], [7.25943492, 43.73700051], [7.25919073, 43.73698707], [7.25917465, 43.73720734], [7.2591712, 43.73722419], [7.2591671, 43.73722903], [7.25915777, 43.73727684], [7.25914632, 43.73733625], [7.25914404, 43.7373588], [7.2591752, 43.73736118], [7.25922924, 43.73736446], [7.25922689, 43.73739942], [7.25925124, 43.73740026], [7.25924489, 43.73748139]]]}
Saint Pancrace (Cimetiere de);AS049011A;Cimetiere;Route de Saint-Pancrace, 11;Cimetière de Saint Pancrace;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.24106003, 43.74495205], [7.24104936, 43.74495428], [7.24101924, 43.74496057], [7.24100776, 43.74496327], [7.24103387, 43.74500857], [7.24110663, 43.74513316], [7.24133395, 43.74508257], [7.2413141, 43.74502099], [7.24134189, 43.74501702], [7.24147184, 43.74498078], [7.24141429, 43.74485181], [7.24139326, 43.74480622], [7.24136033, 43.74472929], [7.2410914, 43.74479537], [7.24114593, 43.74493409], [7.24106003, 43.74495205]]]}
Bailet (Jardin Adeline);BA15380A;Jardin;Avenue de Brancolar, 129 (le long de la voie d'acces a l'ENSAPN);Jardin Adeline Bailet;;Parc, Jardin et Square;{"type": "MultiPolygon", "coordinates": [[[[7.27276741, 43.72491657], [7.27280705, 43.72491641], [7.2728238, 43.72491742], [7.27283352, 43.72487772], [7.27283108, 43.7248774], [7.27283186, 43.72487423], [7.27281145, 43.7248733], [7.27279231, 43.72487102], [7.27277394, 43.72486652], [7.27273889, 43.7248555], [7.27269536, 43.72484479], [7.27269433, 43.72484686], [7.27266626, 43.72487316], [7.27259958, 43.7249074], [7.27263922, 43.7249364], [7.2726672, 43.72492898], [7.27270436, 43.72492117], [7.27273061, 43.72491768], [7.27276741, 43.72491657]]], [[[7.27287974, 43.72487709], [7.27285553, 43.72487532], [7.27285468, 43.72487881], [7.27285224, 43.7248785], [7.27284187, 43.72492085], [7.27285329, 43.72492437], [7.27303475, 43.72498031], [7.27302682, 43.7249989], [7.27303888, 43.72500115], [7.27305705, 43.72496718], [7.27299984, 43.7249441], [7.27299572, 43.72493569], [7.27299504, 43.72493422], [7.27299404, 43.72493284], [7.27299273, 43.7249316], [7.27298859, 43.72492892], [7.27292582, 43.72489252], [7.27291146, 43.7248859], [7.272896, 43.72488073], [7.27287974, 43.72487709]]], [[[7.27284486, 43.72497617], [7.27282572, 43.72496926], [7.27282099, 43.72498744], [7.2728175, 43.72500626], [7.2728428, 43.72502122], [7.27284711, 43.72502414], [7.27285183, 43.7250285], [7.27285543, 43.72503339], [7.2728578, 43.72503866], [7.27285839, 43.72504085], [7.27285894, 43.72504322], [7.27285969, 43.72504619], [7.27286189, 43.72505353], [7.27288005, 43.72502952], [7.2728818, 43.72502616], [7.27288316, 43.72502148], [7.27288338, 43.72501671], [7.27288245, 43.72501198], [7.27288041, 43.72500744], [7.27287816, 43.72500423], [7.27286436, 43.7249885], [7.27285177, 43.72497917], [7.27284486, 43.72497617]]], [[[7.27298266, 43.72507185], [7.27300574, 43.72503382], [7.27299948, 43.72503461], [7.27297997, 43.72503867], [7.27296344, 43.72504593], [7.27295873, 43.72504938], [7.27295689, 43.72505094], [7.27294419, 43.72506438], [7.27292677, 43.72508713], [7.27295748, 43.72508078], [7.2729641, 43.72507882], [7.27298266, 43.72507185]]], [[[7.27272908, 43.72519294], [7.27276656, 43.72514597], [7.27281266, 43.72508738], [7.2728241, 43.72506671], [7.27282618, 43.72505922], [7.27282648, 43.72505467], [7.27282573, 43.72505085], [7.27282408, 43.72504718], [7.27282157, 43.72504377], [7.27281828, 43.72504073], [7.27281432, 43.72503815], [7.27281331, 43.72503763], [7.27278919, 43.72502615], [7.27278584, 43.72502474], [7.27278021, 43.7250231], [7.27277428, 43.72502219], [7.27276822, 43.72502205], [7.27276324, 43.72502251], [7.27275812, 43.72502328], [7.27269568, 43.72503678], [7.27268928, 43.72503861], [7.27267283, 43.72504422], [7.27263882, 43.72506182], [7.27263636, 43.72506349], [7.27259729, 43.72508948], [7.27258206, 43.72510003], [7.27257682, 43.72510387], [7.27255673, 43.72511967], [7.27251181, 43.72515433], [7.27247014, 43.72518674], [7.27247496, 43.72518827], [7.27254165, 43.72520937], [7.27254276, 43.72520972], [7.27255308, 43.72521298], [7.27255943, 43.72520194], [7.27255405, 43.72520031], [7.27255501, 43.72519865], [7.27256875, 43.72520281], [7.27266421, 43.7252317], [7.27267203, 43.72523405], [7.27267692, 43.72523548], [7.27269975, 43.72521683], [7.27272908, 43.72519294]]], [[[7.27307517, 43.72537338], [7.2730961, 43.72535272], [7.27311857, 43.72533055], [7.27313121, 43.72533513], [7.27314297, 43.72533823], [7.27325585, 43.72516235], [7.27328234, 43.72512253], [7.27329971, 43.72509772], [7.27329934, 43.72509285], [7.27331543, 43.72508742], [7.27331659, 43.72508717], [7.27334131, 43.7250862], [7.27334137, 43.72508621], [7.27334285, 43.72508], [7.27332171, 43.72507991], [7.27331228, 43.72508154], [7.27328, 43.72509243], [7.27325397, 43.72509827], [7.27322947, 43.72510012], [7.27320111, 43.72510034], [7.27319366, 43.72510039], [7.27319364, 43.72509911], [7.27316327, 43.72509575], [7.27315784, 43.72509494], [7.27315257, 43.72509407], [7.27311006, 43.72508271], [7.27310988, 43.72508264], [7.27303842, 43.72505629], [7.27303617, 43.7250595], [7.27302361, 43.72507751], [7.27301551, 43.72508589], [7.27301419, 43.72508722], [7.27300814, 43.72509211], [7.27300101, 43.72509616], [7.27299959, 43.72509681], [7.27297994, 43.72510425], [7.27297138, 43.7251068], [7.2729506, 43.72511113], [7.27294228, 43.72511213], [7.27291436, 43.72511482], [7.27291377, 43.72511491], [7.27291226, 43.72511526], [7.27291087, 43.72511581], [7.27290962, 43.72511652], [7.27290856, 43.72511737], [7.27290789, 43.72511811], [7.27285958, 43.72518081], [7.27280435, 43.72525283], [7.27280128, 43.72525199], [7.27280019, 43.7252541], [7.27280321, 43.72525492], [7.27279809, 43.72527667], [7.2727961, 43.72528517], [7.27279547, 43.72528775], [7.27279842, 43.72528865], [7.27302523, 43.725358], [7.2730262, 43.72535887], [7.27302665, 43.72535843], [7.27304707, 43.72536472], [7.27307517, 43.72537338]]]]}
Madeleine (Jardin Boulevard de la);BA15660A;Jardin;Boulevard de la Madeleine,  270;Jardin Boulevard de la Madeleine;Vernetti (Propriete);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.2321378, 43.70692388], [7.23223353, 43.70696824], [7.23223797, 43.70696511], [7.23228039, 43.70698617], [7.23232465, 43.70693789], [7.23218188, 43.70686829], [7.2321378, 43.70692388]]]}
Icart (Square Auguste);SA11300A;Jardin;Rue de la Tour / Rue Pairoliere;Square Auguste Icart;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27856792, 43.69942371], [7.27858221, 43.69945297], [7.27859384, 43.69951126], [7.27859985, 43.69952878], [7.27860039, 43.69952999], [7.27862455, 43.69953601], [7.278646, 43.6995352], [7.27866997, 43.69953009], [7.27869394, 43.69952498], [7.27871791, 43.69951987], [7.27874188, 43.69951476], [7.27876585, 43.69950965], [7.27878982, 43.69950454], [7.27880495, 43.69949287], [7.27881141, 43.69947839], [7.27880913, 43.69946283], [7.27880245, 43.69944597], [7.27879577, 43.69942912], [7.27878909, 43.69941226], [7.27878821, 43.69940102], [7.27878538, 43.69939889], [7.27870571, 43.69940848], [7.27868731, 43.69941049], [7.27860434, 43.69941839], [7.27857247, 43.69942304], [7.27856792, 43.69942371]]]}
Fella (Jardin Jacques);SF00610A;Jardin;Route de Grenoble (face carrefour Paul Montel);Jardin Jacques Fella;;Parc, Jardin et Square;{"type": "MultiPolygon", "coordinates": [[[[7.21053445, 43.67049923], [7.21005974, 43.67031741], [7.20912694, 43.66996171], [7.20912262, 43.66996609], [7.20891581, 43.67024796], [7.20890534, 43.67026354], [7.20890908, 43.67028277], [7.20892848, 43.67030983], [7.208985, 43.6702891], [7.20904778, 43.67036925], [7.20910019, 43.67045064], [7.20904489, 43.67047217], [7.20906919, 43.67051841], [7.20913071, 43.67050255], [7.20919343, 43.67064506], [7.20913166, 43.67065756], [7.20915322, 43.67071403], [7.20948475, 43.67067225], [7.20987011, 43.67062586], [7.20986959, 43.67062338], [7.210543, 43.6705406], [7.21053445, 43.67049923]]], [[[7.20881578, 43.67036146], [7.20886691, 43.67034082], [7.20886613, 43.6703398], [7.20885902, 43.67033167], [7.20884978, 43.67032284], [7.20879874, 43.67035104], [7.20874957, 43.67031623], [7.20875514, 43.67033751], [7.20878864, 43.67048062], [7.20880428, 43.67054807], [7.20891888, 43.67051053], [7.20891697, 43.67050717], [7.20891409, 43.6705022], [7.20891526, 43.67050121], [7.20889957, 43.67047587], [7.2088824, 43.67045123], [7.20881578, 43.67036146]]], [[[7.2090586, 43.67068241], [7.20905411, 43.67066803], [7.20899236, 43.67067579], [7.20899015, 43.67066991], [7.2089803, 43.67064374], [7.20896452, 43.6706017], [7.20894529, 43.67055513], [7.20893358, 43.67055814], [7.20896691, 43.67064181], [7.20884404, 43.67066561], [7.20883645, 43.67066707], [7.20883206, 43.67066792], [7.20884657, 43.6707305], [7.20885001, 43.67074941], [7.20885458, 43.67074922], [7.20901729, 43.67072929], [7.20906525, 43.67072394], [7.20906534, 43.67072083], [7.2090586, 43.67068241]]]]}
Goiran (Jardin de la Place General);SG03630B;Jardin;Boulevard de Cessole / Impasse Antoine Veran;Jardin de la Place Général Goiran;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.24927475, 43.7250542], [7.24883393, 43.7249528], [7.24883251, 43.72495226], [7.24864752, 43.72501886], [7.24868472, 43.72502711], [7.24870291, 43.72503097], [7.24874334, 43.72504063], [7.24914763, 43.72512781], [7.24921102, 43.72516414], [7.24922156, 43.72516673], [7.24927475, 43.7250542]]]}
