CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
1696,Villegouge,21,,557844208,557844964,mairie.villegouge@wanadoo.fr,,BDP Villegouge,,,5,,PLACE DE LA MAIRIE,,33141,VILLEGOUGE,33548,24,,Oui,0,0,,0,,,,,,,, 15h00, 16h30,,, 14h30, 17h00,09h00, 12h00,, 03h00,,, 15h00, 16h30,10h00, 12h00,,,,,,,44.95607,-0.294312,La Métairie de Plain Point 33141 Villegouge,0.57,locality,33548_XXXX_d65cac,,La Métairie de Plain Point,,33141,Villegouge,"33, Gironde, Aquitaine",33548
1366,Gensac,2,,557474919,557474663,mediatheque.gensac@wanadoo.fr,http://www.gensac.free.fr,BDP Gensac,,,4,,RUE FROMAGÈRE,,33890,GENSAC,33186,37,,Oui,1,2,,2,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 18h00,10h00, 12h00, 14h00, 18h00,,,,,09h00, 12h00, 14h00, 18h00,09h30, 12h30,,,,,,,44.806487,0.072313,4 Rue Fromagère 33890 Gensac,0.91,housenumber,ADRNIVX_0000000276383972,4,Rue Fromagère,,33890,Gensac,"33, Gironde, Aquitaine",33186
1698,Samonac,25,,557684351,557683839,mairie.samonac@wanadoo.fr,,BDP Samonac,,MAIRIE,,B,,,33710,SAMONAC,33500,15,AUDOUIN Jean-Paul,Non,0,0,,0,Accès aux personnes à mobilité réduite,,, 14h00, 17h00,,, 14h00, 17h00,,,,,,, 14h00, 17h00,,, 14h00, 17h00,09h00, 12h00,,,,,,,45.080698,-0.569836,Birol 33710 Samonac,0.62,locality,33500_B010_489b0a,,Birol,,33710,Samonac,"33, Gironde, Aquitaine",33500
1185,Saint-Laurent-du-Bois,25,,606474429,556762033,mairie.stlaurentdubois@orange.fr,,BDP Saint-Laurent-du-Bois,,,,,PLACE DE LA MAIRIE,,33540,SAINT LAURENT DU BOIS,33427,43,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,13h00, 13h45, 16h30, 18h45,,,,,,,,,44.639892,-0.13157,La Malouse 33540 Saint-Laurent-du-Bois,0.58,locality,33427_B074_0fa6ab,,La Malouse,,33540,Saint-Laurent-du-Bois,"33, Gironde, Aquitaine",33427
1179,Podensac,16,,556271754,556270531,marion.roche@cc-podensac.fr,,BDP Podensac,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33327,36,BAUDIS Claude,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 18h00,,,,,,, 16h00, 19h00,,,,,11h00, 12h30,,,44.649511,-0.358722,12 Rue du Maréchal Leclerc 33720 Podensac,0.66,housenumber,ADRNIVX_0000000276529772,12,Rue du Maréchal Leclerc,,33720,Podensac,"33, Gironde, Aquitaine",33327
1777,Gaillan-en-Médoc,15,,556410668,556411021,pointlecture.gaillan@orange.fr,,BDP Gaillan-en-Médoc,,,31,,RUE DU BOURG,,33340,GAILLAN EN MÉDOC,33177,29,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.32555,-0.954837,31 Rue du Bourg 33340 Gaillan-en-Médoc,0.91,housenumber,ADRNIVX_0000000275908843,31,Rue du Bourg,,33340,Gaillan-en-Médoc,"33, Gironde, Aquitaine",33177
1634,Saint-Estèphe,15,,556593355,556593918,bibliotheque@mairie-saint-estephe.fr,,BDP Saint-Estèphe,,,33,,ROUTE DE LA MAIRIE,,33180,SAINT ESTÈPHE,33395,33,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 15h00, 18h30,,, 15h00, 18h30,,, 13h30, 16h30,,, 15h00, 18h30,,, 15h00, 18h30,,,,,,,,,45.259554,-0.772191,33 Rue de la Mairie 33180 Saint-Estèphe,0.78,housenumber,ADRNIVX_0000000275922237,33,Rue de la Mairie,,33180,Saint-Estèphe,"33, Gironde, Aquitaine",33395
2027,Nérigean,20,,557245270,557558955,bibliothequenerigean@gmail.com,,BDP Nérigean,,,43,,ROUTE DE LA SOULOIRE,,33750,NERIGEAN,,,,Oui,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.844225,-0.302314,Route de la Souloire 33750 Nérigean,0.84,street,33303_0175_061dd3,,Route de la Souloire,,33750,Nérigean,"33, Gironde, Aquitaine",33303
1653,Le Verdon-sur-Mer,15,,556096321,556096475,biblio.leverdon@gmail.com,,BDP Le Verdon-sur-Mer,,,,,CENTRE CULTUREL JEAN PARÈS,,33123,LE VERDON SUR MER,33544,46,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.544154,-1.06458,Rue Jean Pares 33123 Le Verdon-sur-Mer,0.63,street,33544_0090_2a3580,,Rue Jean Pares,,33123,Le Verdon-sur-Mer,"33, Gironde, Aquitaine",33544
1656,Saint-Laurent-Médoc,16,,556594096,556733271,bibliotheque.slm@wanadoo.fr,,BDP Saint-Laurent-Médoc,,,7,,RUE DU GÉNÉRAL DE GAULLE,,33112,SAINT LAURENT MÉDOC,33424,42,,Oui,1,2,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.152364,-0.82315,Rue du Général de Gaulle 33112 Saint-Laurent-Médoc,0.89,street,33424_0200_03c52a,,Rue du Général de Gaulle,,33112,Saint-Laurent-Médoc,"33, Gironde, Aquitaine",33424
1760,Lamarque,14,,556589012,556589751,mairie-de-lamarque@wanadoo.fr,,BDP Lamarque,,,28,,RUE PRINCIPALE,,33460,LAMARQUE,33220,20,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h00, 17h00,,, 16h00, 17h00,,, 16h00, 18h00,,,,,,, 16h30, 18h00,10h00, 12h00,,,,,,,45.096051,-0.717801,28 Rue Principale 33460 Lamarque,0.91,housenumber,ADRNIVX_0000000275967986,28,Rue Principale,,33460,Lamarque,"33, Gironde, Aquitaine",33220
1356,Verdelais,20,,556620206,556767001,mairie-de-verdelais@wanadoo.fr,,BDP Verdelais,,,3,,LES ALLÉES,,33490,VERDELAIS,33543,43,,Oui,0,0,,0,,,,,,,,,,,,,,,, 14h00, 18h00,,,,,,,,,,,,,44.588275,-0.249777,3 Place des Allées 33490 Verdelais,0.65,housenumber,ADRNIVX_0000000276561587,3,Place des Allées,,33490,Verdelais,"33, Gironde, Aquitaine",33543
2025,Saint-Pierre-d'Aurillac,21,,556639721,,lapetitemediathequedestpierre@gmail.com,,BDP Saint-Pierre-d'Aurillac,,,4,,RUE DES COOPÉRATIVES,,33490,SAINT PIERRE D AURILLAC,33463,43,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.574509,-0.190006,Rue des Coopératives 33490 Saint-Pierre-d'Aurillac,0.88,street,33463_0009_816dd1,,Rue des Coopératives,,33490,Saint-Pierre-d'Aurillac,"33, Gironde, Aquitaine",33463
2081,Branne,0,,,,,,BDP Branne,,,,,,,,,,,,Oui,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Uzeste,19,,556253311,556258573,mairie-uzeste@wanadoo.fr,,BDP Uzeste,,,11,,PLACE DE L'ÉGLISE,,33730,UZESTE,33537,50,,Oui,0,0,,0,,,,,,,,,,,, 16h00, 18h30,,,,,,, 16h00, 18h30,,,,,,,,,44.441559,-0.323468,Place de l'Église 33730 Uzeste,0.82,street,33537_XXXX_cebbfc,,Place de l'Église,,33730,Uzeste,"33, Gironde, Aquitaine",33537
1173,Gironde-sur-Dropt,9,,556711411,556711105,cducourneau@girondesurdropt.com,,BDP Gironde-sur-Dropt,,,,,Maison des médias,,33190,GIRONDE SUR DROPT,33187,38,,Oui,1,11,,11,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 17h30,09h00, 12h00, 14h00, 18h30,,, 14h00, 18h00,10h00, 12h00, 14h00, 19h00,,, 14h00, 19h00,,,,,44.601108,-0.076278,Mellon 33190 Gironde-sur-Dropt,0.55,locality,33187_B052_460123,,Mellon,,33190,Gironde-sur-Dropt,"33, Gironde, Aquitaine",33187
1757,Créon,10,,557345445,557345446,bibliotheque.creon@orange.fr,bibliothequecreon.opac3d.fr,BDP Créon,,,1,,RUE MONTESQUIEU,,33670,CRÉON,33140,23,,Oui,1,0,,0,,,,,,,, 16h00, 18h30,10h00, 12h00, 14h30, 18h30,,,,,,, 16h00, 18h30,10h00, 12h00,,,10h00, 12h00,,,44.774021,-0.349159,Rue Montesquieu 33670 Créon,0.85,street,33140_0652_372cbd,,Rue Montesquieu,,33670,Créon,"33, Gironde, Aquitaine",33140
1745,Saint-André-de-Cubzac,6,,557436739,557451029,mediatheque@saintandredecubzac.fr,,BDP Saint-André-de-Cubzac,,,25,B,RUE DANTAGNAN,,33240,SAINT ANDRÉ DE CUBZAC,33366,39,,Oui,1,1,,0,,,,,,,, 15h00, 18h00,09h30, 12h30, 15h00, 18h00,,, 15h00, 18h00,,, 15h00, 18h00,09h30, 12h30, 15h00, 18h00,,,,,44.994475,-0.445399,25 BIS Rue Émile Dantagnan 33240 Saint-André-de-Cubzac,0.76,housenumber,ADRNIVX_0000000276047916,25 BIS,Rue Émile Dantagnan,,33240,Saint-André-de-Cubzac,"33, Gironde, Aquitaine",33366
1664,Castillon-la-Bataille,4,,557564030,557560659,media.clb@orange.fr,http://castillon.sezhame.decalog.net,BDP Castillon-la-Bataille,,,4,,ESPLANADE MARCEL JOUANNO,,33350,CASTILLON LA BATAILLE,33108,21,,Oui,1,7,,7,Accès aux personnes à mobilité réduite,09h00, 12h00,,,,, 15h00, 18h00,09h00, 12h00, 13h00, 18h00,,,,,,, 15h00, 18h00,09h00, 12h00,,,,,,,44.853319,-0.04554,Esplanade Marcel Jouanno 33350 Castillon-la-Bataille,0.89,street,33108_0142_322c00,,Esplanade Marcel Jouanno,,33350,Castillon-la-Bataille,"33, Gironde, Aquitaine",33108
2014,Floirac,32,,556869928,557444186,mediatheque@ville-floirac33.fr,http://www.ville-floirac33.fr/Culture/Culture,BDP Floirac,,,,,RUE VOLTAIRE,,33270,FLOIRAC,33167,58,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.845524,-0.509015,Rue Voltaire 33270 Floirac,0.92,street,33167_1475_25f4c6,,Rue Voltaire,,33270,Floirac,"33, Gironde, Aquitaine",33167
1700,Cadillac-en-Fronsadais,20,,557581365,,cadibibio@gmail.fr,,BDP Cadillac-en-Fronsadais,,,,,RUE DU 19 MARS 1962,,33240,CADILLAC EN FRONSADAIS,33082,24,,Oui,0,0,,0,,09h00, 10h30,,,,, 14h00, 15h00,,,,,09h00, 10h30,,,11h00, 12h00, 15h00, 16h00,10h30, 12h00,,,,,,,44.966761,-0.374246,Rue du 19 Mars 1962 33240 Cadillac-en-Fronsadais,0.91,street,33082_0015_94fd61,,Rue du 19 Mars 1962,,33240,Cadillac-en-Fronsadais,"33, Gironde, Aquitaine",33082
1380,Sainte-Terre,15,,557471593,557471614,bibliosainteterre@wanadoo.fr,,BDP Sainte-Terre,,,12,,AVENUE CHARLES DE GAULLE,,33350,SAINTE TERRE,33485,21,,Oui,1,3,,3,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 17h00,,, 14h00, 18h00,,, 16h00, 17h00,,, 16h00, 17h00,10h00, 12h00,,,,,,,44.818604,-0.136321,Impasse Charles de Gaulle 33350 Sainte-Terre,0.66,street,33485_XXXX_e43b84,,Impasse Charles de Gaulle,,33350,Sainte-Terre,"33, Gironde, Aquitaine",33485
1676,Lège-Cap-Ferret,6,,556608178,556036956,mediatheque@legecapferret.fr,http://bmlegecapferret.dnsalias.net/,BDP Lège-Cap-Ferret,,,,,PETIT PIQUEY,,33950,LÈGE CAP FERRET,33236,2,,Oui,1,6,,0,Accès aux personnes à mobilité réduite,,,,,10h00, 13h00, 15h00, 18h00,10h00, 13h00, 13h00, 18h00,10h00, 13h00,,,10h00, 13h00, 15h00, 18h00,10h00, 13h00, 13h00, 17h00,,,,,44.715229,-1.21075,Allée de Grand Piquey 33950 Lège-Cap-Ferret,0.55,street,33236_0777_859568,,Allée de Grand Piquey,,33950,Lège-Cap-Ferret,"33, Gironde, Aquitaine",33236
1713,Quinsac,15,,556208266,,bibliothequequinsac33@gmail.com,,BDP Quinsac,,,,,RUE ANDRÉ BERRY,,33360,QUINSAC,33349,23,,Oui,0,0,,0,,,,,,,, 16h30, 18h30,10h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,,44.755536,-0.48042,Bernet 33360 Quinsac,0.43,locality,33349_B007_6a27be,,Bernet,,33360,Quinsac,"33, Gironde, Aquitaine",33349
1723,Saint-Germain-du-Puch,10,,557245119,557240223,bibliotheque.saint-germain-du-puch@orange.fr,,BDP Saint-Germain-du-Puch,,,5,,RUE DE L'ÉGLISE,,33750,SAINT GERMAIN DU PUCH,33413,16,,Oui,1,3,,3,Accès aux personnes à mobilité réduite,11h00, 12h00,,,,, 16h30, 18h00,,, 14h00, 16h00,,,,,,,,,10h30, 12h30,,,,,,,44.856793,-0.321816,Rue de l'Église 33750 Saint-Germain-du-Puch,0.87,street,33413_XXXX_5d55d0,,Rue de l'Église,,33750,Saint-Germain-du-Puch,"33, Gironde, Aquitaine",33413
1666,Langoiran,10,,556676685,556676685,bibliotheque@langoiran.fr,http://bibliothequelang.canalblog.com/,BDP Langoiran,,,3,,AVENUE DU GÉNÉRAL DE GAULLE,,33550,LANGOIRAN,33226,17,,Oui,1,1,,1,,,,,,,, 15h00, 18h00,,, 15h00, 18h00,09h30, 12h00, 15h00, 18h00,,, 15h00, 18h00,,,,,,,,,44.707136,-0.401443,3 Avenue du Général de Gaulle 33550 Langoiran,0.91,housenumber,ADRNIVX_0000000276476202,3,Avenue du Général de Gaulle,,33550,Langoiran,"33, Gironde, Aquitaine",33226
1678,Saint-Savin,10,,557589509,557589509,saint-savin.bibliotheque@orange.fr,,BDP Saint-Savin,,,20,,RUE JACQUES VERGERON,,33920,SAINT SAVIN DE BLAYE,33473,44,,Oui,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.138583,-0.445776,20 Rue Jacques Vergeron 33920 Saint-Savin,0.76,housenumber,ADRNIVX_0000000275954204,20,Rue Jacques Vergeron,,33920,Saint-Savin,"33, Gironde, Aquitaine",33473
1776,Pondaurat,25,,556610738,556710871,mairie.pondaurat@wanadoo.fr,,BDP Pondaurat,,MAIRIE,16,,LE BOURG,,33190,PONDAURAT,33331,3,BENTEJAC Jacqueline,Oui,0,0,,0,,,,,,,, 17h00, 18h00,,,,,,,,,,,,,,,,,,,,,44.538038,-0.086821,16 Le Bourg 33190 Pondaurat,0.91,housenumber,ADRNIVX_0000000276594748,16,Le Bourg,,33190,Pondaurat,"33, Gironde, Aquitaine",33331
2005,Le Bouscat,32,,557222664,,bibliotheque@mairie-le-bouscat.fr,,BDP Le Bouscat,,,17,,PLACE ROOSEVELT,,33110,LE BOUSCAT,33069,54,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.866044,-0.599139,17 Place Président Roosevelt 33110 Le Bouscat,0.72,housenumber,ADRNIVX_0000000276185483,17,Place Président Roosevelt,,33110,Le Bouscat,"33, Gironde, Aquitaine",33069
1485,Cubzac-les-Ponts,21,,557430211,557439247,mairie.cubzac@wanadoo.fr,,BDP Cubzac-les-Ponts,,MAIRIE,49,,AVENUE DE PARIS,,33240,CUBZAC LES PONTS,33143,39,ESTEBAN SANZ Monique,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.970047,-0.454332,49 Avenue de Paris 33240 Cubzac-les-Ponts,0.91,housenumber,ADRNIVX_0000000276063229,49,Avenue de Paris,,33240,Cubzac-les-Ponts,"33, Gironde, Aquitaine",33143
1101,Mombrier,19,,557643936,557642020,bibliothequemombrier@laposte.fr,,BDP Mombrier,,MAIRIE,4,,LE BOURG,,33710,MOMBRIER,,15,LANDREAU Noëlle,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.078074,-0.553882,4 Le Bourg 33710 Mombrier,0.91,housenumber,ADRNIVX_0000000275982007,4,Le Bourg,,33710,Mombrier,"33, Gironde, Aquitaine",33285
1772,Le Haillan,6,,557931131,557931112,service.bibliotheque@ville-lehaillan.fr,,BDP Le Haillan,,,30,,RUE DE LOS HÉROS,,33185,LE HAILLAN,33200,63,,Oui,1,6,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.874439,-0.676265,30 Rue de Los Héros 33185 Le Haillan,0.91,housenumber,ADRNIVX_0000000276167032,30,Rue de Los Héros,,33185,Le Haillan,"33, Gironde, Aquitaine",33200
1677,Parempuyre,17,,556954886,556955610,bibliotheque@mairie-parempuyre.fr,,BDP Parempuyre,,,47,,RUE DU GÉNÉRAL DE GAULLE,,33290,PAREMPUYRE,33312,6,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,, 14h00, 18h00,09h00, 12h00, 14h00, 18h00,10h00, 12h00, 14h00, 18h00,,, 14h00, 18h00,09h00, 12h00, 14h00, 18h00,10h00, 12h30,,,,,,,44.949553,-0.604034,47 Rue du Général de Gaulle 33290 Parempuyre,0.91,housenumber,ADRNIVX_0000000276071306,47,Rue du Général de Gaulle,,33290,Parempuyre,"33, Gironde, Aquitaine",33312
1498,Balizac,19,,556253483,556253784,callenkarine@orange.fr,,BDP Balizac,,,,,LE BOURG,,33730,BALIZAC,33026,45,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,,44.487872,-0.445621,Le Bourg 33730 Balizac,0.91,locality,33026_B032_bf316e,,Le Bourg,,33730,Balizac,"33, Gironde, Aquitaine",33026
1978,Périssac,20,,557743103,557744317,biblio.mdp@orange.fr,,BDP Périssac,,,9,,AVENUE DES ÉCOLES,,33240,PÉRISSAC,33317,24,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,09h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,,45.020612,-0.321654,9 Avenue des Écoles 33240 Périssac,0.91,housenumber,ADRNIVX_0000000276028282,9,Avenue des Écoles,,33240,Périssac,"33, Gironde, Aquitaine",33317
1365,Flaujagues,26,,557400833,557402935,mairie.flaujagues@orange.fr,,BDP Flaujagues,,,,,LE BOURG SUD,,33350,FLAUJAGUES,33168,37,,Oui,1,0,,0,,,,,,,,,,,,,,,,,,,,,,09h00, 12h00,,,,,,,44.827843,0.036592,Le Bourg-Sud 33350 Flaujagues,0.91,locality,33168_B005_691204,,Le Bourg-Sud,,33350,Flaujagues,"33, Gironde, Aquitaine",33168
1534,Laroque,25,,556626011,556626011,mairie-laroque@wanadoo.fr,,BDP Laroque,,MAIRIE,,B,,,33410,LAROQUE,33231,17,AUGEY Catherine,Oui,0,0,,0,,,,,,08h00, 12h30,,,,, 14h00, 18h00,08h00, 12h30,,,08h00, 12h30,,,,,,,,,,,44.659342,-0.31536,Trajet 33410 Laroque,0.59,locality,33231_B057_5b69ef,,Trajet,,33410,Laroque,"33, Gironde, Aquitaine",33231
229,Lanton,5,,556038610,,s.tillier@ville-lanton.fr,,BDP Lanton,,,15,,AVENUE DE LA LIBÉRATION,,33138,LANTON,33229,2,,Oui,0,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 15h00, 18h00,,, 10h00, 18h00,,,,,,, 10h00, 18h00,,, 10h00, 13h00,,,,,44.703903,-1.03923,Avenue de la Libération 33138 Lanton,0.84,street,33229_0422_7b4ed4,,Avenue de la Libération,,33138,Lanton,"33, Gironde, Aquitaine",33229
1702,Bourg,10,,557682026,557683984,biblio-de-bourg@orange.fr,,BDP Bourg,,,,,PLACE JEANTET,,33710,BOURG,33067,15,,Oui,0,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 16h00,,, 15h00, 19h00,,, 14h30, 18h00,,,,,,,,,,,,,45.040714,-0.555702,Place Jeantet 33710 Bourg,0.92,street,33067_0170_fc6dcb,,Place Jeantet,,33710,Bourg,"33, Gironde, Aquitaine",33067
1597,Saint-Vivien-de-Médoc,21,,557750462,,bibliothequestvivien@orange.fr,http://bibliothequestvivien.over-blog.com,BDP Saint-Vivien-de-Médoc,,,,,RUE PIERRE LASALLE,,33590,SAINT VIVIEN DE MÉDOC,33490,46,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,10h30, 12h00, 12h30, 15h30,,, 16h00, 18h00,,,,,10h30, 12h00, 15h00, 17h00,,,,,45.427063,-1.034065,Cours Pierre Lassalle 33590 Saint-Vivien-de-Médoc,0.76,street,33490_0034_fee960,,Cours Pierre Lassalle,,33590,Saint-Vivien-de-Médoc,"33, Gironde, Aquitaine",33490
1102,Ambès,4,,556770269,556770392,biblio@mairie-ambes.fr,http://ambes.c3rb.org,BDP Ambès,,,5,,AVENUE GUSTAVE COUAILLAC,,33810,AMBÈS,33004,60,,Oui,1,9,,9,Accès aux personnes à mobilité réduite,,,,,10h00, 12h00, 16h30, 18h30,10h00, 12h00, 14h00, 18h30,,, 16h30, 18h30,,, 16h30, 18h30,09h30, 12h30,,,,,,,45.011526,-0.532692,5 Avenue du Docteur Gustave Couaillac 33810 Ambès,0.7,housenumber,ADRNIVX_0000000276030717,5,Avenue du Docteur Gustave Couaillac,,33810,Ambès,"33, Gironde, Aquitaine",33004
1925,Pomerol,20,,557511294,557518863,mairie.pomerol@wanadoo.fr,,BDP Pomerol,,MAIRIE,,B,,,33500,POMEROL,33328,30,DESMARTY Claude,Non,0,0,,0,Accès aux personnes à mobilité réduite,,, 15h30, 18h30,,,,,,,,,,,,,,, 15h30, 18h30,,,,,,,,,44.931456,-0.186501,Le Gazin 33500 Pomerol,0.54,locality,33328_B043_7b528d,,Le Gazin,,33500,Pomerol,"33, Gironde, Aquitaine",33328
2010,Bègles,32,,556495481,556492251,bibliotheque@mairie-begles.fr,,BDP Bègles,,,58,,AVENUE MARÉCHAL DE LATTRE DE TASSIGNY,,33130,BÈGLES,33039,52,,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.804661,-0.543573,58 Avenue Maréchal de Lattre de Tassigny 33130 Bègles,0.93,housenumber,ADRNIVX_0000000324889475,58,Avenue Maréchal de Lattre de Tassigny,,33130,Bègles,"33, Gironde, Aquitaine",33039
1190,Saint-Michel-de-Lapujade,19,,556617618,,,,BDP Saint-Michel-de-Lapujade,,,,,LORETTE,,33190,SAINT MICHEL DE LAPUJADE,33453,38,,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.588417,0.099656,Lorette 33190 Saint-Michel-de-Lapujade,0.91,locality,33453_B020_3ebeb1,,Lorette,,33190,Saint-Michel-de-Lapujade,"33, Gironde, Aquitaine",33453
1756,Capian,26,,556721012,556721247,mairie.capian@wanadoo.fr,,BDP Capian,,,,,PLACE DE LA MAIRIE,,33550,CAPIAN,33093,17,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,, 17h00, 18h00,,,,,44.720201,-0.333203,Lachaise 33550 Capian,0.43,locality,33093_B066_bab7c7,,Lachaise,,33550,Capian,"33, Gironde, Aquitaine",33093
1376,Saint-Pey-de-Castets,20,,557405216,557405216,sirp.saint-pey-de-castets@wanadoo.fr,,BDP Saint-Pey-de-Castets,,,3,,AVENUE DE LA MAIRIE,,33350,SAINT PEY DE CASTETS,33460,37,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.813912,-0.063729,3 Avenue de la Mairie 33350 Saint-Pey-de-Castets,0.91,housenumber,ADRNIVX_0000000276367278,3,Avenue de la Mairie,,33350,Saint-Pey-de-Castets,"33, Gironde, Aquitaine",33460
1749,Ludon-Médoc,16,,557884409,557885480,bibliotheque.ludon@orange.fr,,BDP Ludon-Médoc,,,1,,RUE ANDRÉ HERTIG,,33290,LUDON MÉDOC,33256,6,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.982927,-0.609141,1 Avenue André Hertig 33290 Ludon-Médoc,0.75,housenumber,ADRNIVX_0000000276053270,1,Avenue André Hertig,,33290,Ludon-Médoc,"33, Gironde, Aquitaine",33256
1025,Marcheprime,16,,557718021,557711906,bibliotheque@ville-marcheprime.fr,,BDP Marcheprime,,,4,,AVENUE DE LA RÉPUBLIQUE,,33380,MARCHEPRIME,33555,2,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,, 16h00, 18h00,,,,,09h30, 12h30, 13h00, 18h00,,,,,,,,,09h30, 12h30, 13h00, 18h00,,,,,44.691978,-0.85448,4 Avenue de la République 33380 Marcheprime,0.91,housenumber,ADRNIVX_0000000276476597,4,Avenue de la République,,33380,Marcheprime,"33, Gironde, Aquitaine",33555
1729,Hostens,21,,556887490,556885794,mairie@hostens.fr,,BDP Hostens,,,1,,ROUTE DE MONT DE MARSAN,,33125,HOSTENS,33202,45,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,10h00, 12h00,,,,,,,,, 16h00, 18h00,,,,,,,,,,, 15h00, 17h00,,,,,44.487762,-0.638959,Route de Mont de Marsan 33125 Hostens,0.86,street,33202_0018_5f9852,,Route de Mont de Marsan,,33125,Hostens,"33, Gironde, Aquitaine",33202
1540,Lussac,15,,964480981,557745390,marie-line.calviac@orange.fr,,BDP Lussac,,,3,,PLACE DE LA RÉPUBLIQUE,,33570,LUSSAC,33261,31,,Oui,0,0,,0,,,,,,,, 13h30, 18h00,,,,,09h15, 12h00, 13h30, 16h45,09h15, 12h00, 13h30, 16h45,10h00, 12h30,,,,,,,44.949083,-0.096217,3 Place de la République 33570 Lussac,0.92,housenumber,ADRNIVX_0000000276081769,3,Place de la République,,33570,Lussac,"33, Gironde, Aquitaine",33261
