objectid,entite,thematique,categorie,typologie,statut,nom,adresse,cp,commune,telephone,email,web,type_erp,nature_exploitation_erp,categorie_erp,effectif_admissible_erp,capacite_accueil_erp,unite_capacite_accueil_erp,nom_responsable,fonction_responsable,id_accessibilite,x,y,id_commune,id_thematique,id_sig,quartier,shape
237,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Henri Wallon,11 Rue Jean Forest,78210,Saint-Cyr-l'Ecole,01 30 45 05 36,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,122,,nr,nr,,631718.4271,6855500.5919,CYR,ENS,CYR_ENS_1499,Non renseigné,
238,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Jean Macé,Rue Jean Macé,78210,Saint-Cyr-l'Ecole,01 34 60 08 12,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,149,,nr,nr,,630661.0606,6856695.9227,CYR,ENS,CYR_ENS_1500,Non renseigné,
239,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Léon Jouannet,5 Rue Victor Hugo,78210,Saint-Cyr-l'Ecole,01 30 45 02 03,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,130,,nr,nr,,631123.0343,6855997.2097,CYR,ENS,CYR_ENS_1501,Non renseigné,
240,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Paul Langevin,54 Rue du Docteur Vaillant,78210,Saint-Cyr-l'Ecole,01 30 45 12 89,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,142,,nr,nr,,631932.6949,6856387.9072,CYR,ENS,CYR_ENS_1502,Non renseigné,
241,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Robert Desnos,1 Rue Jean Moulin,78210,Saint-Cyr-l'Ecole,01 34 60 21 28,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,115,,nr,nr,,630828.9714,6857006.7428,CYR,ENS,CYR_ENS_1503,Non renseigné,
242,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Victor Hugo,2 Voie Danton,78210,Saint-Cyr-l'Ecole,01 30 45 19 94,nr,http://www.saintcyr78.fr/sco_perisco.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,167,,nr,nr,,631017.6667,6855986.3402,CYR,ENS,CYR_ENS_1504,Non renseigné,
243,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Exelmans,11 Rue du Général Exelmans,78140,Vélizy-Villacoublay,01 34 65 32 50,maternelleexelmans@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-maternelles.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,107,,nr,nr,,641212.2219,6853776.0441,VEL,ENS,VEL_ENS_1505,Non renseigné,
244,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Ferdinand Buisson,3 Rue Molière,78140,Vélizy-Villacoublay,01 34 58 12 22,primairebuisson@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-elementaires.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,,,nr,nr,,639627.0604,6854439.8163,VEL,ENS,VEL_ENS_1506,Non renseigné,
245,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Fronval,8 Rue René Boyer,78140,Vélizy-Villacoublay,01 34 65 38 41,maternellefronval@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-maternelles.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,93,,nr,nr,,640351.6696,6854031.4869,VEL,ENS,VEL_ENS_1507,Non renseigné,
246,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Henri Rabourdin,19 Rue Henri Rabourdin,78140,Vélizy-Villacoublay,01 34 65 32 37,maternellerabourdin@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-maternelles.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,69,,nr,nr,,640860.3986,6853814.5873,VEL,ENS,VEL_ENS_1508,Non renseigné,
247,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Jean Mermoz,8 Rue Clément Ader,78140,Vélizy-Villacoublay,01 34 58 11 63,maternellemermoz@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-maternelles.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,213,,nr,nr,,639925.3705,6854329.3216,VEL,ENS,VEL_ENS_1509,Non renseigné,
248,Groupe scolaire,Enseignement,Enseignement primaire,Ecole maternelle,Public,Ecole maternelle Mozart,11 Rue de la Division Leclerc,78140,Vélizy-Villacoublay,01 39 46 18 69,maternellemozart@velizy-villacoublay.fr,http://www.velizy-villacoublay.fr/fr/education/enseignement/etablissements/ecoles-maternelles.html,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,202,,nr,nr,,639022.9904,6853968.5685,VEL,ENS,VEL_ENS_1510,Non renseigné,
249,Ecole maternelle,Enseignement,Enseignement primaire,Ecole maternelle,Privé,Ecole maternelle Saint Jean d'Hulst,16 Rue Remilly,78000,Versailles,01 39 54 93 92,nr,http://www.saint-jean-hulst.com/,R,"Crèche, école maternelle, halte-garderie, jardin d'enfants",,,,,nr,nr,,636619.1585,6857189.0592,VER,ENS,VER_ENS_1511,Clagny-Glatigny,
250,Groupe scolaire,Enseignement,Enseignement primaire,Ecole élémentaire,Privé,Ecole élémentaire Saint-Pierre,13 B Rue Saint-Simon,78000,Versailles,01 39 50 14 74,espdir@club-internet.fr,http://espversailles.com/,R,Établissement d'enseignement et de formation,,,224,,nr,nr,,636443.907,6856350.508,VER,ENS,VER_ENS_1512,Notre-Dame,
251,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Public,Ecole élémentaire Village de Montreuil,50 Rue de Montreuil,78000,Versailles,01 39 51 59 44,0781032Y@ac-versailles.fr,http://www.ec-montreuil-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,208,,nr,nr,VERACCERP35,637406.4924,6856397.9995,VER,ENS,VER_ENS_1513,Montreuil,
252,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Public,Ecole élémentaire Yves Le Coz,149 Rue Yves le Coz,78000,Versailles,01 39 50 16 30,0783532R@ac-versailles.fr,http://www.ec-lecoz.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,318,,nr,nr,VERACCERP37,637492.131,6854878.9071,VER,ENS,VER_ENS_1514,Porchefontaine,
253,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Public,Ecole élémentaire Camille Corot,107 Avenue Gaston Boissier,78220,Viroflay,01 30 97 02 94,nr,http://www.ville-viroflay.fr/3-12-ans/117-ecole-elementaire-corot.html,R,Établissement d'enseignement et de formation,,,276,,nr,nr,,639302.0714,6855799.9596,VIR,ENS,VIR_ENS_1515,Non renseigné,
254,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Public,Ecole élémentaire L'Aulnette,24 Rue Joseph Bertrand,78220,Viroflay,01 30 24 08 03,nr,http://www.ville-viroflay.fr/enfance-jeunesse/enfance/119-ecole-elementaire-laulnette.html,R,Établissement d'enseignement et de formation,,,336,,nr,nr,,638870.5696,6856794.5133,VIR,ENS,VIR_ENS_1516,Non renseigné,
255,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Public,Ecole élémentaire Les Arcades,13 Rue Rieussec,78220,Viroflay,01 30 24 38 21,nr,http://www.ville-viroflay.fr/3-12-ans/118-ecole-elementaire-des-arcades.html,R,Établissement d'enseignement et de formation,,,286,,nr,nr,,639093.8812,6856175.2518,VIR,ENS,VIR_ENS_1517,Non renseigné,
256,Ecole élémentaire,Enseignement,Enseignement primaire,Ecole élémentaire,Privé,Ecole élémentaire Saint François d'Assise,6 Rue Hippolyte Maze,78220,Viroflay,01 30 24 52 21,nr,http://www.ecole-sfa-viroflay.fr/,R,Établissement d'enseignement et de formation,,,172,,nr,nr,,639275.3559,6856005.7352,VIR,ENS,VIR_ENS_1518,Non renseigné,
257,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Mozart,9 Avenue Mozart,78390,Bois-d'Arcy,01 34 60 10 09,ce.0780261K@ac-versailles.fr,http://www.clg-mozart-boisdarcy.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,628380.2089,6855949.7296,BOI,ENS,BOI_ENS_1519,Non renseigné,
258,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Sainte Thérèse,7 Quai Boissy d'Anglas,78380,Bougival,01 30 78 16 80,ce.0783301P@ac-versailles.fr,http://www.stetherese-bougival.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636684.1086,6863393.8614,BOU,ENS,BOU_ENS_1520,Non renseigné,
259,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Franco Allemand,5 Rue Collin Mamet,78530,Buc,01 39 07 14 20,lfa-buc@ac-versailles.fr,http://www.lyc-lfa-buc.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635425.7778,6852646.7635,BUC,ENS,BUC_ENS_1521,Non renseigné,
260,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège La Maison,1 Rue Louis Massotte,78530,Buc,01 39 56 34 08,lamaison@seay.asso.fr,nr,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635951.2043,6853002.3745,BUC,ENS,BUC_ENS_1522,Non renseigné,
261,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Martin Luther King,9 Rue Collin Mamet,78530,Buc,01 39 56 47 48,ce.0780715D@ac-versailles.fr,http://www.clg-lutherking-buc.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635373.0855,6852578.9437,BUC,ENS,BUC_ENS_1523,Non renseigné,
262,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège René Descartes,2 Rue René Descartes,78330,Fontenay-le-Fleury,01 30 14 90 50,ce.0780185C@ac-versailles.fr,http://www.clg-descartes-fontenay.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,630484.3942,6857236.6275,FON,ENS,FON_ENS_1524,Non renseigné,
263,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Louis Pasteur,30 Avenue de Circourt,78170,La Celle-Saint-Cloud,01 39 69 47 27,ce.0780504Z@ac-versailles.fr,http://www.clg-pasteur-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637267.5514,6861468.5088,CEL,ENS,CEL_ENS_1525,Non renseigné,
264,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Victor Hugo,52 Avenue des Étangs,78170,La Celle-Saint-Cloud,01 30 78 24 90,ce.0780036R@ac-versailles.fr,http://www.clg-hugo-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635914.8622,6860796.0073,CEL,ENS,CEL_ENS_1526,Non renseigné,
265,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Blanche de Castille,1 Avenue de la Bretèche,78150,Le Chesnay,01 39 23 14 30,b2c@blanche-de-castille.fr,http://www.blanche-de-castille.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636265.1487,6859186.9775,CHE,ENS,CHE_ENS_1527,Non renseigné,
266,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Charles Peguy,23 Avenue Charles de Gaulle,78150,Le Chesnay,01 39 54 09 57,ce.0783252L@ac-versailles.fr,http://www.clg-peguy-lechesnay.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635482.5041,6859003.9687,CHE,ENS,CHE_ENS_1528,Non renseigné,
267,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Jean-Baptiste de la Quintinie,Place Jean de la Quintinie,78590,Noisy-le-Roi,01 30 80 16 00,ce.0780179W@ac-versailles.fr,http://www.clg-quintinye-noisy.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,631721.1196,6860115.5547,NOI,ENS,NOI_ENS_1529,Non renseigné,
268,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Jean Racine,5 Rue Jean Moulin,78210,Saint-Cyr-l'Ecole,01 30 07 14 14,ce.0780186D@ac-versailles.fr,http://www.clg-racine-st-cyr.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,631000.9642,6856894.4629,CYR,ENS,CYR_ENS_1530,Non renseigné,
269,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Maryse Bastié,10 Avenue du Capitaine Tarron,78140,Vélizy-Villacoublay,01 39 46 18 90,ce.0780265P@ac-versailles.fr,http://www.clg-bastie-velizy.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,640531.72,6853803.87,VEL,ENS,VEL_ENS_1531,Non renseigné,
270,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Saint-Exupéry,21 Avenue Robert Wagner,78140,Vélizy-Villacoublay,01 39 46 00 50,ce.0780210E@ac-versailles.fr,http://www.clg-st-exupery-velizy.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,639474.1954,6854009.0798,VEL,ENS,VEL_ENS_1532,Non renseigné,
271,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Bienheureux Charles Foucauld,4 Avenue des Arts,78000,Versailles,01 39 53 20 52,direction@college-foucauld.fr,http://www.college-foucauld.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636837.84,6858423.4703,VER,ENS,VER_ENS_1533,Clagny-Glatigny,
272,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Clagny,9 Rue Victor Bart,78000,Versailles,01 39 50 35 30,ce.0781298M@ac-versailles.fr,http://www.clg-clagny-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637170.5451,6857031.1695,VER,ENS,VER_ENS_1534,Clagny-Glatigny,
273,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Hoche,73 Avenue de Saint-Cloud,78000,Versailles,01 30 84 08 50,ce.0781106D@ac-versailles.fr,http://www.lyc-hoche-versailles.ac-versailles.fr,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636600.1026,6856528.7518,VER,ENS,VER_ENS_1535,Notre-Dame,
274,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Jean Philippe Rameau,1 Rond-Point des Condamines,78000,Versailles,01 39 50 76 64,ce.0781107E@ac-versailles.fr,http://www.clg-jprameau-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637225.5256,6856188.017,VER,ENS,VER_ENS_1536,Montreuil,
275,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Jeanne d'Arc,35 Rue Remilly,78000,Versailles,01 39 55 43 93,ins.jeanne.darc@9online.fr,http://www.institutjeannedarc.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636851.1963,6857170.3769,VER,ENS,VER_ENS_1537,Clagny-Glatigny,
276,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Pierre de Nolhac,10 Rue de Limoges,78000,Versailles,01 39 51 09 28,ce.0780580G@ac-versailles.fr,http://www.clg-nolhac-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636206.8059,6855739.8268,VER,ENS,VER_ENS_1538,Chantiers,
277,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Raymond Poincaré,2 Place Raymond Poincaré,78000,Versailles,01 39 07 23 23,ce.0780718G@ac-versailles.fr,http://www.clg-poincare-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636466.5168,6855565.5778,VER,ENS,VER_ENS_1539,Chantiers,
278,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Sacré Cœur,3 Rue des Bourdonnais,78000,Versailles,01 30 83 24 91,ce.0783295H@ac-versailles.fr,http://www.sacrecoeur-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635622.4762,6855508.5556,VER,ENS,VER_ENS_1540,Saint-Louis,
279,Collège,Enseignement,Enseignement secondaire,Collège,Privé,Collège Saint Jean d'Hulst,26 Rue du Maréchal de Lattre de Tassigny,78000,Versailles,01 39 54 11 26,ce.0781597M@ac-versailles.fr,http://www.saint-jean-hulst.com/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636616.6967,6857850.7599,VER,ENS,VER_ENS_1541,Clagny-Glatigny,
280,Collège,Enseignement,Enseignement secondaire,Collège,Public,Collège Jean Racine,2 Rue Racine,78220,Viroflay,01 30 24 70 34,ce.0780184B@ac-versailles.fr,http://www.clg-racine-viroflay.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,639380.3388,6855665.6799,VIR,ENS,VIR_ENS_1542,Non renseigné,
281,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Montessori,29 Rue de Noisy,78870,Bailly,06 31 05 41 34,mail@lyceeinternationalmontessori.fr,http://www.lyceeinternationalmontessori.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,632220.4967,6860776.1314,BAI,ENS,BAI_ENS_1543,Non renseigné,
282,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Franco Allemand,5 Rue Collin Mamet,78530,Buc,01 39 07 14 20,lfa-buc@ac-versailles.fr,http://www.lyc-lfa-buc.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635410.3322,6852617.7592,BUC,ENS,BUC_ENS_1544,Non renseigné,
283,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Collbert,52 Avenue Pasteur,78170,La Celle-Saint-Cloud,01 30 78 20 80,ce.0783249H@ac-versailles.fr,http://www.lyc-colbert-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636351.6607,6860271.311,CEL,ENS,CEL_ENS_1545,Non renseigné,
284,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Lucien René Duchesne,49 Avenue Maurice de Hirsch,78170,La Celle-Saint-Cloud,01 30 08 10 60,ce.0783214V@ac-versailles.fr,http://www.lyc-duchesne-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635227.9673,6860486.8074,CEL,ENS,CEL_ENS_1546,Non renseigné,
285,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Pierre Corneille,1 Avenue Corneille,78170,La Celle-Saint-Cloud,01 39 69 40 03,ce.0782822U@ac-versailles.fr,http://www.lyc-corneille-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636614.357,6860997.3085,CEL,ENS,CEL_ENS_1547,Non renseigné,
286,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Blanche de Castille,1 Avenue de la Bretèche,78150,Le Chesnay,01 39 23 14 30,b2c@blanche-de-castille.fr,http://www.blanche-de-castille.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636270.2803,6859184.7773,CHE,ENS,CHE_ENS_1548,Non renseigné,
287,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Jean Moulin,18 Rue du Docteur Audigier,78150,Le Chesnay,01 39 23 16 80,ce.0782602E@ac-versailles.fr,http://www.lyc-moulin-lechesnay.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636362.5919,6858869.3956,CHE,ENS,CHE_ENS_1549,Non renseigné,
288,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Jean Perrin,1 Rue Lucien Sampaix,78210,Saint-Cyr-l'Ecole,01 30 45 10 12,ce.0782593V@ac-versailles.fr,http://www.lyc-perrin-st-cyr.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,630911.9423,6856264.3784,CYR,ENS,CYR_ENS_1550,Non renseigné,
289,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Jules Hardouin-Mansart,26 Rue Victorien Sardou,78210,Saint-Cyr-l'Ecole,01 30 45 12 34,ce.0783140P@ac-versailles.fr,http://www.lyc-mansart-st-cyr.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,631304.1926,6856550.2211,CYR,ENS,CYR_ENS_1551,Non renseigné,
290,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Militaire de Saint-Cyr-l'Ecole,240 avenue de l'Ecole Spéciale Militaire,78210,Saint-Cyr-l'Ecole,01 30 85 88 05,nr,http://www.lm-st-cyr.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,631365.3385,6855980.9537,CYR,ENS,CYR_ENS_1552,Non renseigné,
291,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Cours Versaillais,20 Boulevard du Roi,78000,Versailles,01 39 50 59 00,coursversaillais@orange.fr,http://www.coursversaillais.com/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635904.6446,6857222.5918,VER,ENS,VER_ENS_1553,Notre-Dame,
292,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Hoche,73 Avenue de Saint-Cloud,78000,Versailles,01 30 84 08 50,ce.0782562L@ac-versailles.fr,http://www.lyc-hoche-versailles.ac-versailles.fr,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636604.1174,6856529.1634,VER,ENS,VER_ENS_1554,Notre-Dame,
293,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Jacques Prevert,88 Avenue des États-Unis,78000,Versailles,01 39 07 28 40,ce.0782603F@ac-versailles.fr,http://www.lyc-prevert-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637546.5458,6857003.177,VER,ENS,VER_ENS_1555,Jussieu,
294,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Jules Ferry,29 Rue Maréchal Joffre,78000,Versailles,01 39 20 11 60,ce.0782565P@ac-versailles.fr,http://www.lyc-ferry-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635440.7984,6855298.9274,VER,ENS,VER_ENS_1556,Saint-Louis,
295,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée La Bruyère,31 Avenue de Paris,78000,Versailles,01 39 50 04 37,ce.0782563M@ac-versailles.fr,http://www.lyc-labruyere-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636669.479,6855955.1533,VER,ENS,VER_ENS_1557,Montreuil,
296,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Les Châtaigniers,11 B Avenue Jean Jaurès,78000,Versailles,01 39 55 95 04,ce.0783293F@ac-versailles.fr,http://www.leschataigniers.com/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637155.0948,6857767.7381,VER,ENS,VER_ENS_1558,Clagny-Glatigny,
297,Lycée,Enseignement,Enseignement secondaire,Lycée,Public,Lycée Marie Curie,70 Avenue de Paris,78000,Versailles,01 39 24 13 70,ce.0782567S@ac-versailles.fr,http://www.lyc-curie-versailles.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636974.131,6855732.6986,VER,ENS,VER_ENS_1559,Chantiers,
298,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Marie des Lys,1 T Rue Antoine Coypel,78000,Versailles,06 60 36 44 63,f.derouault@coursmariedeslys.c,http://www.coursmariedeslys.com/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,637010.532,6855875.6049,VER,ENS,VER_ENS_1560,Montreuil,
299,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Notre-Dame du Grandchamp,97 Rue Royale,78000,Versailles,01 39 24 12 80,ce.0781582W@ac-versailles.fr,http://www.nd-grandchamp.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,635649.6412,6855168.6512,VER,ENS,VER_ENS_1561,Saint-Louis,
300,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Saint Jean d'Hulst,26 Rue du Maréchal de Lattre de Tassigny,78000,Versailles,01 39 54 03 17,ce.0783350T@ac-versailles.fr,http://www.saint-jean-hulst.com/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636618.6341,6857866.1017,VER,ENS,VER_ENS_1562,Clagny-Glatigny,
301,Lycée,Enseignement,Enseignement secondaire,Lycée,Privé,Lycée Saint Vincent de Paul,44 Avenue de Saint-Cloud,78000,Versailles,01 30 21 42 03,ce.0783325R@ac-versailles.fr,http://www.lpstvincent.org/,R,Établissement d'enseignement et de formation,,,,,nr,nr,,636464.8658,6856434.6632,VER,ENS,VER_ENS_1563,Notre-Dame,
302,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Privé,BUC Ressources,1 B Rue Louis Massotte,78530,Buc,01 39 20 19 94,contact@buc-ressources.org,https://www.buc-ressources.org/,R,Établissement d'enseignement et de formation,,,554,,nr,nr,,635968.7667,6852959.6953,BUC,ENS,BUC_ENS_1564,Non renseigné,
303,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Privé,Ecole des Hautes Etudes Commerciales (HEC) Paris,1 Rue de la Libération,78350,Jouy-en-Josas,01 39 67 70 00,hecinfo@hec.fr,http://www.hec.fr/,R,Établissement d'enseignement et de formation,,,4041,,Consulaire,nr,,639144.6967,6851535.7621,JOU,ENS,JOU_ENS_1565,Non renseigné,
304,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Association,Ecole paramédicale Jeanne Blum,19 Rue Victor Hugo,78350,Jouy-en-Josas,01 39 46 58 67,ecole.j.blum@wanadoo.fr,http://www.ecolejeanneblum.fr/,R,Établissement d'enseignement et de formation,,,140,,nr,nr,,638561.208,6852750.7305,JOU,ENS,JOU_ENS_1566,Non renseigné,
305,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Privé,FERRANDI Paris - Ecole française de Gastronomie,Chemin de l'Orme Rond,78350,Jouy-en-Josas,01 49 54 28 00,nr,http://www.ferrandi-paris.fr/,R,Établissement d'enseignement et de formation,,,350,,Consulaire,nr,,637800.0257,6851767.0169,JOU,ENS,JOU_ENS_1567,Non renseigné,
306,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Privé,TECOMAH - Ecole de l'Environnement et du Cadre de Vie,Chemin de l'Orme Rond,78350,Jouy-en-Josas,01 39 67 12 00,cngovan@cci-paris-idf.fr,http://www.tecomah.fr/,R,Établissement d'enseignement et de formation,,,650,,Consulaire,nr,,637786.7236,6851668.3511,JOU,ENS,JOU_ENS_1568,Non renseigné,
307,Enseignement supérieur,Enseignement,Enseignement supérieur,Etablissement d'enseignement supérieur,Public,Lycée Corneille,4 Avenue Corneille,78170,La Celle-Saint-Cloud,01 39 69 40 03,nr,http://www.lyc-corneille-lacelle.ac-versailles.fr/,R,Établissement d'enseignement et de formation,,,55,,nr,nr,,636614.4392,6860994.5846,CEL,ENS,CEL_ENS_1569,Non renseigné,
