Prestations directes tous régimes France entière (hors Mayotte) depuis 1946 en euros courants;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement familiale (ALF) Location;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nd ;2 860,85;2 910,98;3 032,82;3 115,30;3 408,25;3 514,68;3 589,81;3 659,01;3 704,32;3 844,85;3 925,00;3 955,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement familiale (ALF) Prime de déménagement familiale;;;;0,00;0,00;0,04;0,01;0,17;0,25;0,39;0,55;0,89;1,17;1,53;1,91;2,36;2,58;2,35;3,25;4,54;5,24;6,19;7,32;8,23;8,54;8,54;8,38;15,55;17,84;19,36;21,50;22,41;25,31;26,98;29,12;34,45;38,87;39,79;39,94;44,67;44,21;25,92;9,30;4,04;4,73;4,27;3,96;2,90;2,74;3,40;3,64;3,74;3,88;4,13;3,82;3,65;3,36;3,23;3,32;3,50;3,55;3,70;3,96;4,15;3,64;3,92;3,71;3,61;3,29;2,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL);;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;3,68;57,37;218,23;423,77;755,81;1 182,75;1 636,25;2 117,99;2 657,02;3 047,01;3 419,67;3 864,46;4 237,40;4 533,12;4 787,95;4 994,01;5 235,35;5 483,66;5 598,63;5 787,86;5 931,32;6 013,39;5 985,06;5 966,30;6 172,28;6 076,55;6 268,30;6 171,67;6 235,20;6 203,05;6 573,92;6 719,06;6 868,17;7 144,15;7 415,01;7 767,22;7 987,57;8 219,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL) Accession;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,05;50,31;202,76;401,25;723,07;1 140,47;1 583,79;2 054,71;2 585,38;2 995,32;3 390,62;3 831,65;4 202,71;4 497,40;4 750,57;4 955,48;5 194,59;5 440,91;5 554,57;5 742,79;5 885,30;5 967,01;5 938,91;5 920,69;6 125,58;6 032,17;6 221,31;496,31;429,85;362,92;351,99;322,85;296,36;297,08;295,28;290,44;279,90;268,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL) Location;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nd ;5 088,31;5 206,50;5 225,07;5 575,82;5 723,74;5 864,94;6 131,53;6 381,22;6 706,53;6 923,98;7 170,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL) Foyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;535,68;553,68;566,82;603,64;628,56;655,75;680,72;704,21;737,81;752,09;750,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL) Prime de déménagement APL;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,61;6,71;14,03;19,67;27,59;34,15;41,16;48,63;53,20;30,34;4,88;5,49;4,73;3,66;3,51;3,20;3,72;3,96;4,46;4,13;4,06;3,84;3,81;3,39;3,03;2,75;2,64;2,61;2,83;2,84;2,99;3,30;3,47;3,41;3,39;3,26;3,10;2,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide personnalisée au logement (APL) Indus, créances,  remises / créances, annulations créances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02;0,36;1,45;2,86;5,16;8,13;11,29;14,65;18,43;21,36;24,17;27,32;29,96;32,06;33,87;35,33;37,04;38,79;39,60;40,94;41,96;42,54;42,34;42,21;43,67;41,63;44,36;48,77;42,34;45,39;39,48;40,61;47,65;31,41;30,90;29,17;28,51;27,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement sociale (ALS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;157,61;219,36;286,89;338,93;364,12;444,65;531,47;664,75;975,68;1 074,01;1 135,67;1 156,07;1 180,60;1 204,55;1 259,51;1 322,55;1 441,43;1 573,20;1 988,28;2 577,68;2 919,38;3 066,02;3 154,21;3 243,35;3 349,81;3 496,55;3 527,97;3 735,75;3 972,44;3 980,30;4 198,75;4 168,26;4 299,72;4 359,10;4 763,84;4 850,07;4 914,13;5 007,25;5 093,17;5 267,17;5 272,51;5 327,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement sociale (ALS) Accession;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155,28;215,58;281,79;332,91;356,73;436,00;521,68;652,48;960,89;1 059,06;1 120,35;1 139,71;1 162,12;1 190,32;1 251,45;1 314,42;1 432,56;1 563,52;1 976,04;2 561,81;2 901,41;3 047,15;3 134,80;3 223,39;3 329,19;3 475,03;3 506,26;3 712,76;3 947,99;3 951,77;90,80;85,81;86,18;87,32;90,44;93,47;92,19;92,43;93,15;96,60;97,51;98,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation logement sociale (ALS) Location étudiant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nd ;944,19;899,50;941,18;1 017,91;1 078,99;1 106,56;1 144,89;1 182,46;1 187,45;1 216,06;1 214,27;1 265,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement sociale (ALS) Location hors étudiant;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;#VALEUR!;3 132,09;3 132,81;3 239,00;3 220,45;3 565,69;3 620,00;3 648,00;3 705,22;3 788,86;3 931,50;3 938,33;3 943,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement sociale (ALS) Indus, créances,  remises / créances, annulations créances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,96;1,33;1,74;2,06;2,21;2,70;3,23;4,04;5,95;6,56;6,94;7,06;7,20;7,37;7,75;8,14;8,87;9,68;12,24;15,86;17,97;18,87;19,41;19,96;20,62;21,52;21,71;22,99;24,45;28,53;31,67;50,14;33,36;33,42;28,72;30,03;29,04;27,13;23,72;23,02;22,40;19,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prime de déménagement sociale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation logement temporaire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,61;8,54;19,67;30,97;37,13;40,85;45,05;50,76;56,10;70,54;82,37;79,03;84,81;84,71;90,78;94,37;104,63;108,21;110,31;111,75;114,88;101,57;101,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation logement temporaire Aide aux organismes (ALT1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,61;8,54;19,67;30,97;37,13;40,85;45,05;50,76;56,09;70,53;82,37;79,02;74,94;73,92;74,16;71,54;76,17;75,20;75,36;74,33;75,70;64,80;69,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation logement temporaire Accueil des gens du voyage (ALT2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,83;10,76;16,58;22,83;28,46;33,01;34,96;37,42;39,18;36,76;32,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indus, créances,  remises / créances, annulations créances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prêts amélioration de l'habitat y compris les PAH AM, PALA;;;;;;;;;0,16;0,16;0,16;0,16;0,16;0,16;0,22;0,17;0,29;0,33;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,00;0,00;0,00;0,00;0,00;2,13;2,59;5,03;6,56;5,18;0,76;-0,61;3,66;6,56;1,83;0,76;-1,07;-1,07;2,13;3,05;3,96;1,68;0,00;-3,51;-5,79;-4,88;-5,00;-1,68;-4,30;-4,15;-4,74;-4,10;-2,30;-4,22;-3,14;-2,16;-0,82;-2,19;7,92;6,35;3,06;1,00;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prêts aux jeunes ménages (PJM);;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;37,96;82,78;49,85;71,19;77,60;53,81;36,74;28,81;31,40;2,90;4,42;12,81;9,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intérêts des prêts jeunes avenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;0,26;0,34;0,25;0,14;0,06;0,02;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation d'installation de l'étudiant (ALINE, juillet - décembre);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,25;27,59;8,08;0,14;0,01;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minima sociaux - Aides à l'emploi ;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,23;17,99;23,78;79,27;319,99;523,97;708,74;970,64;1 335,15;1 767,80;2 026,35;2 195,88;2 303,66;2 484,16;2 608,25;2 744,84;3 817,68;4 588,55;4 989,20;5 393,24;5 924,69;6 622,82;7 117,48;7 558,89;8 023,88;8 630,58;9 272,97;9 426,68;9 656,23;10 196,71;10 603,43;11 450,32;12 155,22;12 847,18;13 361,80;13 557,47;16 013,62;16 001,23;17 024,53;18 163,57;19 411,06;20 732,95;21 988,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation de parent isolé (API) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,52;33,69;81,41;117,84;166,78;229,74;263,28;330,97;412,07;460,09;515,28;542,72;574,12;601,41;625,70;638,57;657,18;697,58;727,33;732,34;700,68;708,56;699,94;707,40;722,35;753,65;795,79;833,16;899,71;971,73;1 064,15;1 075,26;1 024,34;543,80;146,67;-0,29;-0,47;0,24;0,13;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation adultes handicapés (AAH + MVA + GRPH);;;;;;;;;;;;;;;;;;;;;;;;;;;;8,23;17,99;23,78;77,75;286,30;442,56;590,89;803,86;1 044,28;1 471,74;1 673,74;1 765,66;1 829,54;1 955,77;2 053,79;2 160,81;2 257,01;2 391,47;2 510,99;2 632,49;2 754,60;2 930,07;3 136,64;3 371,91;3 524,44;3 679,49;3 877,73;4 028,25;4 237,54;4 430,47;4 577,07;4 811,66;5 031,85;5 230,44;5 505,39;5 761,49;6 193,05;6 633,65;7 223,09;7 821,45;8 219,53;8 508,39;8 858,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation adultes handicapés de base;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,23;17,99;23,78;77,75;286,30;442,56;590,89;803,86;1 044,28;1 471,74;1 673,74;1 765,66;1 829,54;1 955,77;2 053,79;2 160,81;2 257,01;2 391,47;2 510,99;2 632,49;2 754,60;2 930,07;3 033,13;3 256,22;3 400,40;3 546,22;3 731,12;3 873,01;4 073,49;4 257,83;4 397,72;4 621,87;4 821,80;4 952,51;5 221,31;5 475,82;5 889,10;6 323,35;6 900,92;7 489,97;7 883,85;8 169,87;8 511,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Majoration pour la vie autonome (MVA) - Complément AAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103,51;115,69;124,04;133,27;146,61;155,25;164,05;172,64;179,35;189,79;192,50;149,08;161,75;162,58;173,62;175,10;181,41;184,39;184,86;187,35;192,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Complément de ressources personnes handicapées (GRPH - AAH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,56;128,86;122,32;123,09;130,33;133,75;140,76;147,09;150,83;151,17;153,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Revenu solidarité active (RSA versé yc prime, créances, indus);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;5 394,64;8 284,59;9 678,58;10 217,43;11 096,32;12 137,83;13 057,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
          RSA socle (hors RSA Jeunes);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3 593,43;6 625,48;7 796,49;8 222,29;8 971,63;9 791,99;10 466,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                    RSA socle majoré  (hors RSA Jeunes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;594,85;1 033,84;1 209,27;1 249,63;1 336,89;1 421,64;1 494,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSA socle non majoré  (hors RSA Jeunes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;2 998,58;5 591,64;6 587,22;6 972,66;7 634,75;8 370,35;8 972,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
         RSA activité (hors RSA Jeunes);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;615,35;1 330,32;1 489,17;1 576,43;1 686,81;1 889,73;2 122,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSA activité majoré  (hors RSA Jeunes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;85,13;156,63;160,39;162,09;168,22;185,63;207,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSA activité non majoré  (hors RSA Jeunes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;530,22;1 173,70;1 328,78;1 414,35;1 518,60;1 704,10;1 915,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
         RSA  Jeunes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,03;25,46;24,63;24,18;23,40;23,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                 RSA  Jeunes socle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;2,23;12,27;11,47;13,97;13,49;12,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                 RSA  Jeunes activté;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;1,80;13,19;13,16;10,20;9,91;10,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSA divers (Prime exceptionnelle 2e trimestre 2009 PSA (Etat) ,Bonus local );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;893,98;10,47;1,48;20,01;1,83;6,53;6,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prime exceptionnelle décembre RSA (Etat) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;291,88;314,29;365,92;373,83;411,87;426,18;437,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Revenu minimum d'insertion (RMI versé yc prime);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;948,44;1 563,58;1 839,49;2 103,57;2 472,51;2 965,42;3 248,50;3 486,30;3 790,88;4 250,49;4 684,40;4 672,83;4 661,86;4 937,52;5 155,58;5 701,04;6 088,49;6 309,91;6 289,86;6 277,82;3 050,53;765,70;17,52;11,78;13,06;11,02;9,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Autres (CIRMA, CAV, PRE, RSO, RSA, Prime ARS, ASA, SURF...);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,13;32,78;21,65;18,14;14,03;13,11;11,74;9,91;10,82;7,80;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,66;3,44;3,25;3,19;32,94;37,62;37,91;63,15;242,67;491,29;493,82;831,61;170,62;105,63;113,39;81,91;75,58;63,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Supplément de revenu familial (SURF);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,13;32,78;21,65;18,14;14,03;13,11;11,74;9,91;10,82;7,80;0,15;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation spécifique d'attente (ASA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,66;3,44;3,25;3,19;1,20;0,07;0,04;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Contrat d'insertion - revenu minimum d'activité (CIRMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,12;8,13;27,81;44,03;39,43;26,54;10,75;2,25;1,52;1,27;1,07;0,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Contrat d'avenir (CAV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,55;87,66;145,78;126,08;107,02;51,39;22,92;15,76;16,66;13,24;3,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Prime de retour à l'emploi (PRE, décret et loi) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,25;238,52;236,84;144,50;25,90;7,65;0,51;0,10;0,03;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Prime exceptionnelle ARS (Etat);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;461,73;0,24;0,02;0,00;0,02;-0,01;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Revenu de solidarité active (RSA expérimental) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,54;22,72;20,43;8,90;0,19;0,01;-0,01;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Revenu de solidarité (RSO versé dans les DOM);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,74;37,55;36,75;50,47;55,95;62,44;68,74;71,38;73,45;72,61;68,06;63,86;61,25;58,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prime pour vie chère - AAH (compte 45122382);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Prestations légales directes;112,99;200,22;386,63;479,13;554,89;711,66;855,78;914,07;997,15;1 075,06;1 164,72;1 242,35;1 372,80;1 452,15;1 575,22;1 703,86;1 950,78;2 168,97;2 322,64;2 460,63;2 597,68;2 735,89;2 919,88;3 155,30;3 280,72;3 503,84;3 746,63;4 364,92;4 995,43;5 641,21;6 176,15;7 199,44;8 672,46;9 714,37;11 443,54;13 918,48;17 225,50;19 013,34;20 250,20;21 298,56;22 714,62;23 484,84;24 679,27;26 596,17;28 445,22;29 874,22;31 574,25;34 703,44;36 728,20;38 451,19;39 646,25;41 823,60;42 587,10;44 017,15;44 476,13;45 655,88;47 372,51;48 190,70;50 543,21;52 359,40;54 599,97;55 984,10;58 067,71;61 870,16;62 250,21;64 220,13;66 620,34;69 124,05;71 100,32;72 075,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
