Hauts-de-France par commune( 2018),,,
,,Indic1,
59036,Avesnes-sur-Helpe,0,268
59037,Avesnes-les-Aubert,0,339
59038,Avesnes-le-Sec,0,39
59039,Awoingt,0,53
59041,Bachant,0,425
59042,Bachy,0,773
59043,Bailleul,0,525
59044,Baisieux,0,756
59045,Baives,0,366
59046,Bambecque,0,461
59047,Banteux,0,419
59048,Bantigny,0,505
59049,Bantouzelle,0,401
59050,Bas-Lieu,0,46
59051,La Bassée,0,484
59052,Bauvin,0,497
59053,Bavay,0,441
59054,Bavinchove,0,453
59055,Bazuel,0,371
59056,Beaucamps-Ligny,0,729
59057,Beaudignies,0,506
59058,Beaufort,0,467
59059,Beaumont-en-Cambrésis,0,375
59060,Beaurain,0,419
59061,Beaurepaire-sur-Sambre,0,344
59062,Beaurieux,0,505
59063,Beauvois-en-Cambrésis,0,336
59064,Bellaing,0,425
59065,Bellignies,0,504
59066,Bérelles,0,493
59067,Bergues,0,451
59068,Berlaimont,0,418
59069,Bermerain,0,42
59070,Bermeries,0,506
59071,Bersée,0,761
59072,Bersillies,0,503
59073,Berthen,0,588
59074,Bertry,0,404
59075,Béthencourt,0,37
59076,Bettignies,0,432
59077,Bettrechies,0,485
59078,Beugnies,0,475
59079,Beuvrages,0,247
59080,Beuvry-la-Forêt,0,557
59081,Bévillers,0,406
59082,Bierne,0,593
59083,Bissezeele,0,569
59084,Blaringhem,0,523
59085,Blécourt,0,492
59086,Boeschepe,0,538
59087,Boëseghem,0,506
59088,Bois-Grenier,0,655
59089,Bollezeele,0,433
59090,Bondues,0,908
59091,Borre,0,582
59092,Bouchain,0,36
59093,Boulogne-sur-Helpe,0,43
59094,Bourbourg,0,359
59096,Bourghelles,0,791
59097,Boursies,0,458
59098,Bousbecque,0,69
59099,Bousies,0,402
59100,Bousignies,0,503
59101,Bousignies-sur-Roc,0,456
59102,Boussières-en-Cambrésis,0,382
59103,Boussières-sur-Sambre,0,515
59104,Boussois,0,38
59105,Bouvignies,0,584
59106,Bouvines,0,826
59107,Bray-Dunes,0,531
59108,Briastre,0,413
59109,Brillon,0,479
59110,Brouckerque,0,528
59111,Broxeele,0,557
59112,Bruay-sur-l'Escaut,0,253
59113,Bruille-lez-Marchiennes,0,417
59114,Bruille-Saint-Amand,0,44
59115,Brunémont,0,436
59116,Bry,0,611
59117,Bugnicourt,0,422
59118,Busigny,0,363
59119,Buysscheure,0,475
59120,Caëstre,0,555
59121,Cagnoncles,0,423
59122,Cambrai,0,375
59123,Camphin-en-Carembault,0,614
59124,Camphin-en-Pévèle,0,802
59125,Cantaing-sur-Escaut,0,481
59126,Cantin,0,429
59127,Capelle,0,478
59128,Capinghem,0,62
59129,Cappelle-en-Pévèle,0,758
59130,Cappelle-Brouck,0,435
59131,Cappelle-la-Grande,0,443
59132,Carnières,0,385
59133,Carnin,0,612
59134,Cartignies,0,414
59135,Cassel,0,51
59136,Le Cateau-Cambrésis,0,299
59137,Catillon-sur-Sambre,0,358
59138,Cattenières,0,479
59139,Caudry,0,266
59140,Caullery,0,377
59141,Cauroir,0,416
59142,Cerfontaine,0,51
59143,La Chapelle-d'Armentières,0,574
59144,Château-l'Abbaye,0,483
59145,Chemy,0,695
59146,Chéreng,0,796
59147,Choisies,N/A - résultat non disponible,
59148,Clairfayts,0,453
59149,Clary,0,445
59150,Cobrieux,0,832
59151,Colleret,0,462
59152,Comines,0,618
59153,Condé-sur-l'Escaut,0,263
59155,Coudekerque-Branche,0,456
59156,Courchelettes,0,445
59157,Cousolre,0,396
59158,Coutiches,0,609
59159,Craywick,0,471
59160,Crespin,0,333
59161,Crèvecoeur-sur-l'Escaut,0,49
59162,Crochte,0,572
59163,Croix,0,584
59164,Croix-Caluyau,0,445
59165,Cuincy,0,529
59166,Curgies,0,518
59167,Cuvillers,0,503
59168,Cysoing,0,737
59169,Damousies,0,478
59170,Dechy,0,314
59171,Dehéries,N/A - résultat non disponible,
59172,Denain,0,189
59173,Deûlémont,0,627
59174,Dimechaux,0,491
59175,Dimont,0,481
59176,Doignies,0,394
59177,Dompierre-sur-Helpe,0,424
59178,Douai,0,428
59179,Douchy-les-Mines,0,289
59180,Le Doulieu,0,604
59181,Dourlers,0,478
59182,Drincham,0,461
59183,Dunkerque,0,426
59184,Ebblinghem,0,544
59185,Écaillon,0,329
59186,Eccles,N/A - résultat non disponible,
59187,Éclaibes,0,519
59188,Écuélin,0,591
59189,Eecke,0,586
59190,Élesmes,0,535
59191,Élincourt,0,349
59192,Émerchicourt,0,386
59193,Emmerin,0,636
59194,Englefontaine,0,415
59195,Englos,0,736
59196,Ennetières-en-Weppes,0,719
59197,Ennevelin,0,785
59198,Eppe-Sauvage,0,475
59199,Erchin,0,499
59200,Eringhem,0,447
59201,Erquinghem-le-Sec,0,749
59202,Erquinghem-Lys,0,567
59203,Erre,0,441
59204,Escarmain,0,448
59205,Escaudain,0,269
59206,Escaudoeuvres,0,384
59207,Escautpont,0,229
59208,Escobecques,0,797
59209,Esnes,0,452
59210,Esquelbecq,0,515
59211,Esquerchin,0,567
59212,Estaires,0,504
59213,Estourmel,0,471
59214,Estrées,0,473
59215,Estreux,0,546
59216,Eswars,0,511
59217,Eth,0,694
59218,Étroeungt,0,392
59219,Estrun,0,491
59220,Faches-Thumesnil,0,555
59221,Famars,0,494
59222,Faumont,0,594
59223,Le Favril,0,412
59224,Féchain,0,383
59225,Feignies,0,421
59226,Felleries,0,404
59227,Fenain,0,384
59228,Férin,0,496
59229,Féron,0,408
59230,Ferrière-la-Grande,0,396
59231,Ferrière-la-Petite,0,428
59232,La Flamengrie,0,576
59233,Flaumont-Waudrechies,0,433
59234,Flers-en-Escrebieux,0,436
59236,Flesquières,0,413
59237,Flêtre,0,598
59238,Flines-lès-Mortagne,0,473
59239,Flines-lez-Raches,0,522
59240,Floursies,0,537
59241,Floyon,0,422
59242,Fontaine-au-Bois,0,426
59243,Fontaine-au-Pire,0,414
59244,Fontaine-Notre-Dame,0,456
59246,Forest-en-Cambrésis,0,443
59247,Forest-sur-Marque,0,695
59249,Fourmies,0,288
59250,Fournes-en-Weppes,0,635
59251,Frasnoy,0,512
59252,Frelinghien,0,575
59253,Fresnes-sur-Escaut,0,246
59254,Fressain,0,476
59255,Fressies,0,44
59256,Fretin,0,735
59257,Fromelles,0,609
59258,Genech,0,796
59259,Ghissignies,0,538
59260,Ghyvelde,0,571
59261,Glageon,0,32
59262,Godewaersvelde,0,543
59263,Goeulzin,0,486
59264,Gognies-Chaussée,0,483
59265,Gommegnies,0,512
59266,Gondecourt,0,649
59267,Gonnelieu,0,462
59268,La Gorgue,0,508
59269,Gouzeaucourt,0,4
59270,Grand-Fayt,0,438
59271,Grande-Synthe,0,269
59272,Grand-Fort-Philippe,0,377
59273,Gravelines,0,402
59274,La Groise,0,44
59275,Gruson,0,901
59276,Guesnain,0,34
59277,Gussignies,0,555
59278,Hallennes-lez-Haubourdin,0,656
59279,Halluin,0,62
59280,Hamel,0,425
59281,Hantay,0,56
59282,Hardifort,0,509
59283,Hargnies,0,553
59284,Hasnon,0,427
59285,Haspres,0,414
59286,Haubourdin,0,521
59287,Haucourt-en-Cambrésis,0,45
59288,Haulchin,0,381
59289,Haussy,0,373
59290,Haut-Lieu,0,429
59291,Hautmont,0,309
59292,Haveluy,0,32
59293,Haverskerque,0,553
59294,Haynecourt,0,473
59295,Hazebrouck,0,493
59296,Hecq,0,48
59297,Hélesmes,0,417
59299,Hem,0,557
59300,Hem-Lenglet,0,404
59301,Hergnies,0,437
59302,Hérin,0,401
59303,Herlies,0,628
59304,Herrin,0,673
59305,Herzeele,0,51
59306,Hestrud,0,468
59307,Holque,0,452
59308,Hondeghem,0,598
59309,Hondschoote,0,413
59310,Hon-Hergies,0,56
59311,Honnechy,0,338
59312,Honnecourt-sur-Escaut,0,38
59313,Hordain,0,381
59314,Hornaing,0,401
59315,Houdain-lez-Bavay,0,512
59316,Houplin-Ancoisne,0,588
59317,Houplines,0,51
59318,Houtkerque,0,479
59319,Hoymille,0,52
59320,Illies,0,582
59321,Inchy,0,336
59322,Iwuy,0,336
59323,Jenlain,0,582
59324,Jeumont,0,329
59325,Jolimetz,0,526
59326,Killem,0,44
59327,Lallaing,0,341
59328,Lambersart,0,757
59329,Lambres-lez-Douai,0,512
59330,Landas,0,554
59331,Landrecies,0,33
59332,Lannoy,0,527
59333,Larouillies,0,374
59334,Lauwin-Planque,0,538
59335,Lecelles,0,467
59336,Lécluse,0,369
59337,Lederzeele,0,484
59338,Ledringhem,0,587
59339,Leers,0,549
59340,Leffrinckoucke,0,551
59341,Lesdain,0,468
59342,Lez-Fontaine,0,53
59343,Lesquin,0,726
59344,Leval,0,437
59345,Lewarde,0,379
59346,Lezennes,0,672
59347,Liessies,0,462
59348,Lieu-Saint-Amand,0,406
59349,Ligny-en-Cambrésis,0,427
59350,Lille,0,536
59351,Limont-Fontaine,0,47
59352,Linselles,0,704
59353,Locquignol,0,465
59354,Loffre,0,514
59356,Lompret,0,85
59357,La Longueville,0,498
59358,Looberghe,0,436
59359,Loon-Plage,0,404
59360,Loos,0,543
59361,Lourches,0,209
59363,Louvignies-Quesnoy,0,454
59364,Louvil,0,838
59365,Louvroil,0,251
59366,Lynde,0,589
59367,Lys-lez-Lannoy,0,563
59368,La Madeleine,0,67
59369,Maing,0,45
59370,Mairieux,0,527
59371,Le Maisnil,0,716
59372,Malincourt,0,401
59374,Marbaix,0,423
59375,Marchiennes,0,48
59377,Marcoing,0,447
59378,Marcq-en-Baroeul,0,819
59379,Marcq-en-Ostrevent,0,41
59381,Maresches,0,51
59382,Maretz,0,36
59383,Marly,0,381
59384,Maroilles,0,385
59385,Marpent,0,379
59386,Marquette-lez-Lille,0,633
59387,Marquette-en-Ostrevant,0,333
59388,Marquillies,0,569
59389,Masnières,0,397
59390,Masny,0,324
59391,Mastaing,0,394
59392,Maubeuge,0,3
59393,Maulde,0,436
59394,Maurois,0,367
59395,Mazinghien,0,411
59396,Mecquignies,0,543
59397,Merckeghem,0,535
59398,Mérignies,0,869
59399,Merris,0,57
59400,Merville,0,46
59401,Méteren,0,578
59402,Millam,0,524
59403,Millonfosse,0,487
59405,Moeuvres,0,405
59406,Monceau-Saint-Waast,0,497
59407,Monchaux-sur-Écaillon,0,512
59408,Moncheaux,0,774
59409,Monchecourt,0,364
59410,Mons-en-Baroeul,0,484
59411,Mons-en-Pévèle,0,75
59412,Montay,0,368
59413,Montigny-en-Cambrésis,0,436
59414,Montigny-en-Ostrevent,0,348
59415,Montrécourt,0,449
59416,Morbecque,0,547
59418,Mortagne-du-Nord,0,275
59419,Mouchin,0,775
59420,Moustier-en-Fagne,N/A - résultat non disponible,
59421,Mouvaux,0,812
59422,Naves,0,413
59423,Neuf-Berquin,0,558
59424,Neuf-Mesnil,0,405
59425,Neuville-en-Avesnois,0,489
59426,Neuville-en-Ferrain,0,698
59427,La Neuville,0,8
59428,Neuville-Saint-Rémy,0,362
59429,Neuville-sur-Escaut,0,323
59430,Neuvilly,0,403
59431,Nieppe,0,551
59432,Niergnies,0,563
59433,Nieurlet,0,416
59434,Nivelle,0,449
59435,Nomain,0,571
59436,Noordpeene,0,477
59437,Noyelles-lès-Seclin,0,661
59438,Noyelles-sur-Escaut,0,518
59439,Noyelles-sur-Sambre,0,493
59440,Noyelles-sur-Selle,0,414
59441,Obies,0,529
59442,Obrechies,0,515
59443,Ochtezeele,0,521
59444,Odomez,0,399
59445,Ohain,0,387
59446,Oisy,0,541
59447,Onnaing,0,289
59448,Oost-Cappel,0,452
59449,Orchies,0,487
59450,Ors,0,424
59451,Orsinval,0,57
59452,Ostricourt,0,446
59453,Oudezeele,0,497
59454,Oxelaëre,0,529
59455,Paillencourt,0,475
59456,Pecquencourt,0,322
59457,Pérenchies,0,549
59458,Péronne-en-Mélantois,0,804
59459,Petite-Forêt,0,406
59461,Petit-Fayt,0,436
59462,Phalempin,0,615
59463,Pitgam,0,438
59464,Poix-du-Nord,0,342
59465,Pommereuil,0,406
59466,Pont-à-Marcq,0,735
59467,Pont-sur-Sambre,0,459
59468,Potelle,0,548
59469,Pradelles,0,624
59470,Prémesques,0,634
59471,Préseau,0,512
59472,Preux-au-Bois,0,385
59473,Preux-au-Sart,0,556
59474,Prisches,0,368
59475,Prouvy,0,416
59476,Proville,0,481
59477,Provin,0,526
59478,Quaëdypre,0,534
59479,Quarouble,0,421
59480,Quérénaing,0,53
59481,Le Quesnoy,0,344
59482,Quesnoy-sur-Deûle,0,703
59483,Quiévelon,0,454
59484,Quiévrechain,0,306
59485,Quiévy,0,342
59486,Râches,0,476
59487,Radinghem-en-Weppes,0,69
59488,Raillencourt-Sainte-Olle,0,43
59489,Raimbeaucourt,0,502
59490,Rainsars,0,461
59491,Raismes,0,287
59492,Ramillies,0,45
59493,Ramousies,0,422
59494,Raucourt-au-Bois,0,459
59495,Recquignies,0,365
59496,Rejet-de-Beaulieu,0,374
59497,Renescure,0,526
59498,Reumont,0,393
59499,Rexpoëde,0,478
59500,Ribécourt-la-Tour,0,473
59501,Rieulay,0,449
59502,Rieux-en-Cambrésis,0,337
59503,Robersart,0,449
59504,Roeulx,0,317
59505,Rombies-et-Marchipont,0,533
59506,Romeries,0,458
59507,Ronchin,0,619
59508,Roncq,0,694
59509,Roost-Warendin,0,451
59511,Rosult,0,501
59512,Roubaix,0,201
59513,Roucourt,0,509
59514,Rousies,0,44
59515,Rouvignies,0,436
59516,Rubrouck,0,51
59517,Les Rues-des-Vignes,0,493
59518,Ruesnes,0,51
59519,Rumegies,0,47
59520,Rumilly-en-Cambrésis,0,457
59521,Sailly-lez-Cambrai,0,448
59522,Sailly-lez-Lannoy,0,771
59523,Sainghin-en-Mélantois,0,817
59524,Sainghin-en-Weppes,0,558
59525,Sains-du-Nord,0,34
59526,Saint-Amand-les-Eaux,0,364
59527,Saint-André-lez-Lille,0,643
59528,Saint-Aubert,0,362
59529,Saint-Aubin,0,532
59530,Saint-Aybert,0,487
59531,Saint-Benin,0,38
59532,Saint-Georges-sur-l'Aa,0,433
59533,Saint-Hilaire-lez-Cambrai,0,334
59534,Saint-Hilaire-sur-Helpe,0,451
59535,Saint-Jans-Cappel,0,59
59536,Sainte-Marie-Cappel,0,636
59537,Saint-Martin-sur-Écaillon,0,451
59538,Saint-Momelin,0,404
59539,Saint-Pierre-Brouck,0,48
59541,Saint-Python,0,355
59542,Saint-Remy-Chaussée,0,517
59543,Saint-Remy-du-Nord,0,445
59544,Saint-Saulve,0,5
59545,Saint-Souplet,0,385
59546,Saint-Sylvestre-Cappel,0,543
59547,Saint-Vaast-en-Cambrésis,0,333
59548,Saint-Waast,0,531
59549,Salesches,0,453
59550,Salomé,0,54
59551,Saméon,0,576
59552,Sancourt,0,429
59553,Santes,0,686
59554,Sars-et-Rosières,0,535
59555,Sars-Poteries,0,361
59556,Sassegnies,0,495
59557,Saultain,0,498
59558,Saulzoir,0,401
59559,Sebourg,0,587
59560,Seclin,0,545
59562,Sémeries,0,462
59563,Semousies,0,489
59564,La Sentinelle,0,342
59565,Sepmeries,0,536
59566,Sequedin,0,629
59567,Séranvillers-Forenville,0,535
59568,Sercus,0,59
59569,Sin-le-Noble,0,354
59570,Socx,0,62
59571,Solesmes,0,295
59572,Solre-le-Château,0,397
59573,Solrinnes,0,475
59574,Somain,0,361
59575,Sommaing,0,501
59576,Spycker,0,565
59577,Staple,0,516
59578,Steenbecque,0,512
59579,Steene,0,541
59580,Steenvoorde,0,473
59581,Steenwerck,0,557
59582,Strazeele,0,602
59583,Taisnières-en-Thiérache,0,433
59584,Taisnières-sur-Hon,0,553
59585,Templemars,0,629
59586,Templeuve-en-Pévèle,0,734
59587,Terdeghem,0,545
59588,Téteghem-Coudekerque-Village,0,578
59589,Thiant,0,413
59590,Thiennes,0,516
59591,Thivencelle,0,351
59592,Thumeries,0,7
59593,Thun-l'Évêque,0,509
59594,Thun-Saint-Amand,0,393
59595,Thun-Saint-Martin,0,526
59596,Tilloy-lez-Marchiennes,0,589
59597,Tilloy-lez-Cambrai,0,513
59598,Toufflers,0,681
59599,Tourcoing,0,461
59600,Tourmignies,0,811
59601,Trélon,0,304
59602,Tressin,0,808
59603,Trith-Saint-Léger,0,375
59604,Troisvilles,0,434
59605,Uxem,0,596
59606,Valenciennes,0,451
59607,Vendegies-au-Bois,0,463
59608,Vendegies-sur-Écaillon,0,507
59609,Vendeville,0,671
59610,Verchain-Maugré,0,464
59611,Verlinghem,0,77
59612,Vertain,0,443
59613,Vicq,0,42
59614,Viesly,0,309
59615,Vieux-Berquin,0,554
59616,Vieux-Condé,0,305
59617,Vieux-Mesnil,0,524
59618,Vieux-Reng,0,47
59619,Villereau,0,54
59620,Villers-au-Tertre,0,487
59622,Villers-en-Cauchies,0,386
59623,Villers-Guislain,0,412
59624,Villers-Outréaux,0,312
59625,Villers-Plouich,0,447
59626,Villers-Pol,0,517
59627,Villers-Sire-Nicole,0,471
59628,Volckerinckhove,0,511
59629,Vred,0,494
59630,Wahagnies,0,526
59631,Walincourt-Selvigny,0,379
59632,Wallers,0,359
59633,Wallers-en-Fagne,0,414
59634,Wallon-Cappel,0,617
59635,Wambaix,0,526
59636,Wambrechies,0,677
59637,Wandignies-Hamage,0,513
59638,Wannehain,0,765
59639,Wargnies-le-Grand,0,556
59640,Wargnies-le-Petit,0,543
59641,Warhem,0,532
59642,Warlaing,0,536
59643,Warneton,0,591
59645,Wasnes-au-Bac,0,365
59646,Wasquehal,0,626
59647,Watten,0,387
59648,Wattignies,0,548
59649,Wattignies-la-Victoire,0,547
59650,Wattrelos,0,437
59651,Wavrechain-sous-Denain,0,284
59652,Wavrechain-sous-Faulx,0,379
59653,Wavrin,0,538
59654,Waziers,0,296
59655,Wemaers-Cappel,0,501
59656,Wervicq-Sud,0,65
59657,West-Cappel,0,539
59658,Wicres,0,605
59659,Wignehies,0,308
59660,Willems,0,671
59661,Willies,0,473
59662,Winnezeele,0,501
59663,Wormhout,0,469
59664,Wulverdinghe,0,471
59665,Wylder,0,514
59666,Zegerscappel,0,498
59667,Zermezeele,0,552
59668,Zuydcoote,0,529
59669,Zuytpeene,0,492
59670,Don,0,581
60001,Abancourt,0,454
60002,Abbecourt,0,556
60003,Abbeville-Saint-Lucien,0,6
60004,Achy,0,562
60005,Acy-en-Multien,0,569
60006,Les Ageux,0,608
60007,Agnetz,0,648
60008,Airion,0,633
60009,Allonne,0,689
60010,Amblainville,0,56
60011,Amy,0,547
60012,Andeville,0,555
60013,Angicourt,0,684
60014,Angivillers,0,572
60015,Angy,0,567
60016,Ansacq,0,686
60017,Ansauvillers,0,518
60019,Antheuil-Portes,0,599
60020,Antilly,0,496
60021,Appilly,0,457
60022,Apremont,0,836
60023,Armancourt,0,738
60024,Arsy,0,623
60025,Attichy,0,571
60026,Auchy-la-Montagne,0,576
60027,Auger-Saint-Vincent,0,668
60028,Aumont-en-Halatte,0,938
60029,Auneuil,0,613
60030,Auteuil,0,649
60031,Autheuil-en-Valois,0,653
60032,Autrêches,0,553
60033,Avilly-Saint-Léonard,0,862
60034,Avrechy,0,598
60035,Avricourt,0,561
60036,Avrigny,0,657
60037,Baboeuf,0,483
60038,Bachivillers,0,555
60039,Bacouël,0,498
60040,Bailleul-le-Soc,0,634
60041,Bailleul-sur-Thérain,0,559
60042,Bailleval,0,602
60043,Bailly,0,611
60044,Balagny-sur-Thérain,0,567
60045,Barbery,0,719
60046,Bargny,0,639
60047,Baron,0,645
60048,Baugy,0,589
60049,Bazancourt,0,506
60050,Bazicourt,0,581
60051,Beaudéduit,0,498
60052,Beaugies-sous-Bois,0,532
60053,Beaulieu-les-Fontaines,0,509
60054,Beaumont-les-Nonains,0,566
60055,Beaurains-lès-Noyon,0,486
60056,Beaurepaire,N/A - résultat non disponible,
60057,Beauvais,0,471
60058,Beauvoir,0,559
60059,Béhéricourt,0,524
60060,Belle-Église,0,63
60061,Belloy,N/A - résultat non disponible,
60062,Berlancourt,0,425
60063,Berneuil-en-Bray,0,755
60064,Berneuil-sur-Aisne,0,616
60065,Berthecourt,0,538
60066,Béthancourt-en-Valois,0,631
60067,Béthisy-Saint-Martin,0,583
60068,Béthisy-Saint-Pierre,0,529
60069,Betz,0,61
60070,Bienville,0,612
60071,Biermont,0,61
60072,Bitry,0,605
60073,Blacourt,0,564
60074,Blaincourt-lès-Précy,0,684
60075,Blancfossé,0,461
60076,Blargies,0,508
60077,Blicourt,0,571
60078,Blincourt,0,597
60079,Boissy-Fresnoy,0,616
60080,Boissy-le-Bois,0,543
60081,Bonlier,0,589
60082,Bonneuil-les-Eaux,0,478
60083,Bonneuil-en-Valois,0,575
60084,Bonnières,0,578
60085,Bonvillers,0,556
60086,Boran-sur-Oise,0,708
60087,Borest,0,668
60088,Bornel,0,57
60089,Boubiers,0,618
60090,Bouconvillers,0,61
60091,Bouillancy,0,63
60092,Boullarre,0,582
60093,Boulogne-la-Grasse,0,551
60094,Boursonne,0,623
60095,Boury-en-Vexin,0,613
60096,Boutavent,0,461
60097,Boutencourt,0,594
60098,Bouvresse,0,527
60099,Braisnes-sur-Aronde,0,703
60100,Brasseuse,N/A - résultat non disponible,
60101,Brégy,0,605
60102,Brenouille,0,653
60103,Bresles,0,521
60104,Breteuil,0,386
60105,Brétigny,0,47
60106,Breuil-le-Sec,0,607
60107,Breuil-le-Vert,0,621
60108,Briot,0,522
60109,Brombos,0,524
60110,Broquiers,0,498
60111,Broyes,0,475
60112,Brunvillers-la-Motte,0,522
60113,Bucamps,0,586
60114,Buicourt,0,568
60115,Bulles,0,502
60116,Bury,0,561
60117,Bussy,0,481
60118,Caisnes,0,52
60119,Cambronne-lès-Ribécourt,0,58
60120,Cambronne-lès-Clermont,0,649
60121,Campagne,0,413
60122,Campeaux,0,477
60123,Campremy,0,49
60124,Candor,0,592
60125,Canly,0,643
60126,Cannectancourt,0,609
60127,Canny-sur-Matz,0,57
60128,Canny-sur-Thérain,0,5
60129,Carlepont,0,51
60130,Catenoy,0,642
60131,Catheux,0,537
60132,Catigny,0,47
60133,Catillon-Fumechon,0,545
60134,Cauffry,0,598
60135,Cauvigny,0,584
60136,Cempuis,0,598
60137,Cernoy,0,619
60138,Chamant,0,864
60139,Chambly,0,541
60140,Chambors,0,642
60141,Chantilly,0,732
60142,La Chapelle-en-Serval,0,816
60143,Chaumont-en-Vexin,0,515
60144,Chavençon,0,64
60145,Chelles,0,715
60146,Chepoix,0,491
60147,Chevincourt,0,618
60148,Chèvreville,0,608
60149,Chevrières,0,598
60150,Chiry-Ourscamp,0,583
60151,Choisy-au-Bac,0,628
60152,Choisy-la-Victoire,0,651
60153,Choqueuse-les-Bénards,0,624
60154,Cinqueux,0,68
60155,Cires-lès-Mello,0,54
60156,Clairoix,0,613
60157,Clermont,0,531
60158,Coivrel,0,555
60159,Compiègne,0,574
60160,Conchy-les-Pots,0,549
60161,Conteville,N/A - résultat non disponible,
60162,Corbeil-Cerf,0,577
60163,Cormeilles,0,553
60164,Le Coudray-Saint-Germer,0,464
60165,Le Coudray-sur-Thelle,0,589
60166,Coudun,0,649
60167,Couloisy,0,588
60168,Courcelles-Epayelles,0,557
60169,Courcelles-lès-Gisors,0,59
60170,Courteuil,0,863
60171,Courtieux,0,635
60172,Coye-la-Forêt,0,803
60173,Cramoisy,0,6
60174,Crapeaumesnil,0,584
60175,Creil,0,342
60176,Crépy-en-Valois,0,543
60177,Cressonsacq,0,692
60178,Crèvecoeur-le-Grand,0,438
60179,Crèvecoeur-le-Petit,0,547
60180,Crillon,0,578
60181,Crisolles,0,477
60182,Le Crocq,0,554
60183,Croissy-sur-Celle,0,601
60184,Croutoy,0,665
60185,Crouy-en-Thelle,0,721
60186,Cuignières,0,56
60187,Cuigy-en-Bray,0,541
60188,Cuise-la-Motte,0,628
60189,Cuts,0,482
60190,Cuvergnon,0,583
60191,Cuvilly,0,56
60192,Cuy,0,543
60193,Daméraucourt,0,503
60194,Dargies,0,501
60195,Delincourt,0,613
60196,La Drenne,0,597
60197,Dieudonné,0,627
60198,Dives,0,558
60199,Doméliers,0,575
60200,Domfront,0,618
60201,Dompierre,0,531
60203,Duvy,0,605
60204,Écuvilly,0,569
60205,Élencourt,N/A - résultat non disponible,
60206,Élincourt-Sainte-Marguerite,0,667
60207,Éméville,0,599
60208,Énencourt-Léage,0,637
60209,Énencourt-le-Sec,0,589
60210,Épineuse,0,612
60211,Éragny-sur-Epte,0,516
60212,Ercuis,0,536
60213,Ermenonville,0,646
60214,Ernemont-Boutavent,0,472
60215,Erquery,0,583
60216,Erquinvillers,0,604
60217,Escames,0,529
60218,Esches,0,586
60219,Escles-Saint-Pierre,0,497
60220,Espaubourg,0,559
60221,Esquennoy,0,41
60222,Essuiles,0,612
60223,Estrées-Saint-Denis,0,58
60224,Étavigny,0,586
60225,Étouy,0,578
60226,Ève,0,611
60227,Évricourt,0,606
60228,Fay-les-Étangs,0,641
60229,Le Fayel,0,657
60230,Le Fay-Saint-Quentin,0,627
60231,Feigneux,0,678
60232,Ferrières,0,599
60233,Feuquières,0,418
60234,Fitz-James,0,574
60235,Flavacourt,0,711
60236,Flavy-le-Meldeux,0,429
60237,Fléchy,N/A - résultat non disponible,
60238,Fleurines,0,842
60239,Fleury,0,595
60240,Fontaine-Bonneleau,0,514
60241,Fontaine-Chaalis,0,717
60242,Fontaine-Lavaganne,0,56
60243,Fontaine-Saint-Lucien,0,608
60244,Fontenay-Torcy,0,541
60245,Formerie,0,402
60247,Fouilleuse,0,681
60248,Fouilloy,0,404
60249,Foulangues,0,743
60250,Fouquenies,0,746
60251,Fouquerolles,0,673
60252,Fournival,0,573
60253,Francastel,0,575
60254,Francières,0,638
60255,Fréniches,0,495
60256,Fresneaux-Montchevreuil,0,594
60257,Fresne-Léguillon,0,6
60258,Fresnières,0,528
60259,Fresnoy-en-Thelle,0,606
60260,Fresnoy-la-Rivière,0,658
60261,Fresnoy-le-Luat,0,696
60262,Le Frestoy-Vaux,0,554
60263,Frétoy-le-Château,0,439
60264,Frocourt,0,752
60265,Froissy,0,506
60267,Le Gallet,0,656
60268,Gannes,0,57
60269,Gaudechart,0,56
60270,Genvry,0,51
60271,Gerberoy,N/A - résultat non disponible,
60272,Gilocourt,0,629
60273,Giraumont,0,694
60274,Glaignes,0,631
60275,Glatigny,0,587
60276,Godenvillers,0,584
60277,Goincourt,0,668
60278,Golancourt,0,497
60279,Gondreville,0,601
60280,Gourchelles,0,423
60281,Gournay-sur-Aronde,0,642
60282,Gouvieux,0,771
60283,Gouy-les-Groseillers,N/A - résultat non disponible,
60284,Grandfresnoy,0,64
60285,Grandvillers-aux-Bois,0,61
60286,Grandvilliers,0,406
60287,Grandrû,0,497
60288,Grémévillers,0,598
60289,Grez,0,564
60290,Guignecourt,0,625
60291,Guiscard,0,413
60292,Gury,0,591
60293,Hadancourt-le-Haut-Clocher,0,656
60294,Hainvillers,N/A - résultat non disponible,
60295,Halloy,0,518
60296,Hannaches,0,573
60297,Le Hamel,0,549
60298,Hanvoile,0,585
60299,Hardivillers,0,487
60300,Hardivillers-en-Vexin,0,606
60301,Haucourt,0,645
60302,Haudivillers,0,603
60303,Hautbos,0,535
60304,Haute-Épine,0,572
60305,Hautefontaine,0,63
60306,Hécourt,0,618
60307,Heilles,0,61
60308,Hémévillers,0,64
60309,Hénonville,0,595
60310,Herchies,0,684
60311,La Hérelle,0,506
60312,Héricourt-sur-Thérain,0,454
60313,Hermes,0,517
60314,Hétomesnil,0,468
60315,Hodenc-en-Bray,0,627
60316,Hodenc-l'Évêque,0,618
60317,Hondainville,0,608
60318,Houdancourt,0,663
60319,La Houssoye,0,61
60320,Ivors,0,571
60321,Ivry-le-Temple,0,586
60322,Jaméricourt,0,593
60323,Janville,0,568
